source_location,citation_key,locator,locator_status,bibliography_status,fulltext_status,citation_command
main.tex:159,OpenGeoSysTRMDocs,Sec.~``Governing equations without vapor diffusion'',checkable_locator,present,official_web_documentation,\cite[Sec.~``Governing equations without vapor diffusion'']{OpenGeoSysTRMDocs}
main.tex:188,Wang2009THM,pp.~1633--1634,checkable_locator,present,local_fulltext_available,\cite[pp.~1633--1634]{Wang2009THM}
main.tex:189,OpenGeoSysTRMDocs,Sec.~``Governing equations without vapor diffusion'',checkable_locator,present,official_web_documentation,\cite[Sec.~``Governing equations without vapor diffusion'']{OpenGeoSysTRMDocs}
main.tex:205,Wang2009THM,pp.~1633--1634,checkable_locator,present,local_fulltext_available,\cite[pp.~1633--1634]{Wang2009THM}
main.tex:206,OpenGeoSysTRMDocs,Sec.~``Governing equations without vapor diffusion'',checkable_locator,present,official_web_documentation,\cite[Sec.~``Governing equations without vapor diffusion'']{OpenGeoSysTRMDocs}
main.tex:227,OpenGeoSysTRMDocs,Sec.~``Governing equations without vapor diffusion'',checkable_locator,present,official_web_documentation,\cite[Sec.~``Governing equations without vapor diffusion'']{OpenGeoSysTRMDocs}
main.tex:407,Garitte2017,PDF p.~12,checkable_locator,present,local_fulltext_available,\cite[PDF p.~12]{Garitte2017}
main.tex:407,Gens2017,PDF p.~14,checkable_locator,present,local_fulltext_available,\cite[PDF p.~14]{Gens2017}
main.tex:569,VanLoon2004Nagra,"pp.~26--27, Tables~8--9 and pp.~44, 65--66, Tables~12 and 19",checkable_locator,present,local_fulltext_available,"\cite[pp.~26--27, Tables~8--9 and pp.~44, 65--66, Tables~12 and 19]{VanLoon2004Nagra}"
main.tex:571,Amann2015,pp.~153--156,checkable_locator,present,local_fulltext_available,\cite[pp.~153--156]{Amann2015}
main.tex:581,VillarRomero2012,"pp.~22--30, Sect.~4",checkable_locator,present,local_fulltext_available,"\cite[pp.~22--30, Sect.~4]{VillarRomero2012}"
main.tex:591,VillarRomero2012,"pp.~31--33, Sect.~5",checkable_locator,present,local_fulltext_available,"\cite[pp.~31--33, Sect.~5]{VillarRomero2012}"
main.tex:592,WaterContentEDZ2024,p.~4448,checkable_locator,present,local_fulltext_available,\cite[p.~4448]{WaterContentEDZ2024}
main.tex:616,Marschall2005,pp.~130--135,checkable_locator,present,local_fulltext_available,\cite[pp.~130--135]{Marschall2005}
