metric,finite_count,min,p01,p05,p10,p50,p90,p95,p99,max,mean,std,area_weighted_mean
k_xx_m2,10239,3.929985372731877e-21,2.957763188431249e-20,3.376286314879826e-20,3.9181092537786415e-20,8.105753094687485e-20,1.4880770900739973e-19,1.6582678092490768e-19,4.966865442515596e-18,5.692490857386497e-14,4.049745975971298e-17,1.4089706223820734e-15,1.2221043134268698e-17
k_xy_m2,10239,-2.0488882443394594e-14,-1.7877151621914535e-18,-5.968574224284079e-20,-5.35600975549617e-20,-2.917489486289355e-20,-1.4102381876798254e-20,-1.2152208081467961e-20,-1.0645825137256474e-20,-1.4145127383328296e-21,-1.4576179620845477e-17,5.07128323460086e-16,-4.398698608163352e-18
k_yx_m2,10239,-2.0488882443394594e-14,-1.7877151621914535e-18,-5.968574224284079e-20,-5.35600975549617e-20,-2.917489486289355e-20,-1.4102381876798254e-20,-1.2152208081467961e-20,-1.0645825137256474e-20,-1.4145127383328296e-21,-1.4576179620845477e-17,5.07128323460086e-16,-4.398698608163352e-18
k_yy_m2,10239,3.010779274218518e-21,2.265955534482047e-20,2.5865879632018987e-20,3.0016809266646956e-20,6.209853499391817e-20,1.1400224775187379e-19,1.2704063444694899e-19,3.805137707615176e-18,4.361042565454598e-14,3.102528405043021e-17,1.0794186607625654e-15,9.362595503099611e-18
k_eigen_min_m2,10239,1.983075613414398e-21,1.4924910636895132e-20,1.7036783651662075e-20,1.9770829086980963e-20,4.0901733125940866e-20,7.508855907407815e-20,8.367640439195905e-20,2.5062866143230778e-18,2.8724381208117413e-14,2.043506966004092e-17,7.10968366612754e-16,6.166753896390945e-18
k_eigen_max_m2,10239,4.957689033535996e-21,3.731227659223783e-20,4.2591959129155175e-20,4.94270727174524e-20,1.0225433281485215e-19,1.8772139768519537e-19,2.091910109798976e-19,6.265716535807693e-18,7.181095302029354e-14,5.1087674150102284e-17,1.7774209165318845e-15,1.5416884740977364e-17
k_eigen_ratio,10239,2.499999999999998,2.4999999999999987,2.499999999999999,2.499999999999999,2.4999999999999996,2.5000000000000004,2.5000000000000004,2.500000000000001,2.5000000000000013,2.5,5.621206852321513e-16,2.5
log10_k_eigen_min,10239,-20.70266072610606,-19.82608826064765,-19.768612419261732,-19.703975118393878,-19.38825828927663,-19.124426230200612,-19.07739699014419,-17.600970494047463,-13.54174931828092,-19.36270927882162,0.40231870356915,-19.43393099860853
log10_k_eigen_max,10239,-20.304720717434023,-19.428148251975614,-19.370672410589695,-19.30603510972184,-18.99031828060459,-18.726486221528575,-18.679456981472153,-17.203030485375425,-13.143809309608882,-18.96476927014958,0.40231870356915006,-19.035990989936494
k_mag_rd,10239,1.1584268887532223e-20,2.3619524584124378e-20,2.703857478056863e-20,3.144411828383288e-20,6.510311241242571e-20,1.1678705931121582e-19,1.2446525219422006e-19,1.5951904363918428e-19,2.841854729087051e-19,7.117289740278335e-20,3.3739782123808036e-20,6.657648715177157e-20
k_anisotropy_ratio_rd,10239,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5000000000000004
k_theta_deg_rd,10239,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,0.0,144.0
n_rd,10239,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.0,0.105
