metric,finite_count,min,p01,p05,p10,p50,p90,p95,p99,max,mean,std,area_weighted_mean
k_xx_m2,10239,3.314487562756157e-21,2.957763188431249e-20,3.372501738884897e-20,3.892873167140456e-20,8.110506032625631e-20,1.4849197918984265e-19,1.6440882328364634e-19,3.8388095091617735e-18,1.110474664312468e-13,7.345642553173001e-17,2.6166583342187655e-15,2.1831451346633186e-17
k_xy_m2,10239,-3.9969119711352816e-14,-1.3816959697658858e-18,-5.917537923744712e-20,-5.3446457475814144e-20,-2.919200202900327e-20,-1.4011550073038716e-20,-1.2138586323506317e-20,-1.0645825137256474e-20,-1.1929776917478067e-21,-2.6439042330277372e-17,9.418092421662883e-16,-7.857755970384088e-18
k_yx_m2,10239,-3.9969119711352816e-14,-1.3816959697658858e-18,-5.917537923744712e-20,-5.3446457475814144e-20,-2.919200202900327e-20,-1.4011550073038716e-20,-1.2138586323506317e-20,-1.0645825137256474e-20,-1.1929776917478067e-21,-2.6439042330277372e-17,9.418092421662883e-16,-7.857755970384088e-18
k_yy_m2,10239,2.539243664325495e-21,2.265955534482047e-20,2.5836885826987806e-20,2.9823474484436775e-20,6.213494746286806e-20,1.1376036573430971e-19,1.2595433079104965e-19,2.9409290395966478e-18,8.507395796062798e-14,5.627529432644467e-17,2.004633588470738e-15,1.672517198069418e-17
k_eigen_min_m2,10239,1.6724946363090434e-21,1.4924910636895132e-20,1.7017686633096225e-20,1.9643487473097524e-20,4.0925716511178394e-20,7.492924140690068e-20,8.296090116419887e-20,1.9370681567881207e-18,5.6034692683392805e-14,3.7066205673764204e-17,1.3203691207684296e-15,1.1016178093522104e-17
k_eigen_max_m2,10239,4.1812365907726086e-21,3.731227659223783e-20,4.254421658274055e-20,4.910871868274381e-20,1.0231429127794598e-19,1.8732310351725169e-19,2.0740225291049714e-19,4.842670391970301e-18,1.4008673170848196e-13,9.266551418441047e-17,3.3009228019210742e-15,2.7540445233805254e-17
k_eigen_ratio,10239,2.499999999999998,2.4999999999999987,2.499999999999999,2.499999999999999,2.4999999999999996,2.5000000000000004,2.5000000000000004,2.500000000000001,2.5000000000000013,2.5,5.609029514596516e-16,2.5
log10_k_eigen_min,10239,-20.77663526634048,-19.82608826064765,-19.769099482874005,-19.70678140576735,-19.388003708394287,-19.125348664301974,-19.081126542020293,-17.712855353663112,-13.251543005568074,-19.36436630738828,0.4036474148424823,-19.434167180295866
log10_k_eigen_max,10239,-20.378695257668443,-19.428148251975614,-19.371159474201967,-19.308841397095314,-18.99006369972225,-18.727408655629937,-18.683186533348255,-17.314915344991075,-12.853602996896036,-18.966426298716243,0.40364741484248234,-19.03622717162383
k_mag_rd,10239,1.1584268887532223e-20,2.3619524584124378e-20,2.703857478056863e-20,3.144411828383288e-20,6.510311241242571e-20,1.1678705931121582e-19,1.2446525219422006e-19,1.5951904363918428e-19,2.841854729087051e-19,7.117289740278335e-20,3.3739782123808036e-20,6.657648715177157e-20
k_anisotropy_ratio_rd,10239,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5000000000000004
k_theta_deg_rd,10239,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,0.0,144.0
n_rd,10239,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.0,0.105
