file,name,timestep,time_s,point_count,cell_type,cell_count,point_fields,cell_fields
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0000_t_0.000000.vtu,results_cd-a_03_01_ts_0000_t_0.000000.vtu,0,0.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0001_t_864000.000000.vtu,results_cd-a_03_01_ts_0001_t_864000.000000.vtu,1,864000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0003_t_2592000.000000.vtu,results_cd-a_03_01_ts_0003_t_2592000.000000.vtu,3,2592000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0005_t_4320000.000000.vtu,results_cd-a_03_01_ts_0005_t_4320000.000000.vtu,5,4320000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0007_t_6048000.000000.vtu,results_cd-a_03_01_ts_0007_t_6048000.000000.vtu,7,6048000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0009_t_7776000.000000.vtu,results_cd-a_03_01_ts_0009_t_7776000.000000.vtu,9,7776000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0011_t_9504000.000000.vtu,results_cd-a_03_01_ts_0011_t_9504000.000000.vtu,11,9504000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0013_t_11232000.000000.vtu,results_cd-a_03_01_ts_0013_t_11232000.000000.vtu,13,11232000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0015_t_12960000.000000.vtu,results_cd-a_03_01_ts_0015_t_12960000.000000.vtu,15,12960000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0017_t_14688000.000000.vtu,results_cd-a_03_01_ts_0017_t_14688000.000000.vtu,17,14688000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0019_t_16416000.000000.vtu,results_cd-a_03_01_ts_0019_t_16416000.000000.vtu,19,16416000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0021_t_18144000.000000.vtu,results_cd-a_03_01_ts_0021_t_18144000.000000.vtu,21,18144000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0023_t_19872000.000000.vtu,results_cd-a_03_01_ts_0023_t_19872000.000000.vtu,23,19872000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0025_t_21600000.000000.vtu,results_cd-a_03_01_ts_0025_t_21600000.000000.vtu,25,21600000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
