observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_permeability_m2,observed_log10_permeability_m2,log10_sigma,segment_tangent_x,segment_tangent_y,selected_cell_ids,prediction_note,predicted_permeability_m2,predicted_log10_permeability_m2,prediction_cell_count,log10_residual_pred_minus_obs,normalized_residual,unweighted_objective_contribution,duplicate_group_key,duplicate_count,objective_weight,objective_contribution
perm_0000,2024_OT,2024,BCDA_32,BCD-A32,0.17,mapped_inside_mesh,True,True,5e-16,-15.30102999566398,0.5,-0.960117289869176,-0.2795975495140628,136.0,,4.999999999999997e-17,-16.30102999566398,1,-1.0000000000000018,-2.0000000000000036,2.000000000000007,2024|BCD-A32|0.17|-15.30103,2,0.5,1.0000000000000036
perm_0001,2024_OT,2024,BCDA_32,BCD-A32,0.31,mapped_inside_mesh,True,True,2e-16,-15.69897000433602,0.5,-0.960117289869176,-0.2795975495140628,8051.0,,2.449489742783167e-18,-17.61092437480818,1,-1.911954370472161,-3.823908740944322,7.3111390295351955,2024|BCD-A32|0.31|-15.69897,2,0.5,3.6555695147675977
perm_0002,2024_OT,2024,BCDA_32,BCD-A32,0.45,mapped_inside_mesh,True,True,2e-16,-15.69897000433602,0.5,-0.960117289869176,-0.2795975495140628,8371.0,,4.000000000000005e-18,-17.397940008672037,1,-1.698970004336017,-3.397940008672034,5.772998151267051,2024|BCD-A32|0.45|-15.69897,2,0.5,2.8864990756335254
perm_0003,2024_OT,2024,BCDA_32,BCD-A32,0.59,mapped_inside_mesh,True,True,2e-14,-13.69897000433602,0.5,-0.960117289869176,-0.2795975495140628,3542.0,,4.472135954999575e-14,-13.34948500216801,1,0.34948500216801115,0.6989700043360223,0.24427953348074952,2024|BCD-A32|0.59|-13.69897,2,0.5,0.12213976674037476
perm_0004,2024_OT,2024,BCDA_32,BCD-A32,0.73,mapped_inside_mesh,True,True,5e-16,-15.30102999566398,0.5,-0.960117289869176,-0.2795975495140628,6191.0,,5.000000000000014e-18,-17.30102999566398,1,-2.0000000000000018,-4.0000000000000036,8.000000000000014,2024|BCD-A32|0.73|-15.30103,2,0.5,4.000000000000007
perm_0005,2024_OT,2024,BCDA_32,BCD-A32,0.87,mapped_inside_mesh,True,True,8e-13,-12.096910013008056,0.5,-0.960117289869176,-0.2795975495140628,4648.0,,2.683281572999753e-16,-15.571333751784366,1,-3.4744237387763093,-6.948847477552619,24.143240633144696,2024|BCD-A32|0.87|-12.09691001,2,0.5,12.071620316572348
perm_0006,2024_OT,2024,BCDA_32,BCD-A32,1.01,mapped_inside_mesh,True,True,3e-15,-14.522878745280336,0.5,-0.960117289869176,-0.2795975495140628,7188.0,,1.549193338482964e-17,-16.809894379144197,1,-2.287015633863861,-4.574031267727722,10.460881019075437,2024|BCD-A32|1.01|-14.52287875,2,0.5,5.230440509537718
perm_0007,2024_OT,2024,BCDA_32,BCD-A32,1.15,mapped_inside_mesh,True,True,8e-16,-15.096910013008056,0.5,-0.960117289869176,-0.2795975495140628,5040.0,,5.656854249492349e-18,-17.24742501084005,1,-2.150514997831994,-4.301029995663988,9.249429511800685,2024|BCD-A32|1.15|-15.09691001,2,0.5,4.624714755900342
perm_0008,2024_OT,2024,BCDA_32,BCD-A32,1.29,mapped_inside_mesh,True,True,4e-17,-16.397940008672037,0.5,-0.960117289869176,-0.2795975495140628,5896.0,,2.828427124746192e-19,-18.548455006504028,1,-2.1505149978319906,-4.301029995663981,9.249429511800653,2024|BCD-A32|1.29|-16.39794001,2,0.5,4.624714755900326
perm_0009,2024_OT,2024,BCDA_32,BCD-A32,1.7,mapped_inside_mesh,True,True,2e-20,-19.69897000433602,0.5,-0.960117289869176,-0.2795975495140628,4298.0,,9.999999999999962e-21,-20.0,1,-0.30102999566398125,-0.6020599913279625,0.18123811657891314,2024|BCD-A32|1.7|-19.69897,2,0.5,0.09061905828945657
