metric,finite_count,min,p05,p50,p95,max
log10_k_geom_m2,10239,-20.50369072177004,-19.569576889472998,-19.18631235241345,-18.903038056343412,-13.344353126747192
log10_k_eigen_min_m2,10239,-20.70266072610606,-19.768546893809017,-19.385282356749467,-19.10200806067943,-13.543323131083211
log10_k_eigen_max_m2,10239,-20.304720717434023,-19.37060688513698,-18.98734234807743,-18.704068052007393,-13.145383122411173
anisotropy_ratio,10239,2.499999999999998,2.499999999999999,2.4999999999999996,2.5000000000000004,2.5000000000000013
theta_deg,10239,144.0,144.0,144.0,144.0,144.0
k_mag_rd_m2,10239,1.1584268887532223e-20,2.703857478056863e-20,6.510311241242571e-20,1.2446525219422006e-19,2.841854729087051e-19
local_basis_applied_log10_increment,10239,-0.03472002265049577,0.0,0.0,0.0,0.00885024756522411
smooth_applied_log10_multiplier,10239,-1.4883410522536262,0.0,0.0,0.0,5.838846276907379
local_basis_nearest_anchor_distance_m,10239,0.0,0.1655942081433988,1.3341074008425977,3.7666646341910783,7.433553778706038
local_basis_weight_sum,10239,0.0,0.0,0.0,0.0,1.0
n_rd,10239,0.105,0.105,0.105,0.105,0.105
