run_id,run_dir,activation_status,state_objective_mode,active_component_count,nmr_trend_anomaly_active_objective,direct_permeability_objective,nmr_trend_anomaly_objective,nmr_trend_anomaly_rmse_normalized_residual,nmr_trend_anomaly_rows,nmr_trend_anomaly_groups,nmr_trend_anomaly_excluded_singleton_groups,raw_combined_objective,raw_state_objective,raw_state_rmse_normalized_residual,raw_nmr_objective_from_state_rows,non_nmr_state_objective_value,diagnostic_trend_anomaly_combined_objective,diagnostic_trend_anomaly_objective,diagnostic_trend_anomaly_combined_rank,diagnostic_raw_combined_rank,diagnostic_combined_delta,diagnostic_nmr_delta,nmr_trend_anomaly_active_rank,raw_combined_rank,full_active_trend_gate,nmr_trend_anomaly_full_active_rank,raw_full_active_rank
broad_continuous_001_003_length_0p021m,inversion_workflow/runs/broad_continuous_001_003_length_0p021m,evaluated,nmr_within_label_trend_anomaly,2,505.614305828437,269.8300319778216,235.78427385061542,1.5671905391317007,192.0,17.0,0.0,3169.3095993832085,2899.479567405387,5.495717620154148,2899.479567405387,,505.614305828437,235.78427385061545,1.0,56.0,0.0,-2.842170943040401e-14,9.0,64.0,True,1.0,56.0
local_refined_002_length_0p019m,inversion_workflow/runs/local_refined_002_length_0p019m,evaluated,nmr_within_label_trend_anomaly,2,505.61435069370077,269.8180571059851,235.79629358771567,1.5672304844976392,192.0,17.0,0.0,3164.958854077439,2895.1407969714537,5.4916041950526,2895.1407969714537,,505.6143506937008,235.79629358771567,2.0,47.0,-5.684341886080802e-14,0.0,10.0,55.0,True,2.0,47.0
local_refined_001_length_0p013m,inversion_workflow/runs/local_refined_001_length_0p013m,evaluated,nmr_within_label_trend_anomaly,2,505.62210687674815,269.8180571059851,235.80404977076304,1.5672562601923512,192.0,17.0,0.0,3159.6643814648755,2889.8463243588903,5.486580526952871,2889.8463243588903,,505.62210687674815,235.80404977076304,3.0,40.0,0.0,0.0,11.0,48.0,True,3.0,40.0
broad_continuous_loop_001_001_length_0p015m,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m,evaluated,nmr_within_label_trend_anomaly,2,505.6225434185805,269.8180571059851,235.80448631259543,1.5672577109151096,192.0,17.0,0.0,3161.3600416173276,2891.5419845113424,5.488189957110311,2891.5419845113424,,505.6225434185805,235.80448631259543,4.0,45.0,0.0,0.0,12.0,53.0,True,4.0,45.0
broad_continuous_001_002_length_0p022m_shift_0p998,inversion_workflow/runs/broad_continuous_001_002_length_0p022m_shift_0p998,evaluated,nmr_within_label_trend_anomaly,2,505.6280285155194,269.84272319037007,235.78530532514935,1.5671939670858568,192.0,17.0,0.0,3169.3006202009697,2899.4578970105995,5.49569708291803,2899.4578970105995,,505.6280285155194,235.78530532514932,5.0,55.0,0.0,2.842170943040401e-14,13.0,63.0,True,5.0,55.0
continuous_proposed_002_length_0p007m,inversion_workflow/runs/continuous_proposed_002_length_0p007m,evaluated,nmr_within_label_trend_anomaly,2,505.6311355546908,269.8180571059851,235.8130784487057,1.5672862641651284,192.0,17.0,0.0,3157.741295991051,2887.923238885066,5.4847546652868715,2887.923238885066,,505.6311355546908,235.8130784487057,6.0,33.0,0.0,0.0,14.0,41.0,True,6.0,33.0
broad_continuous_loop_001_003_length_0p010m,inversion_workflow/runs/broad_continuous_loop_001_003_length_0p010m,evaluated,nmr_within_label_trend_anomaly,2,505.6335100965505,269.8180571059851,235.8154529905654,1.5672941551131117,192.0,17.0,0.0,3157.702128613753,2887.8840715077677,5.484717471745704,2887.8840715077677,,505.6335100965505,235.8154529905654,7.0,32.0,0.0,0.0,15.0,40.0,True,7.0,32.0
production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,inversion_workflow/runs/production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,evaluated,nmr_within_label_trend_anomaly,2,505.63740368534826,269.8180571059851,235.81934657936318,1.567307093989039,192.0,17.0,0.0,3156.3614696729414,2886.5434125669562,5.483444223074806,2886.5434125669562,,505.63740368534826,235.8193465793632,8.0,12.0,0.0,-2.842170943040401e-14,16.0,20.0,True,8.0,12.0
local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,inversion_workflow/runs/local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,evaluated,nmr_within_label_trend_anomaly,2,505.637403685358,269.8180571059851,235.81934657937288,1.5673070939890712,192.0,17.0,0.0,3156.361469672912,2886.5434125669267,5.483444223074778,2886.5434125669267,,505.637403685358,235.81934657937288,9.0,10.0,0.0,0.0,17.0,18.0,True,9.0,10.0
production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,inversion_workflow/runs/production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,evaluated,nmr_within_label_trend_anomaly,2,505.6374036853639,269.8180571059851,235.81934657937884,1.5673070939890912,192.0,17.0,0.0,3156.3614696727627,2886.5434125667775,5.483444223074636,2886.5434125667775,,505.6374036853639,235.81934657937884,10.0,9.0,0.0,0.0,18.0,17.0,True,10.0,9.0
