requirement_id,requirement,status,evidence,remaining_work,authoritative_artifacts
R01_report_workspace,Extract/setup an editable report workspace and produce a clean PDF.,achieved,Report artifacts present=True; main.pdf pages from log=36; LaTeX/log scan clean=True; report open-comment audit status=report_open_comment_audit_generated; active report unresolved markers=0; resolved formulation comments=5.,None for current build hygiene; rebuild after every report change.,main.tex; measurement_chapter.tex; main.pdf; main.log; main.blg; inversion_workflow/report_open_comment_audit.md
R02_source_model,Recover and understand the exchanged GESA OGS model without modifying its governing semantics.,achieved_with_tracked_caveats,"April/May model folders, projection workflow, copied OGS settings, and model audit are present; OGS formulation audit status=ogs_formulation_consistency_audit_generated; checks=18; hard failures=0; process=THERMO_RICHARDS_MECHANICS; primary variables=['displacement', 'pressure', 'temperature']; run-local mesh fields={'k_i': 'k_i_rd', 'phi': 'n_rd'}; run-input audit status=run_inputs_ogs_accepted_with_meshio_submesh_warnings; checks=8; warnings=1; errors=0; meshio-unreadable meshes=['bulk_all.vtu', 'cd-a_niche4.vtu', 'cd-a_left.vtu', 'cd-a_right.vtu', 'cd-a_top.vtu', 'cd-a_bottom.vtu']; OGS execution returncode=0 via docker_apptainer_sif; frozen-model/measurement audit status=pass, checks=13, failures=0, warnings=0, run manifests checked=75, wrong projection-source manifests=0.","Keep the CTE provenance caveat and fixed-porosity mesh-field caveat explicit; the run-input audit header-verifies the appended-data submeshes and records OGS acceptance, but regenerate them with identifySubdomains if downstream meshio decoding is required.",GESA_model_original/; ogs_settings/; MODEL_AUDIT.md; main.tex; inversion_workflow/ogs_formulation_consistency_audit.md; inversion_workflow/frozen_model_measurement_inclusion_audit.md; inversion_workflow/runs/direct_fit_observation_run/OGS_RUN_INPUT_AUDIT.md
R03_raw_measurement_inventory,"Cross-check collected measurement files, including ZIP contents and model-projection inputs.",achieved,Observation manifest checks=28; failures=0; observation groups=9; traceability audit status=measurement_report_traceability_audit_generated; traceable observations=9; traceability status counts={'pass': 9}; missing chapter sections=0; missing inventory table refs=0; missing model-entry statements=0; missing artifact observations=0; missing data-content summaries=0; data-content fact rows=101; content-deep-dive total rows=101.,Refresh manifest after adding any newly found TeamBeam/Gmail/Thunderbird files.,inversion_workflow/observation_manifest.json; inversion_workflow/observation_manifest_validation.json; inversion_workflow/measurement_report_traceability_audit.md
R04_processed_measurement_tables,Mine the collected attachments/ZIPs/workbooks into model-facing measurement tables.,achieved,"Processed tables=16; total rows across generated tables=18801; content-deep-dive fact rows=101; per-measurement content rows={'bedding_geology_structure': 4, 'coordinates_geometry_layout': 4, 'ert': 18, 'model_projection_inputs': 14, 'nmr': 9, 'other_hm_monitoring': 12, 'permeability_pulse_tests': 21, 'suction_relative_humidity': 9, 'taupe_tdr': 10}.",Regenerate after catalogue updates; keep source_file/source_member provenance columns.,inversion_workflow/scripts/build_processed_observations.py; inversion_workflow/processed_observations/
R05_measurement_semantics_chapter,Add rigorous measurement chapter explaining what each measurement observes and how it maps to OGS quantities.,achieved_with_tracked_caveats,"Measurement chapter is present and describes permeability, NMR, ERT, Taupe/TDR, RH/suction, coordinates/bedding, projection workflow, and other HM monitoring with caveats; the report open-comment audit records 5 resolved formulation comments and 0 active report review markers; the measurement-report traceability audit covers 9 observations with all_observations_traceable=True and 101 catalogue content facts from the source-file content pass.",Collaborator review is still needed for open calibration/provenance caveats such as Taupe units and RH curve generation.,measurement_chapter.tex; inversion_workflow/measurement_likelihood_model.md; inversion_workflow/report_open_comment_audit.md; inversion_workflow/measurement_report_traceability_audit.md
R06_sources_and_fulltexts,"Document new sources in BibTeX, cite with locators, and track available/unavailable fulltexts.",achieved_with_tracked_caveats,"Cited keys=29; missing BibTeX entries=0; blocked cited fulltexts missing from unavailable list=0; citation locator audit status=citation_locator_audit_generated; citation key instances=63; unique cited keys=29; missing/weak locators=0; citation-audit missing BibTeX=0; unavailable fulltexts missing from log=0; fulltext statuses={'local_fulltext_available': 56, 'official_web_documentation': 5, 'unavailable_tracked': 2}.",Acquire clean PDFs for blocked sources if institutional access becomes available; rerun the citation locator audit after adding or editing citations.,opalinus_clay.bib; Library/fulltexts/; Library/unavailable_fulltexts.md; Library/source_coverage_audit.md; Library/citation_locator_audit.md
R07_observation_operators,Represent all collected measurement classes in the frozen OGS workflow in a defensible way.,achieved_with_tracked_caveats,"Observation groups=9; coverage statuses={'active_parameter_objective': 1, 'active_state_residual_from_sampled_ogs_outputs': 1, 'boundary_forcing_audited_not_point_residual': 1, 'layout_and_qualitative_targets_ready_numeric_series_missing': 1, 'resistivity_diagnostic_generated_transform_support_unconfirmed': 1, 'structural_prior_ready': 1, 'support_layer_ready': 1, 'trend_operator_ready_absolute_calibration_pending': 1, 'workflow_support_ready': 1}; model-entry matrix status=measurement_model_entry_matrix_generated, rows=9, active measurement classes=2, active rows=267, entry classes={'active_objective': 2, 'boundary_audit_only': 1, 'diagnostic_only': 2, 'not_ready_for_hard_residual': 1, 'support_or_prior_layer': 3}, final decision statuses={'pending_modelling_team_final_policy': 1, 'pending_user_send_and_provider_response_or_explicit_exclusion': 6}, rows without likelihood row=1; measurement-report traceability=True with statuses={'pass': 9}; state target rows=11490; state sample rows=37184; ERT compared log-resistivity rows=162800 across 80 output times; ERT cross-run audits=66; ERT support-sensitivity runs=6; RH candidate boundary curves=6 with 2922 post-active-curve rows; RH uncertainty envelope dates=1064; active curve outside envelope rows=575; other-HM numeric source audit requests=6; hard-ready requests=0; Taupe compared trend rows=1860 across 12 series; Taupe cross-run audits=74; Taupe series-weight sensitivity runs=66; stream activation-gate audit required failures=7, warnings=4, decisions={'active_with_tracked_caveats': 2, 'boundary_audit_only': 1, 'diagnostic_only': 2, 'not_ready_for_hard_residual': 1, 'support_layer_ready': 2}; gate-closure requests=13 (7 external, 6 internal/confirmation); external recipient drafts=5 covering 7 external requests, with suggested To routes for 5/5 recipients; response intake tracks 7 requests with 7 missing responses; dispatch audit status=external_gate_dispatch_gmail_drafts_created_waiting_user_send_and_responses, ready requests=7/7, failed checks=0, suggested To rows=7, Gmail drafts=5; Gmail live-state audit=gmail_gate_live_state_checked_drafts_still_not_sent_no_responses_found, checked_at=2026-06-01T03:55:46+02:00, observed drafts=6/6, sent-subject hits=0, provider-reply hits=0; external blocker dashboard=external_blocker_dashboard_generated_waiting_user_send_and_responses, blockers=8, open=8, unsent=8, missing responses=8; local gate recovery audit=local_gate_recovery_audit_generated, documents rescanned=2540, possible gate-closing evidence rows=0, gates still external after rescan=7; Downloads recovery audit=download_gate_recovery_audit_generated, documents scanned=533, possible gate-closing evidence rows=0, verified duplicate/catalogue rows=25, uncatalogued run-output dirs=1; internal local policies recorded=7/7.","Keep ERT, Taupe/TDR, RH/suction, and other HM streams gated until their stream-specific support, calibration, uncertainty, provenance, and numeric-export decisions are satisfied; use the stream activation-gate audit, local gate recovery audit, Downloads recovery audit, gate-closure request package, external request pack, dispatch audit, response intake tracker, and internal decision register as the machine-readable blocker, local-rescan, outbound request, send-readiness, response-filing, and policy lists.",inversion_workflow/measurement_operator_coverage.md; inversion_workflow/measurement_model_entry_matrix.md; inversion_workflow/measurement_report_traceability_audit.md; inversion_workflow/measurement_stream_activation_gate_audit.md; inversion_workflow/local_gate_recovery_audit.md; inversion_workflow/download_gate_recovery_audit.md; inversion_workflow/gmail_gate_live_state_audit.md; inversion_workflow/external_blocker_dashboard.md; inversion_workflow/measurement_gate_closure_request.md; inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_dispatch_audit.md; inversion_workflow/external_gate_response_intake.md; inversion_workflow/internal_gate_decision_register.md; inversion_workflow/processed_observations/
R08_likelihood_activation,"Define residuals, weighting, transforms, caveats, and activation gates before fitting.",achieved_with_tracked_caveats,"Likelihood streams=7; active streams now=2; current objective rows=267; direct permeability likelihood-policy audit status=permeability_likelihood_policy_audit_generated, current row-Gaussian objective=269.8180571059851, support-cell mean diagnostic objective=1.7670484276950664e-28, top-10 row-loss share=0.49400403343820803; support lower-bound audit=permeability_support_lower_bound_audit_generated, same-support reducible fraction=0.0, current at lower bound=True; permeability likelihood decision request=permeability_likelihood_decision_request_generated, recommended current-report policy=keep_rowwise_gaussian_default; existing-field likelihood rerank=permeability_likelihood_scenario_rerank_generated, scored fields=522, row-Gaussian best ties=40, current accepted tied=True, diagnostic winners outside tie set=3; winner cross-stream audit=permeability_likelihood_winner_cross_stream_audit_generated, policy winners with scorecard evidence=4, direct-only policy winners=3, outside-tie direct-only winners=3, row-Gaussian representative active rank=45.0, current accepted active rank=1.0; state rows without OGS samples=0; NMR bias/anomaly audit runs=66, best label-bias run=broad_continuous_001_003_length_0p021m, current-vs-label-bias rank correlation=0.6351529067946979; NMR objective decision recommends=within_label_trend_anomaly, recommended-run=broad_continuous_001_003_length_0p021m, active-objective-changed=False, active incumbent rank under recommendation=14.0; NMR trend/anomaly executable mode status=nmr_trend_anomaly_active_objective_mode_implemented_provisional, full-active runs=66, best executable run=broad_continuous_001_003_length_0p021m, validation max abs delta=5.684341886080802e-14; NMR final residual policy gate status=nmr_final_residual_policy_gate_generated, final policy selected=False, current default=retain_raw_absolute_theta_current_report_default_with_caveats, recommended candidate policy=within_label_trend_anomaly, recommended run=broad_continuous_001_003_length_0p021m, follow-up=pause_new_trend_anomaly_ogs_batch; NMR final-policy acceptance template status=nmr_final_residual_policy_acceptance_record_template_generated, primary approvals recorded/required=0/1, ready to apply=False; ERT diagnostic log10 MAE=0.2541801957739222, RMSE=0.29996586160456457; ERT cross-run MAE range=0.019635573360798686; ERT support-sensitivity variants=9, best mean support-rank run=broad_continuous_001_001_length_0p023m_shift_1p004; RH preferred candidate=rh5_rh6_median overlap MAE=15.145716829491423 MPa; RH envelope dates=1064, active outside envelope rows=575, overlap pressure-range p50=2.103967930926996 MPa; Taupe diagnostic trend MAE=1.8632108603748923; Taupe cross-run MAE range=0.03687076560014302; Taupe series-weight compared series=12, distinct per-series winners=8, best mean weighting-rank run=adaptive_combined_001_length_0p050m; cross-stream scorecard runs=66, best mean-rank run=local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000, active-incumbent ERT rank=8.0, Taupe rank=29.0, top-10-all-stream candidates=0; stream activation-gate required failures=7, diagnostic/boundary-only streams=3, not-ready hard-residual streams=1; gate-closure requests=13, high-priority=['ert_transform_support', 'ert_uncertainty', 'hm_numeric_exports', 'hm_uncertainty', 'rh_active_curve_provenance', 'taupe_unit_calibration', 'nmr_bound_water', 'perm_likelihood_policy', 'rh_uncertainty']; external request pack status=external_gate_request_pack_generated_not_sent, recipients=5, requests=7; recipient contact routes with suggested To=5, suggested Cc=1, route counts={'coordinator_only_processing_owner_unresolved': 1, 'coordinator_only_provider_unresolved': 1, 'coordinator_only_source_owner_unresolved': 1, 'coordinator_only_specific_provider_unresolved': 1, 'coordinator_with_named_provider_cc': 1}; response intake status=external_gate_response_intake_generated_waiting_for_responses, missing responses=7, intake dirs=5, note templates=7, rows with suggested To=7; dispatch audit status=external_gate_dispatch_gmail_drafts_created_waiting_user_send_and_responses, ready requests=7/7, failed checks=0, suggested To rows=7, suggested Cc rows=2, Gmail draft request rows=7, unique Gmail drafts=5; Gmail live-state audit=gmail_gate_live_state_checked_drafts_still_not_sent_no_responses_found, observed drafts=6/6, sent-subject hits=0, provider-reply hits=0, recent CD-A/HERMES/TeamBeam non-draft hits=0; external blocker dashboard=external_blocker_dashboard_generated_waiting_user_send_and_responses, open blockers=8/8, measurement blockers=7, CTE confirmation blockers=1; local gate recovery rescan status=local_gate_recovery_audit_generated, possible gate-closing evidence rows=0, keyword-only candidate rows=62, still-external gates=['ert_transform_support', 'ert_uncertainty', 'hm_numeric_exports', 'hm_uncertainty', 'perm_endpoint_geometry', 'rh_active_curve_provenance', 'taupe_unit_calibration']; Downloads recovery rescan status=download_gate_recovery_audit_generated, possible gate-closing evidence rows=0, keyword-only candidate rows=40, still-external gates=['ert_transform_support', 'ert_uncertainty', 'hm_numeric_exports', 'hm_uncertainty', 'perm_endpoint_geometry', 'rh_active_curve_provenance', 'taupe_unit_calibration']; internal decision register local policies=7, active/ready=2, diagnostic/boundary=3, hard-activation gated=3, confirmation caveats=5, not-promoted-default policies=2, NMR default-promotion status=local_policy_recorded_not_promoted_default, permeability likelihood-policy status=local_policy_recorded_not_promoted_default.","Keep the NMR bound-water/model-error caveat explicit and keep the recorded not-default policy for trend/anomaly NMR unless the modelling team deliberately reopens the objective semantics. The NMR final residual policy gate now records the exact current default, preferred provisional trend/anomaly policy, and no-new-batch recommendation, but final promotion still needs an accepted NMR residual choice; the acceptance template currently records no primary NMR-policy approval. Keep the direct permeability row-Gaussian policy recorded for reproducibility, use the existing-field likelihood rerank, support lower-bound audit, and winner cross-stream audit as decision evidence, but do not switch to robust tails or support-cell aggregation without an explicit modelling-team likelihood decision. Do not promote direct-only non-default winners without OGS execution and stream diagnostics. Use the ERT resistivity and Taupe trend diagnostics only as screens until ERT support/transform/uncertainty and Taupe units/uncertainty are calibrated, resolve RH boundary provenance before activating those streams, and keep other-HM residuals inactive because the local source, catalogue-recovery, and Downloads-recovery audits found no hard-ready numeric exports or local gate-closing evidence. Use the cross-stream scorecard, stream gate audit, local gate recovery audit, Downloads recovery audit, gate-closure request package, external request pack, dispatch audit, response intake tracker, and internal decision register to prevent reporting a field that only wins the active objective.",inversion_workflow/measurement_likelihood_model.csv; inversion_workflow/measurement_likelihood_model.md; inversion_workflow/permeability_likelihood_policy_audit.md; inversion_workflow/permeability_support_lower_bound_audit.md; inversion_workflow/permeability_likelihood_decision_request.md; inversion_workflow/permeability_likelihood_scenario_rerank.md; inversion_workflow/permeability_likelihood_winner_cross_stream_audit.md; inversion_workflow/nmr_objective_decision.md; inversion_workflow/nmr_trend_anomaly_active_objective.md; inversion_workflow/nmr_final_residual_policy_gate.md; inversion_workflow/nmr_final_residual_policy_acceptance_record_template.md; inversion_workflow/measurement_stream_activation_gate_audit.md; inversion_workflow/local_gate_recovery_audit.md; inversion_workflow/download_gate_recovery_audit.md; inversion_workflow/gmail_gate_live_state_audit.md; inversion_workflow/external_blocker_dashboard.md; inversion_workflow/measurement_gate_closure_request.md; inversion_workflow/external_gate_request_pack.md; inversion_workflow/external_gate_dispatch_audit.md; inversion_workflow/external_gate_response_intake.md; inversion_workflow/internal_gate_decision_register.md; inversion_workflow/cross_stream_candidate_scorecard.md
R09_parameter_release_control,Keep the GESA model frozen while allowing staged run-local parameter fields.,achieved,"Release-plan rows=14; active fields=['intrinsic permeability tensor magnitude field']; release-gate status=pass; audited runs=65; checks=1300; gate failures=0; CTE confirmation request status=cte_confirmation_gmail_draft_created_waiting_user_send_and_response, request=drafted_pending_send, response=no_response_recorded, Gmail draft=r2947727639429158073; frozen-model/measurement audit status=pass, release-gate runs/checks=65/1300, failures=0, wrong projection-source manifests=0.","Do not release porosity, retention, mechanical, boundary, or thermal parameters until their gates are satisfied; review/send and close the CTE confirmation request before interpreting thermal expansivity physically.",inversion_workflow/inversion_parameter_release_plan.md; inversion_workflow/inversion_release_gate_audit.md; inversion_workflow/frozen_model_measurement_inclusion_audit.md; inversion_workflow/thermal_expansivity_parameter_audit.md; inversion_workflow/cte_confirmation_request.md
R10_permeability_field_fit,Fit or rank heterogeneous anisotropic permeability fields against currently active data.,partial,"Executed combined candidates=65; regularized OGS mode=execute; best executed candidate=basis_024_det_l_0p0075_s_1p000; best combined active objective=3156.353066948979; first adaptive batch best=length_0p050m (3276.565238233279); local refinement best=length_0p013m (3159.6643814648755); local bracketing best=length_0p013m_shift_1p125 (3167.2098371738107); optimizer-proposed batch best=length_0p019m_shift_0p875 (3172.373457220063); continuous-proposal batch best=length_0p006m_shift_0p992 (3156.7841213432516); broad continuous batch best=length_0p023m_shift_1p004 (3159.0596578385903); broad continuous cumulative best=length_0p010m (3157.702128613753); lower-support continuous batch best=length_0p004m_shift_0p995 (3156.3785563886977); latest continuous-loop batch best=length_0p010m (3157.702128613753); post-loop best=length_0p003m_shift_1p006 (3156.3730086472674); active components=2; state active rows=192; direct RMSE=1.61071549171474; permeability residual conflict audit status=permeability_residual_conflict_audit_generated, active rows=75, |residual|>=1 log10 rows=48, |residual|>=2 log10 rows=21, outside configured scalar range=2, repeated support cells=24, support cells with observed range >=1 log10=16; permeability likelihood policy status=permeability_likelihood_policy_audit_generated, support-cell mean diagnostic objective=1.7670484276950664e-28, support-cell median diagnostic objective=134.72779043641356, top-10 row-loss share=0.49400403343820803, decision request=permeability_likelihood_decision_request_generated; configured-scalar outlier disposition status=permeability_configured_scalar_outlier_disposition_generated, outlier rows/groups=2/1, max envelope excess=0.10719186674877967, max same-support range=6.948847477552619, bounds release now=False, tensor-shape release now=False; support lower-bound audit status=permeability_support_lower_bound_audit_generated, single-support lower-bound objective=269.8180571059851, same-support reducible gap=0.0, current at lower bound=True, support groups with observed range >=2 log10=16; support-conflict spatial audit status=permeability_support_conflict_spatial_audit_generated, mesh cells=10239, active support cells=30, repeated support cells=24, support cells with range >=1/>=2 log10=16/16, configured-scalar conflict cells=1, top conflict cell=4648 (BCD-A32 at 0.85-0.87 m, observed range=6.948847477552619); release gate=pass; global release checks=1300; next-batch proposals=6; top proposal=length_0p008m_shift_1p011; proposal mode=local_refinement_after_state_response; finite-candidate optimizer top=length_0p003m_shift_0p972; optimizer acquisition=lcb; continuous proposals=136; continuous top=length_0p009m_shift_0p979; continuous top predicted objective=3158.112102075178; anisotropy sensitivity candidates=35; best anisotropy direct candidate=anis_theta_144p0_ratio_2p50 (delta=0.0); local-basis sampler candidates=131; local-basis anchors=30; best local-basis direct candidate=basis_004_det_l_0p0015_s_1p000 (delta=-0.01743135794737327); local-anisotropy sampler candidates=80; local-anisotropy anchors=30; best local-anisotropy direct candidate=local_anis_isotropize_l0p015_s0p5_r1 (delta=0.18992005641422338); local-basis OGS batch best=basis_024_det_l_0p0075_s_1p000 (3156.353066948979); production OGS rounds best=basis_023_det_l_0p0075_s_0p750 (3156.3547580979066); production OGS rounds=5; production sampler evidence rows=65; production candidate pool=394; production executable unexecuted candidates=210; production top proposal=length_0p007m_shift_1p020 (smooth); production CV state RMSE=10.430369372008784; production stop/continue decision=pause_active_production_sampling; cross-stream best mean-rank run=local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000 (mean rank=10.4, worst rank=18.0); active incumbent cross-stream ranks: NMR-bias=14.0, ERT=8.0, Taupe=29.0; cross-stream hybrid field screen candidates=15 from 5 target winner runs; best direct hybrid=cross_hybrid_mean_rank_all_streams_plus2_a0p25 with delta=0.0; structural/EDZ field-family screen status=structural_edz_direct_screen_no_ogs_batch_recommended, candidates=234, improving direct candidates=0, best=struct_bedding_parallel_band_bed_om0p75_w0p25_a0p5 (bedding_parallel_band) with delta=0.0; current field package status=current_permeability_field_package_generated, run=local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000, cells=10239, positive-definite cells=10239, median log10 eigen-permeability=(-19.385282356749467, -18.98734234807743), anisotropy p50=2.4999999999999996, theta p50=144.0; current field reproducibility audit status=current_field_reproducibility_verified, checks=19, required failures=0, manifest rows=46, run-input files=25, project refs=15, residual rows direct/state=75/192; current field visual inspection=current_field_visual_inspection_generated, images=6, rendered positive-definite cells=10239, log10 geometric-mean permeability p50=-19.18631235241345, nearest-anchor distance p50=1.3341074008425977 m; frozen-model/measurement inclusion audit=pass, checks=13, measurement-info rows=206, archive rows=1880, workbook sheet rows=34, promotion guard=do_not_promote_current_field; current field selection audit status=current_field_selection_audit_generated, active decision=accept_as_current_active_objective_incumbent, final all-measurement decision=do_not_promote_to_final_all_measurement_field, status counts={'pass': 2, 'pass_with_caveat': 2, 'fails_final_promotion': 2, 'blocked_or_gated': 4}; conditional field scenarios status=conditional_field_selection_scenarios_generated, scenarios=8, unique winners=5, current-field wins=1, final decision=single_field_not_stable_across_gate_scenarios; conditional field candidate package status=conditional_field_candidate_package_generated, candidates=5, selection stability=unstable_across_defined_scenarios, diagnostic metric evidence rows=25, missing metric rows=0; conditional field difference audit status=conditional_field_difference_audit_generated, compared fields=4, cells=10239, largest-difference candidate=local_bracketed_003_length_0p031m, max mean abs delta log10 k=0.03774483756924675, max cells over 0.05/0.10 log10=241/233; final promotion checklist status=final_inversion_promotion_checklist_generated, decision=do_not_promote_current_field, criteria=17, open criteria=9, status counts={'active_only_pass': 2, 'blocked_external': 6, 'blocked_internal_decision': 1, 'fails_promotion': 2, 'pass': 5, 'pass_with_caveat': 1}; permeability next field-fit gate status=permeability_next_field_fit_gate_generated, recommendation=pause_same_support_active_objective_ogs_until_likelihood_support_bounds_or_stream_gate_changes, gates=8, same-support active-objective batch executable now=False, gate statuses={'available_for_inspection_active_only': 1, 'blocked_by_external_stream_gates': 1, 'blocked_by_support_conflicts_and_endpoint_geometry': 1, 'blocked_until_policy_approved_and_ogs_executed': 1, 'do_not_run_more_same_support_sampling_now': 1, 'local_outlier_disposition_recorded_policy_still_required': 1, 'not_ready_until_objective_finalized': 1, 'rowwise_gaussian_default_retained_for_current_report': 1}.","The current best executed field is now packaged for inspection and rerun provenance. The smooth magnitude, global anisotropy-angle/ratio, first local-basis magnitude family, local tensor-anisotropy screen, cross-family production sampler rounds, cross-stream hybrid magnitude blends, and structural/EDZ cap/shell/bedding/corridor screen have now been checked. The residual conflict, spatial support-conflict, likelihood-policy, configured-scalar outlier-disposition, and support lower-bound audits show the remaining direct mismatch is concentrated in large pulse-test residuals and repeated support-cell conflicts; the two scalar-envelope rows are now classified as one duplicated minor upper-envelope exceedance that does not by itself justify bounds widening or tensor-shape release. The accepted field is already at the single-support lower bound for the current support map. The next field-fit gate now records that no same-support active-objective batch is executable under the current row-Gaussian policy, and the likelihood-policy acceptance template records that no primary policy approval exists yet. Reopen OGS spending only after a support/likelihood/bounds/tensor-shape decision or accepted measurement-stream objective is recorded; do not accept a final field until the broader stream gates are resolved or explicitly excluded.",inversion_workflow/scripts/run_continuous_inversion_loop.py; inversion_workflow/scripts/build_anisotropy_sensitivity_plan.py; inversion_workflow/scripts/build_local_basis_sampler_plan.py; inversion_workflow/scripts/build_local_anisotropy_sampler_plan.py; inversion_workflow/scripts/build_production_sampler_convergence_audit.py; inversion_workflow/scripts/build_cross_stream_candidate_scorecard.py; inversion_workflow/scripts/build_cross_stream_hybrid_field_plan.py; inversion_workflow/scripts/build_structural_edz_field_family_plan.py; inversion_workflow/scripts/build_permeability_residual_conflict_audit.py; inversion_workflow/scripts/build_permeability_support_conflict_spatial_audit.py; inversion_workflow/scripts/build_permeability_likelihood_policy_audit.py; inversion_workflow/scripts/build_permeability_support_lower_bound_audit.py; inversion_workflow/scripts/build_permeability_likelihood_decision_request.py; inversion_workflow/scripts/build_permeability_configured_scalar_outlier_disposition.py; inversion_workflow/scripts/build_permeability_next_field_fit_gate.py; inversion_workflow/scripts/build_permeability_likelihood_policy_acceptance_template.py; inversion_workflow/scripts/build_current_permeability_field_package.py; inversion_workflow/scripts/build_current_field_reproducibility_audit.py; inversion_workflow/scripts/build_current_field_visual_inspection.py; inversion_workflow/scripts/build_current_field_selection_audit.py; inversion_workflow/scripts/build_conditional_field_selection_scenarios.py; inversion_workflow/scripts/build_conditional_field_candidate_package.py; inversion_workflow/scripts/build_conditional_field_difference_audit.py; inversion_workflow/scripts/build_final_inversion_promotion_checklist.py; inversion_workflow/scripts/build_frozen_model_measurement_inclusion_audit.py; inversion_workflow/permeability_residual_conflict_audit.md; inversion_workflow/permeability_support_conflict_spatial_audit.md; inversion_workflow/permeability_likelihood_policy_audit.md; inversion_workflow/permeability_support_lower_bound_audit.md; inversion_workflow/permeability_likelihood_decision_request.md; inversion_workflow/permeability_configured_scalar_outlier_disposition.md; inversion_workflow/permeability_next_field_fit_gate.md; inversion_workflow/permeability_likelihood_policy_acceptance_record_template.md; inversion_workflow/current_permeability_field/CURRENT_PERMEABILITY_FIELD.md; inversion_workflow/current_permeability_field/CURRENT_FIELD_REPRODUCIBILITY_AUDIT.md; inversion_workflow/current_permeability_field/visual_inspection/CURRENT_FIELD_VISUAL_INSPECTION.md; inversion_workflow/current_permeability_field/current_best_bulk_w_projections.vtu; inversion_workflow/current_field_selection_audit.md; inversion_workflow/frozen_model_measurement_inclusion_audit.md; inversion_workflow/conditional_field_selection_scenarios.md; inversion_workflow/conditional_field_candidates/CONDITIONAL_FIELD_CANDIDATES.md; inversion_workflow/conditional_field_candidates/CONDITIONAL_FIELD_DIFFERENCE_AUDIT.md; inversion_workflow/final_inversion_promotion_checklist.md; inversion_workflow/runs/continuous_inversion_loop/; inversion_workflow/runs/anisotropy_sensitivity_plan/; inversion_workflow/runs/local_basis_sampler_plan/; inversion_workflow/runs/local_anisotropy_sampler_plan/; inversion_workflow/runs/production_sampler_convergence/; inversion_workflow/runs/cross_stream_hybrid_field_plan/; inversion_workflow/runs/structural_edz_field_family_plan/; inversion_workflow/runs/regularized_ogs_candidate_set/; inversion_workflow/runs/adaptive_combined_candidate_plan/; inversion_workflow/runs/bayesian_candidate_proposal/; inversion_workflow/runs/continuous_bayesian_candidate_plan/; inversion_workflow/runs/lower_support_continuous_candidate_plan/; inversion_workflow/runs/smooth_permeability_candidate_search/; inversion_workflow/cross_stream_candidate_scorecard.md
