primary_support_cell_id,row_count,effective_objective_weight,segments,source_sheets,campaign_years,depth_min_m,depth_max_m,observed_log10_min,observed_log10_max,observed_log10_range,best_single_support_prediction_log10,current_weighted_prediction_log10,prediction_minus_best_log10,current_row_gaussian_loss,single_support_lower_bound_loss,current_minus_lower_bound_loss,current_at_lower_bound,configured_scalar_feasibility_statuses,residual_signs,support_lower_bound_class,current_row_gaussian_loss_share
4648,3,2.0,BCD-A32,2024;2024_OT,2024,0.85,0.87,-19.045757490560675,-12.096910013008056,6.948847477552619,-15.571333751784366,-15.571333751784366,0.0,48.28648126628939,48.28648126628939,0.0,True,observed_above_configured_scalar_range;observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.1789594135551957
8057,3,2.0,BCD-A33,2024;2024_OT,2024,0.55,0.59,-21.0,-14.096910013008056,6.903089986991944,-17.548455006504028,-17.548455006504028,0.0,47.65265136850844,47.65265136850844,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.17661031244395323
7188,3,2.0,BCD-A32,2024;2024_OT,2024,0.95,1.01,-19.096910013008056,-14.522878745280336,4.574031267727721,-16.809894379144197,-16.809894379144197,0.0,20.92176203815086,20.92176203815086,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.07754025902696626
5040,3,2.0,BCD-A32,2024;2024_OT,2024,1.15,1.15,-19.39794000867204,-15.096910013008056,4.301029995663985,-17.247425010840047,-17.24742501084005,-3.552713678800501e-15,18.498859023601337,18.498859023601337,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.06856049303006784
5896,3,2.0,BCD-A32,2024;2024_OT,2024,1.25,1.29,-20.69897000433602,-16.397940008672037,4.301029995663981,-18.548455006504028,-18.548455006504028,0.0,18.498859023601305,18.498859023601305,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.06856049303006773
4317,3,2.0,BCD-A33,2024;2024_OT,2024,1.7,1.7,-20.39794000867204,-16.30102999566398,4.09691001300806,-18.34948500216801,-18.349485002168013,-3.552713678800501e-15,16.784671654685702,16.784671654685702,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.0622073697910168
6191,3,2.0,BCD-A32,2024;2024_OT,2024,0.65,0.73,-19.30102999566398,-15.30102999566398,4.000000000000002,-17.30102999566398,-17.30102999566398,0.0,16.000000000000014,16.000000000000014,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.059299218783252824
5030,3,2.0,BCD-A33,2024;2024_OT,2024,1.15,1.15,-19.045757490560675,-15.154901959985745,3.89085553057493,-17.10032972527321,-17.10032972527321,0.0,15.13875675980552,15.13875675980552,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.05610727807538465
8051,3,2.0,BCD-A32,2024;2024_OT,2024,0.25,0.31,-19.522878745280337,-15.69897000433602,3.823908740944317,-17.610924374808178,-17.61092437480818,-3.552713678800501e-15,14.62227805907035,14.62227805907035,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.05419310410839809
8371,3,2.0,BCD-A32,2024;2024_OT,2024,0.45,0.45,-19.096910013008056,-15.69897000433602,3.3979400086720357,-17.397940008672037,-17.397940008672037,0.0,11.545996302534114,11.545996302534114,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.04279178505091238
5749,3,2.0,BCD-A33,2024;2024_OT,2024,1.25,1.29,-19.22184874961636,-16.045757490560675,3.176091259055685,-17.633803120088515,-17.63380312008852,-3.552713678800501e-15,10.087555685849924,10.087555685849924,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.03738651072521626
3600,3,2.0,BCD-A33,2024;2024_OT,2024,0.45,0.45,-19.096910013008056,-16.096910013008056,3.0,-17.596910013008056,-17.596910013008056,0.0,9.0,9.0,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.03335581056557969
4650,3,2.0,BCD-A33,2024;2024_OT,2024,0.95,1.01,-20.0,-17.221848749616356,2.778151250383644,-18.610924374808178,-18.610924374808175,3.552713678800501e-15,7.718124370008203,7.718124370008204,-8.881784197001252e-16,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.028604921600841965
4096,3,2.0,BCD-A33,2024;2024_OT,2024,0.25,0.31,-19.096910013008056,-16.69897000433602,2.3979400086720375,-17.897940008672037,-17.897940008672037,0.0,5.750116285190051,5.750116285190051,0.0,True,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation,irreducible_large_same_support_conflict,0.02131108772653935
