source_file,source_sheet,niche,date_iso,location,nmr_water_content_fraction,nmr_water_content_vol_percent,nmr_water_content_std_fraction,resistivity_ohm_m
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2019-10-22T00:00:00,top,0.11,11.0,0.0202,23.9674
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2019-10-22T00:00:00,bottom,0.1084,10.84,0.0017,25.04
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2019-10-24T00:00:00,top,0.1039,10.39,0.0253,24.0093
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2019-10-24T00:00:00,bottom,0.1108,11.08,0.0059,25.0461
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2020-03-03T00:00:00,top,0.1033,10.33,0.0226,34.569
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2020-03-03T00:00:00,bottom,0.1007,10.07,0.0058,53.0637
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2020-09-17T00:00:00,bottom,0.1239,12.389999999999999,0.0084,32.1216
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2021-03-19T00:00:00,top,0.1302,13.020000000000001,0.0299,22.8053
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2021-03-19T00:00:00,bottom,0.1279,12.790000000000001,0.0095,29.9979
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2021-10-07T00:00:00,top,0.1608,16.08,0.0154,22.9194
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2021-10-07T00:00:00,bottom,0.1528,15.28,0.01,29.187
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2021-10-07T00:00:00,left,0.1584,15.840000000000002,0.0145,21.0753
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2021-10-07T00:00:00,right,0.1535,15.35,0.0161,21.2119
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-04-28T00:00:00,top,0.1716,17.16,0.0127,22.6024
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-04-28T00:00:00,bottom,0.1502,15.02,0.0076,29.2163
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-04-28T00:00:00,left,0.1521,15.21,0.009,21.8003
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-04-28T00:00:00,right,0.1509,15.09,0.0088,21.3087
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-10-20T00:00:00,top,0.1456,14.56,0.0148,22.675
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-10-20T00:00:00,bottom,0.1461,14.610000000000001,0.0069,28.4451
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-10-20T00:00:00,left,0.1494,14.940000000000001,0.0074,21.1636
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2022-10-20T00:00:00,right,0.1368,13.68,0.0087,21.188
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-02-23T00:00:00,top,0.1482,14.82,0.015,22.2173
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-02-23T00:00:00,bottom,0.1489,14.89,0.0126,28.4015
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-02-23T00:00:00,left,0.1638,16.38,0.0146,21.6869
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-02-23T00:00:00,right,0.1485,14.85,0.0147,21.3081
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-11-22T00:00:00,top,0.1693,16.93,0.0184,22.44
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-11-22T00:00:00,bottom,0.1533,15.329999999999998,0.0158,27.933
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-11-22T00:00:00,left,0.1558,15.58,0.0169,21.1969
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2023-11-22T00:00:00,right,0.1299,12.989999999999998,0.0103,21.1526
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2024-11-14T00:00:00,top,0.1678,16.78,0.0181,23.0637
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2024-11-14T00:00:00,bottom,0.1481,14.81,0.014,28.621
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2024-11-14T00:00:00,left,0.1593,15.93,0.0177,21.2328
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2024-11-14T00:00:00,right,0.1557,15.57,0.0159,21.2702
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2025-02-13T00:00:00,top,0.1328,13.28,0.0438,22.9968
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2025-02-13T00:00:00,bottom,0.1524,15.24,0.0163,28.728
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2025-02-13T00:00:00,left,0.1498,14.979999999999999,0.0223,21.6306
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N3,2025-02-13T00:00:00,right,0.1467,14.67,0.0264,21.2447
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2019-10-23T00:00:00,top,0.084,8.4,0.0181,34.8879
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2019-10-23T00:00:00,bottom,0.0952,9.520000000000001,0.0165,16.704
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2020-03-03T00:00:00,top,0.0805,8.05,0.0207,50.3304
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2020-03-03T00:00:00,bottom,0.0769,7.6899999999999995,0.0029,57.5492
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2020-09-17T00:00:00,bottom,0.1086,10.86,0.0123,36.1543
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2021-03-19T00:00:00,top,0.0929,9.29,0.01,58.6893
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2021-03-19T00:00:00,bottom,0.0866,8.66,0.0096,55.7404
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2021-10-06T00:00:00,top,0.145,14.499999999999998,0.0101,32.1539
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2021-10-06T00:00:00,bottom,0.1289,12.889999999999999,0.0092,37.5512
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2021-10-06T00:00:00,left,0.1395,13.950000000000001,0.0089,38.7188
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2021-10-06T00:00:00,right,0.13,13.0,0.0127,51.0851
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-03-24T00:00:00,top,0.0935,9.35,0.0135,59.2389
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-03-24T00:00:00,bottom,0.108,10.8,0.0165,57.7041
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-03-24T00:00:00,left,0.1073,10.73,0.0135,93.9979
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-03-24T00:00:00,right,0.0752,7.5200000000000005,0.0169,169.185
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-10-19T00:00:00,top,0.0977,9.77,0.0101,43.6639
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-10-19T00:00:00,bottom,0.1199,11.99,0.0103,42.1851
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-10-19T00:00:00,left,0.1368,13.68,0.0099,48.0418
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2022-10-19T00:00:00,right,0.1058,10.58,0.0108,73.9692
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-02-22T00:00:00,top,0.0904,9.04,0.0242,65.1749
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-02-22T00:00:00,bottom,0.0981,9.81,0.0201,51.0722
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-02-22T00:00:00,left,0.1105,11.05,0.0197,87.4335
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-02-22T00:00:00,right,0.0997,9.969999999999999,0.0319,185.919
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-11-21T00:00:00,top,0.0986,9.86,0.0151,47.2217
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-11-21T00:00:00,bottom,0.1027,10.27,0.0133,50.6086
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-11-21T00:00:00,left,0.1148,11.48,0.0124,53.2272
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2023-11-21T00:00:00,right,0.1119,11.19,0.0172,96.5072
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2024-11-13T00:00:00,top,0.1352,13.52,0.0581,41.0608
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2024-11-13T00:00:00,bottom,0.1179,11.790000000000001,0.0165,40.7119
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2024-11-13T00:00:00,left,0.15,15.0,0.0517,43.7826
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2024-11-13T00:00:00,right,0.1251,12.509999999999998,0.0261,62.7552
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2025-02-12T00:00:00,top,0.0897,8.97,0.0288,53.6506
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2025-02-12T00:00:00,bottom,0.094,9.4,0.0213,57.6056
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2025-02-12T00:00:00,left,0.1105,11.05,0.0229,79.8745
cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,N4,2025-02-12T00:00:00,right,0.1006,10.059999999999999,0.0183,193.597
