source_file,source_member,suffix,size_bytes
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2019_M_10_D_24.dat,.dat,319
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2020_M_03_D_03.dat,.dat,322
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2020_M_09_D_17.dat,.dat,207
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2021_M_03_D_19.dat,.dat,319
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2021_M_10_D_07.dat,.dat,657
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2022_M_04_D_28.dat,.dat,667
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2022_M_10_D_20.dat,.dat,665
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2023_M_02_D_23.dat,.dat,656
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2023_M_11_D_22.dat,.dat,657
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2024_M_11_D_14.dat,.dat,657
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2025_M_02_D_13.dat,.dat,648
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2019_M_10_D_23.dat,.dat,316
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2020_M_03_D_03.dat,.dat,317
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2020_M_09_D_17.dat,.dat,163
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2021_M_03_D_19.dat,.dat,316
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2021_M_10_D_06.dat,.dat,772
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2022_M_03_D_25.dat,.dat,766
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2022_M_10_D_19.dat,.dat,776
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2023_M_02_D_22.dat,.dat,762
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2023_M_11_D_21.dat,.dat,762
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2024_M_11_D_13.dat,.dat,761
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2025_M_02_D_12.dat,.dat,765
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2019_B_fall.fig,.fig,42825
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2019_B_fall.png,.png,53631
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2020_A_winter.fig,.fig,40818
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2020_A_winter.png,.png,53151
