source_file,source_page,campaign_reference,point_name,location,height_difference_mm,detectable_displacement_mm,model_quantity,validation_role
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,57,Galerie 18,-0.1,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,58,Galerie 18,0.3,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-C1,Closed Twin,0.6,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-C2,Closed Twin,0.8,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-C3,Closed Twin,0.6,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-C4,Closed Twin,1.3,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-C5,Closed Twin,0.5,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-O1,Open Twin,-2.1,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-O2,Open Twin,0.2,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-O3,Open Twin,0.4,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-O4,Open Twin,0.4,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,5,initial measurement 2022-08-29/30 to 2026-03 campaign,CDA-O5,Open Twin,0.9,"0.1-0.2 at 95% confidence, point-dependent",vertical displacement,numeric deformation validation; compare sign and order of magnitude after model geometry/output support is confirmed
