target_id,source_file,source_page,measurement_type,observation,model_quantity,model_use,readiness
geoscope_update_scope_2026_04_20,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,3,multi_stream_geoscope_and_laser,"Geoscope update covers RH, temperature, door opening times, extensometer, mini-piezometer, crackmeter, suction; laser scans with statistical interpretation were also sent.","boundary forcing, displacement, pressure and deformation context",Inventory check: these raw time series/statistical laser products are still needed before hard residuals can be formed.,source_mentions_numeric_streams_raw_series_not_in_catalogue
closed_extensometer_failure_since_2025_09,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,3,extensometer,Horizontal and vertical extensometers BCD-A9 and BCD-A10 in the closed niche failed since September 2025.,displacement/strain,Do not treat closed-niche extensometer data after September 2025 as an unqualified calibration target.,maintenance_caveat_structured
mini_piezometers_working_well_2026,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,3,mini_piezometer,Mini-piezometers BCD-A28 to BCD-A31 were reported as working well.,pore pressure,Good candidates for future pressure residuals once the Geoscope numeric time series are located.,instrument_status_ready_numeric_series_missing
crackmeter_closed_trend_open_seasonal,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,3,crackmeter,Crackmeter data indicate an ongoing trend at one closed-niche measuring point and seasonal variation in the open niche.,crack aperture or local displacement,Use as a qualitative deformation sanity check until crackmeter series are collected.,qualitative_trend_ready_numeric_series_missing
open_twin_ongoing_trend_2026,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,7,multi_stream_open_twin,"Open twin shows ongoing trend in extensometer, suction and Taupe measurements; no experimental adjustments were planned.",coupled hydraulic/deformation trend,The model should not predict a fully static open twin over the same period.,qualitative_validation_gate_ready
closed_twin_mostly_static_with_crack_closure,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,7,multi_stream_closed_twin,"Closed twin is mostly static in extensometer, pore-pressure and suction observations, except one crackmeter position indicating ongoing crack closure.","pressure, suction and deformation trend",The model should preserve the open/closed twin contrast and should not force broad closed-twin transient deformation where observations are static.,qualitative_validation_gate_ready
levelling_cda_o1_settlement_c4_heave,cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,6,precision_levelling,Largest levelling deformations are CDA-O1 -2.1 mm settlement and CDA-C4 +1.3 mm heave/uplift; most other points tend toward uplift.,vertical displacement,Numeric levelling rows are extracted separately; use as deformation validation after matching the survey reference frame to OGS displacement output.,numeric_summary_rows_extracted_reference_frame_pending
bgr_edf_next_measurement_focus,cda_knowledge_base/measurements/other_hm_monitoring/source_files/CD-A_TD_2026_sc.pdf,2,modelling_validation_scope,"BGR-EDF comparison focus is displacements/strains from extensometers, pore pressure from mini-piezometers, and pore pressure in the desaturated zone from suction.",displacement/strain and pore pressure,"Defines the priority order for future HM observation operators beyond permeability, NMR, ERT, Taupe and RH.",operator_scope_ready_numeric_series_missing
perfect_ring_strain_discrepancy,cda_knowledge_base/measurements/other_hm_monitoring/source_files/CD-A_TD_2026_sc.pdf,15,extensometer_model_comparison,The simplified perfect-ring 2D model produced simulated strain discrepancies versus extensometer measurements.,strain,Use as a warning that simplified geometry/constitutive choices can fail mechanical validation even if hydraulic fits look plausible.,qualitative_model_caveat_ready
hermes_available_monitoring_scope,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2024-12-19_Input_HERMES_BGR_20241217.pdf,5,long_term_monitoring_scope,"BGR reports access to long-term deformation, humidity, water content, pore-water pressure, crack-width, piezometer/extensometer, ERT, TDR and laser-scan measurements.",multi-physics validation data,"Confirms that the catalogue should keep seeking Geoscope and laser-scan raw exports, not just the water-content and permeability files already normalized.",scope_documented_raw_exports_partly_missing
