observation_id,normalized_segment_label,block_label,requested_start_label,requested_end_label,source_file,source_sheet,source_row_1based,campaign_year,campaign_note,twin,direction_inferred_from_label,borehole_depth_m,interval_length_m,permeability_m2,transmissibility_m3,log10_permeability_m2,geometry_evidence_status,geometry_evidence_source_file,geometry_evidence_locator,target_status,usable_for_current_ogs_fit,fit_use_recommendation,requested_coordinate_frame,current_activation_status,activation_rule
perm_0090,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,3,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.15,0.1,1e-13,1.0000000000000002e-14,-13.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0105,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,21,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.15,0.1,6e-18,6e-19,-17.221848749616356,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0091,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,4,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.25,0.1,5e-14,5.000000000000001e-15,-13.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0106,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,22,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.25,0.1,3e-18,3e-19,-17.522878745280337,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0092,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,5,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.35,0.1,1e-14,1e-15,-14.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0107,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,23,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.35,0.1,6e-15,6e-16,-14.221848749616356,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0093,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,6,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.45,0.1,2e-14,2e-15,-13.69897000433602,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0108,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,24,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.45,0.1,7e-17,7.000000000000001e-18,-16.154901959985743,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0094,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,7,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.55,0.1,5e-15,5e-16,-14.30102999566398,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0109,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,25,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.55,0.1,1e-19,1e-20,-19.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
perm_0095,BCD-A24,"BCDA_24 (vertical, 2021)",BCD-A24 Anfang,BCD-A24 Ende,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,8,2021,"BCDA_24 (vertical, 2021) | BCDA_25 (horizontal, 2021)",,vertical,0.65,0.1,1e-16,1e-17,-16.0,orientation_only_endpoint_geometry_missing,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_Ziefle_et_al_2023_Characterization.pdf,Section 4.3 / PDF text around p. 7,missing_segment_geometry,False,exclude_until_borehole_geometry_is_available,"same local/model frame used by Coordinates_NMR_Taupe_characborehole.xlsx, borehole_line_mesh_samples.csv, and the 2D OGS projection",blocked_missing_labelled_endpoint_geometry,Activate only after start/end coordinates or an approved digitized trace allow the workbook depth intervals to be sampled on the OGS mesh.
