source_file,source_sheet,source_row_1based,campaign_year,campaign_note,block_label,twin,direction_inferred,interval_id,borehole_depth_m,permeability_m2,transmissibility_m3,log10_permeability_m2,positive_permeability
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,4,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,1.0,0.17,5e-16,5.0000000000000005e-17,-15.301029995663981,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,5,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,2.0,0.31,2e-16,2e-17,-15.698970004336019,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,6,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,3.0,0.45,2e-16,2e-17,-15.698970004336019,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,7,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,4.0,0.59,2e-14,2e-15,-13.698970004336019,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,8,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,5.0,0.73,5e-16,5.0000000000000005e-17,-15.301029995663981,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,9,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,6.0,0.87,8e-13,8.000000000000001e-14,-12.096910013008056,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,10,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,7.0,1.01,3e-15,3e-16,-14.522878745280337,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,11,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,8.0,1.15,8e-16,8e-17,-15.096910013008056,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,12,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,9.0,1.29,4e-17,4e-18,-16.397940008672037,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,13,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,10.0,1.7,2e-20,2e-21,-19.69897000433602,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,14,2024,1. MessEinsatz (April 2024),BCDA_32,open,horizontal,11.0,2.5,5e-21,5e-22,-20.30102999566398,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,4,2024,1. MessEinsatz (April 2024),BCDA_33,open,vertical,,0.15,,0.0,,False
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,5,2024,1. MessEinsatz (April 2024),BCDA_33,open,vertical,,0.25,2e-17,2e-18,-16.69897000433602,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,6,2024,1. MessEinsatz (April 2024),BCDA_33,open,vertical,,0.35,8e-17,8e-18,-16.096910013008056,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,7,2024,1. MessEinsatz (April 2024),BCDA_33,open,vertical,,0.45,8e-17,8e-18,-16.096910013008056,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,8,2024,1. MessEinsatz (April 2024),BCDA_33,open,vertical,,0.55,8e-15,8.000000000000001e-16,-14.096910013008056,True
