observation_id,normalized_segment_label,borehole_depth_m,permeability_m2,log10_permeability_m2,lookup_cell_id,lookup_material_id,lookup_status,usable_for_current_ogs_fit,cell_weight,sample_count_in_cell,measurement_semantics
perm_0000,BCD-A32,0.17,5e-16,-15.301029995663981,136,1,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0001,BCD-A32,0.31,2e-16,-15.698970004336019,8051,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0002,BCD-A32,0.45,2e-16,-15.698970004336019,8371,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0003,BCD-A32,0.59,2e-14,-13.698970004336019,3542,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0004,BCD-A32,0.73,5e-16,-15.301029995663981,6191,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0005,BCD-A32,0.87,8e-13,-12.096910013008056,4648,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0006,BCD-A32,1.01,3e-15,-14.522878745280337,7188,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0007,BCD-A32,1.15,8e-16,-15.096910013008056,5040,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0008,BCD-A32,1.29,4e-17,-16.397940008672037,5896,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0009,BCD-A32,1.7,2e-20,-19.69897000433602,4298,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0010,BCD-A32,2.5,5e-21,-20.30102999566398,5948,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0012,BCD-A33,0.25,2e-17,-16.69897000433602,4096,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0013,BCD-A33,0.35,8e-17,-16.096910013008056,9359,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0014,BCD-A33,0.45,8e-17,-16.096910013008056,3600,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0015,BCD-A33,0.55,8e-15,-14.096910013008056,8057,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0017,BCD-A33,0.75,7e-15,-14.154901959985743,6194,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0018,BCD-A33,0.85,4e-18,-17.397940008672037,4649,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0019,BCD-A33,0.95,6e-18,-17.221848749616356,4650,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0020,BCD-A33,1.05,2e-15,-14.698970004336019,5034,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0021,BCD-A33,1.15,7e-16,-15.154901959985743,5030,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0022,BCD-A33,1.25,9e-17,-16.045757490560675,5749,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0023,BCD-A33,1.7,5e-17,-16.30102999566398,4317,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0024,BCD-A33,3.3,8e-21,-20.096910013008056,3864,0,inside_cell,True,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0025,BCD-A34,0.15,5e-18,-17.30102999566398,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0026,BCD-A34,0.25,3e-20,-19.522878745280337,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0027,BCD-A34,0.35,9e-20,-19.045757490560675,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0028,BCD-A34,0.45,8e-20,-19.096910013008056,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0029,BCD-A34,0.55,1e-13,-13.0,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0030,BCD-A34,0.65,5e-20,-19.30102999566398,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0031,BCD-A34,0.75,8e-20,-19.096910013008056,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0032,BCD-A34,0.85,9e-20,-19.045757490560675,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0033,BCD-A34,0.95,8e-20,-19.096910013008056,5828,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0034,BCD-A34,1.05,2e-20,-19.69897000433602,7663,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0035,BCD-A34,1.15,4e-20,-19.397940008672037,7663,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0036,BCD-A34,1.25,2e-21,-20.69897000433602,7663,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0037,BCD-A34,1.7,5e-21,-20.30102999566398,7663,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0038,BCD-A34,2.5,3e-21,-20.522878745280337,7663,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0039,BCD-A34,3.3,3e-21,-20.522878745280337,5631,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0040,BCD-A35,0.17,4e-20,-19.397940008672037,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0041,BCD-A35,0.31,8e-20,-19.096910013008056,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0042,BCD-A35,0.45,8e-20,-19.096910013008056,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0043,BCD-A35,0.59,1e-21,-21.0,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0044,BCD-A35,0.73,8e-20,-19.096910013008056,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0045,BCD-A35,0.87,4e-20,-19.397940008672037,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0046,BCD-A35,1.01,1e-20,-20.0,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0047,BCD-A35,1.15,9e-20,-19.045757490560675,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0048,BCD-A35,1.29,6e-20,-19.221848749616356,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
perm_0049,BCD-A35,1.7,4e-21,-20.397940008672037,5763,0,outside_mesh_bbox_nearest_cell,False,1.0,1,cell receives equal selected-sample weight for initial interval-average operator
