model_time_s,ogs_open_niche_pressure_pa,ogs_open_niche_pressure_mpa,implied_rh_percent_at_assumed_T_rho,below_valid_collected_rh_min,above_valid_collected_rh_max,below_clean_rh5_rh6_collected_rh_min,above_clean_rh5_rh6_collected_rh_max,curve_role,provenance_status
0.0,-12216822.71330366,-12.216822713303658,92.21195005465546,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
159740.3603603579,-12829700.41670689,-12.82970041670689,91.83763614033435,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
319480.72072071955,-13472794.210545624,-13.472794210545624,91.44650135425432,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
479221.0810810812,-14145424.502571637,-14.145424502571636,91.03918447497392,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
638961.4414414391,-14846815.981204102,-14.846815981204102,90.61638317183815,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
798701.8018018007,-15576099.477562742,-15.576099477562742,90.1788505713607,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
958442.1621621624,-16332314.132176306,-16.332314132176307,89.7273915740123,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
1118182.5225225203,-17114409.85856059,-17.114409858560588,89.26285895352841,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
1277922.882882882,-17921250.094857916,-17.921250094857918,88.7861492722161,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
1437663.2432432398,-18751614.833763964,-18.751614833763963,88.2981986466779,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
1597403.6036036015,-19604203.92003959,-19.60420392003959,87.79997839887157,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
1757143.963963963,-20477640.60401689,-20.477640604016887,87.29249062749818,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
1916884.324324321,-21370475.33866688,-21.37047533866688,86.77676373436465,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
2076624.6846846826,-22281189.806999054,-22.281189806999055,86.25384793962144,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
2236365.0450450443,-23208201.165817663,-23.208201165817663,85.7248108186546,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
2396105.405405402,-24149866.491165377,-24.149866491165376,85.19073289194449,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
2555845.765765764,-25104487.410146687,-25.10448741014669,84.65270329742425,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
