source_file,source_sheet,sensor,date_iso,source_column,edz_band_cm,edz_min_cm,edz_max_cm,taupe_value,quantity_note
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-01T00:00:00,MV EDZ 0-50,0-50,0,50,10.258827128946395,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-01T00:00:00,MV EDZ 0-10,0-10,0,10,10.193064805758329,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-01T00:00:00,MV EDZ 10-20,10-20,10,20,10.21376954722269,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-01T00:00:00,MV EDZ 20-30,20-30,20,30,10.24863489505585,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-01T00:00:00,MV EDZ 30-40,30-40,30,40,10.286405040345107,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-01T00:00:00,MV EDZ 40-50,40-50,40,50,10.355389925799653,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-10T00:00:00,MV EDZ 0-50,0-50,0,50,10.240352406054956,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-10T00:00:00,MV EDZ 0-10,0-10,0,10,10.168243408315147,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-10T00:00:00,MV EDZ 10-20,10-20,10,20,10.199296636174136,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2019-12-10T00:00:00,MV EDZ 20-30,20-30,20,30,10.235680167695314,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
