archive,archive_member,measurement_class,member_size_bytes,extension,copied_to_measurement_folders,local_copies_or_extracted_paths,catalog_note
SOTA___OGS___Mont_Terri.zip,main.tex,model_projection_inputs; report_context,25438,.tex,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/main.tex,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,opalinus_clay.bib,model_projection_inputs; report_context,4170,.bib,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/opalinus_clay.bib,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/cd_a_open_niche_quad.prj,model_projection_inputs; report_context,1072,.prj,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/cd_a_open_niche_quad.prj;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/cd_a_open_niche_quad.prj;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/cd_a_open_niche_quad.prj,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/01_processes_TRM.xml,model_projection_inputs; report_context,1613,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/01_processes_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/01_processes_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/01_processes_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/01_processes_TRM.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/02_process_variables_TRM.xml,model_projection_inputs; report_context,2378,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/02_process_variables_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/02_process_variables_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/02_process_variables_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/02_process_variables_TRM.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/03_parameters_TRM.xml,model_projection_inputs; report_context,5601,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/03_parameters_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/03_parameters_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/03_parameters_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/03_parameters_TRM.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/04_1_media_aqu_liq.xml,model_projection_inputs; report_context,2880,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/04_1_media_aqu_liq.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/04_1_media_aqu_liq.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/04_1_media_aqu_liq.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/04_1_media_aqu_liq.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/04_2_media_twophase.xml,model_projection_inputs; report_context,792,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/04_2_media_twophase.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/04_2_media_twophase.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/04_2_media_twophase.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/04_2_media_twophase.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/04_media_TRM.xml,model_projection_inputs; report_context,1950,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/04_media_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/04_media_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/04_media_TRM.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/04_media_TRM.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
SOTA___OGS___Mont_Terri.zip,ogs_settings/06_nonlinear_solver_T.xml,model_projection_inputs; report_context,185,.xml,model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/06_nonlinear_solver_T.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/06_nonlinear_solver_T.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/06_nonlinear_solver_T.xml;cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/06_nonlinear_solver_T.xml,Workspace-level OGS/report archive; preserved and extracted under model_projection_inputs/source_files for completeness.
