run_id,run_kind,current_combined_objective,direct_permeability_objective,current_nmr_objective_from_summary,current_nmr_rmse_normalized_residual,label_bias_combined_objective,label_bias_objective,label_bias_rmse_normalized_residual,trend_anomaly_combined_objective,trend_anomaly_objective,trend_anomaly_rmse_normalized_residual,active_nmr_rows,active_nmr_label_groups,combined_active_component_count,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_mean_log10,ert_compared_rows,ert_compared_output_times,taupe_trend_mae,taupe_trend_rmse,taupe_trend_residual_mean,taupe_compared_rows,taupe_compared_series,active_objective_rank,active_objective_normalized_loss,nmr_label_bias_rank,nmr_label_bias_normalized_loss,nmr_trend_anomaly_rank,nmr_trend_anomaly_normalized_loss,ert_mae_rank,ert_normalized_loss,taupe_mae_rank,taupe_normalized_loss,mean_rank_all_streams,mean_rank_diagnostics_only,worst_rank_all_streams,worst_rank_diagnostics_only,rank_spread_all_streams,mean_normalized_loss_all_streams,mean_normalized_loss_diagnostics_only,top10_stream_count,top10_diagnostic_stream_count,pareto_all_streams,pareto_diagnostics_only
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,3156.3542661780352,269.8180571059851,2886.53620907205,5.4834373809835,505.63743722410754,235.81938011812247,1.56730720544201,505.63743722410754,235.81938011812247,1.56730720544201,192,17,2,0.2541793946766635,0.299965309911929,0.1573030870789704,162800,80,1.8632029805911825,2.35426272831001,-0.4838879518864569,1860,12,2.0,6.071130057587179e-06,13.0,0.00018830300799274114,13.0,0.00018830300799274114,6.0,0.005464711619127644,18.0,0.903659741554656,10.4,12.5,18.0,18.0,16.0,0.18190142606396537,0.22737526479744227,2,1,True,True
production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,production_sampler_round,3156.361469672941,269.8180571059851,2886.543412566956,5.483444223074806,505.63740368534826,235.8193465793632,1.567307093989039,505.63740368534826,235.8193465793632,1.567307093989039,192,17,2,0.2541801957738991,0.2999658616045459,0.1573039668532849,162800,80,1.8632108603701,2.3542705001343025,-0.4839182704278338,1860,12,12.0,4.253902100898952e-05,8.0,0.00018802998299471559,8.0,0.00018802998299471559,14.0,0.005505509879554433,24.0,0.9038734550154244,13.2,13.5,24.0,24.0,16.0,0.18195951277639544,0.22743875621524207,2,2,True,True
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,3156.353066948979,269.8180571059851,2886.535009842994,5.483436241919646,505.6374423059367,235.81938519995165,1.567307222329484,505.6374423059367,235.81938519995165,1.5673072223294842,192,17,2,0.2541796182834413,0.2999655432285216,0.1573035717320095,162800,80,1.863211058631399,2.3542717467881773,-0.4839129780414623,1860,12,1.0,0.0,14.0,0.00018834437703636723,14.0,0.00018834437703636723,8.0,0.0054760994596407455,29.0,0.9038788322104923,13.2,16.25,29.0,29.0,28.0,0.18194632408484115,0.22743290510605144,2,1,True,False
production_sampler_round2_003_basis_013_det_l_0p0035_s_0p750,production_sampler_round,3156.361078643816,269.8191465658567,2886.5419320779592,5.483442816863515,505.6385032983393,235.81935673248256,1.5673071277289676,505.6385032983393,235.81935673248256,1.5673071277289676,192,17,2,0.2541798412405618,0.2999655423119811,0.1573034389441243,162800,80,1.863203752469824,2.3542623931318505,-0.4839038491957971,1860,12,6.0,4.05594253171694e-05,15.0,0.00019698147199207085,15.0,0.00019698147199207085,12.0,0.005487454214421335,20.0,0.9036806762607541,13.6,15.5,20.0,20.0,14.0,0.18192053056889534,0.2273905233547899,1,0,False,False
production_sampler_round2_004_basis_018_det_l_0p0050_s_0p750,production_sampler_round,3156.3610786433155,269.8191465658567,2886.541932077459,5.48344281686304,505.63850329835486,235.8193567324981,1.5673071277290196,505.63850329835486,235.81935673249816,1.5673071277290196,192,17,2,0.2541798412405204,0.2999655423119485,0.1573034389440773,162800,80,1.8632037524718403,2.3542623931345275,-0.4839038491979256,1860,12,4.0,4.0559422782479174e-05,17.0,0.0001969814721188612,17.0,0.0001969814721188612,9.0,0.005487454212312341,21.0,0.903680676315442,13.6,16.0,21.0,21.0,17.0,0.1819205305789549,0.22739052336799803,2,1,False,False
local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,local_basis,3156.361469672912,269.8180571059851,2886.5434125669267,5.483444223074778,505.637403685358,235.8193465793729,1.5673070939890714,505.637403685358,235.81934657937288,1.5673070939890712,192,17,2,0.254180195773908,0.2999658616045532,0.1573039668532944,162800,80,1.863210860373134,2.354270500138585,-0.4839182704319363,1860,12,10.0,4.2539020861650576e-05,9.0,0.00018802998307384386,9.0,0.00018802998307384386,16.0,0.005505509880006764,25.0,0.9038734550977123,13.8,14.75,25.0,25.0,16.0,0.1819595127929457,0.22743875623596668,3,2,True,False
production_sampler_round2_002_basis_008_det_l_0p0025_s_0p750,production_sampler_round,3156.3610786435147,269.8191465658567,2886.541932077658,5.483442816863229,505.63850329833946,235.81935673248276,1.5673071277289683,505.63850329833946,235.81935673248276,1.5673071277289683,192,17,2,0.2541798412405501,0.2999655423119722,0.1573034389441123,162800,80,1.8632037524743024,2.3542623931373683,-0.4839038492009704,1860,12,5.0,4.0559423790830054e-05,16.0,0.00019698147199345906,16.0,0.00019698147199345906,11.0,0.005487454213824823,22.0,0.9036806763822166,14.0,16.25,22.0,22.0,17.0,0.18192053059276383,0.2273905233850071,1,0,False,False
production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,production_sampler_round,3156.3614696727627,269.8180571059851,2886.543412566777,5.483444223074636,505.637403685364,235.81934657937893,1.5673070939890914,505.6374036853639,235.81934657937884,1.5673070939890912,192,17,2,0.2541801957738999,0.2999658616045462,0.1573039668532844,162800,80,1.863210860373616,2.3542705001397084,-0.4839182704327362,1860,12,9.0,4.25390201065385e-05,10.0,0.00018802998312289414,10.0,0.00018802998312196867,15.0,0.005505509879594012,26.0,0.9038734551107805,14.0,15.25,26.0,26.0,17.0,0.1819595127953452,0.22743875623915485,3,2,True,False
production_sampler_round2_005_basis_023_det_l_0p0075_s_0p750,production_sampler_round,3156.3547580979066,269.8191465658567,2886.53561153205,5.483436813422052,505.6385323665714,235.81938580071463,1.5673072243258852,505.6385323665713,235.81938580071463,1.5673072243258852,192,17,2,0.2541794064832144,0.2999653025043191,0.1573031406826942,162800,80,1.8632038985054304,2.354263326483941,-0.4838998624281264,1860,12,3.0,8.561487926993683e-06,19.0,0.00019721810429988785,19.0,0.00019721810429942512,7.0,0.005465312902863375,23.0,0.9036846370032046,14.2,17.0,23.0,23.0,20.0,0.18191058952051883,0.22738609652866681,2,1,False,False
production_sampler_round3_006_basis_014_det_l_0p0035_s_1p000,production_sampler_round,3156.3614696725817,269.8180571059851,2886.5434125665965,5.483444223074464,505.63740368537,235.81934657938493,1.5673070939891114,505.63740368537,235.81934657938496,1.5673070939891114,192,17,2,0.2541801957738903,0.2999658616045389,0.1573039668532738,162800,80,1.86321086038198,2.354270500150512,-0.4839182704428073,1860,12,8.0,4.253901919027446e-05,11.0,0.00018802998317148169,11.0,0.00018802998317148169,13.0,0.005505509879104928,28.0,0.9038734553376263,14.2,15.75,28.0,28.0,20.0,0.1819595128404529,0.22743875629576854,1,0,True,True
