72 # Number of electrodes
# x z
-0.1 -498.862
-0.198 -498.875
-0.293 -498.907
-0.392 -498.922
-0.499 -498.931
-0.586 -498.985
-0.681 -499.027
-0.784 -499.066
-0.88 -499.12
-0.954 -499.2
-1.021 -499.285
-1.078 -499.378
-1.103 -499.486
-1.15 -499.581
-1.152 -499.691
-1.142 -499.799
-1.15 -499.899
-1.178 -500
-1.183 -500.104
-1.187 -500.209
-1.153 -500.309
-1.168 -500.425
-1.101 -500.513
-1.029 -500.594
-1 -500.7
-0.914 -500.767
-0.833 -500.833
-0.807 -500.962
-0.721 -501.03
-0.626 -501.084
-0.528 -501.132
-0.419 -501.151
-0.313 -501.169
-0.208 -501.177
-0.102 -501.167
0 -501.18
0.104 -501.194
0.21 -501.192
0.316 -501.18
0.424 -501.165
0.534 -501.146
0.629 -501.089
0.692 -500.988
0.811 -500.967
0.864 -500.864
0.928 -500.779
0.985 -500.689
1.045 -500.604
1.126 -500.525
1.158 -500.421
1.16 -500.311
1.168 -500.206
1.16 -500.101
1.173 -500
1.148 -499.9
1.139 -499.799
1.126 -499.698
1.098 -499.601
1.053 -499.509
1.053 -499.392
0.985 -499.31
0.938 -499.213
0.864 -499.136
0.78 -499.071
0.697 -499.005
0.607 -498.95
0.519 -498.888
0.418 -498.852
0.311 -498.841
0.209 -498.816
0.104 -498.81
0 -498.837
2448 # Number of data
#a b m n R err/% ip
1 4 2 3 38.776666 3 2.643497
2 5 3 4 34.729334 3 2.108477
3 6 4 5 36.05874 3 3.692863
4 7 5 6 38.982574 3 2.585617
