measurement,source_path,filename,extension,kind,size_bytes,sha1,provenance,pages,slides,sheets,members,lines,total_uncompressed_bytes,extension_counts,keywords,extract_path,zip_member_csv,potential_missing_loose_members,first_lines,error
ert,cda_knowledge_base/measurements/ert/source_files/2025-02-27_CD-A_for_hermes_2D_250227x.pdf,2025-02-27_CD-A_for_hermes_2D_250227x.pdf,.pdf,pdf,4125081,7015a1c376e6bd2443d2d2f6ab280e312e8b4d2d,cda_knowledge_base/attachments/2025-02-27_CD-A_for_hermes_2D_250227x.pdf,18,,,,,,,ERT; NMR; humidity; permeability; bedding; fault; water content; saturation; pressure; laser; CD-A; niche,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-02-27_CD-A_for_hermes_2D_250227x_0625d583.pdf.txt,,,--- Page 1 --- | Rink (UFZ) | Air lock | The CD-A experiment in Mont Terri | Outline: | • Set-up of CD-A Experiment | • Measurements | o Long-term monitoring of electrical resistivity (ERT),
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,2025-04-04_WC_vs_RHO_2025-02.xlsx,.xlsx,xlsx,55942,41fc02b334fc66ccd6419a7339cfa8175fb0e8fc,cda_knowledge_base/attachments/2025-04-04_WC_vs_RHO_2025-02.xlsx,,,6,,,,,ERT; NMR; niche; saturation; water content,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-04-04_WC_vs_RHO_2025-02_a1e9101c.xlsx.workbook-outline.txt,,,Archie-Plot |  | ,
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_open-closed.pdf,2025-04-04_WC_vs_RHO_open-closed.pdf,.pdf,pdf,140776,2afd065b87198cd918acc2b2d23d60077b875469,cda_knowledge_base/attachments/2025-04-04_WC_vs_RHO_open-closed.pdf,1,,,,,,,water content,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-04-04_WC_vs_RHO_open-closed_00e80b7f.pdf.txt,,,--- Page 1 --- | y = 6.6662x-0.667 | R² = 0.265 | y = 10.699x-0.743 | R² = 0.0739 | y = 1.0876x-1.68 | R² = 0.432 | 1.00,
ert,cda_knowledge_base/measurements/ert/source_files/2025-09-05_CD-A_for_hermes_2D_250904x.pdf,2025-09-05_CD-A_for_hermes_2D_250904x.pdf,.pdf,pdf,3614970,49f5bf5fd7ba4c6e43f28f1bb9e79ffef429d409,cda_knowledge_base/attachments/2025-09-05_CD-A_for_hermes_2D_250904x.pdf,20,,,,,,,ERT; NMR; Taupe; TDR; suction; permeability; fracture; water content; saturation; pressure; laser; OGS; niche,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-09-05_CD-A_for_hermes_2D_250904x_3b133a56.pdf.txt,,,"--- Page 1 --- | TODO | --- Page 2 --- | ERT measurements | How is the resistivity field computed from discrete resistivity measurements? | Difference related to t | o=10/2019, computed as given in publication | Are the original (raw) data available? Yes",
ert,cda_knowledge_base/measurements/ert/source_files/2025-12-12_2022-09-01_02-00-00.tx0,2025-12-12_2022-09-01_02-00-00.tx0,.tx0,text/data,1055029,95f95c383278d63b1323ce5bb9f4230e57606dce,cda_knowledge_base/attachments/thunderbird_recovered/2025-12-12_2022-09-01_02-00-00.tx0,,,,,6128,,,CD-A,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-12-12_2022-09-01_02-00-00_10774bd6.tx0.head.txt,,,"* Data file >C:\Mont Terri\CD-A\Originaldaten\2022-09-01_02-00-00.tx0< * 01.09.2022 | * Version info ************************************************************************************************************* | * Program * >GeoTest.EXE< version >2.51a ~ 3.12.2020< * >Device_LGM.DLL< version >1.29 ~ 3.8.2020< max data = 45000 | * Operating system * version >Win..(6.2)< | * Measuring device * type = LGM 4-Point Light 10W * hardware version = 2 * firmware version = 4.69 * settling time = 200 ms | * ActEle * Multi channel switch box = 1 | * Communication * COM port = 3 * baudrate = 19200 | * Battery voltages internal (V) * begin = 5,62 * end = 5,63 | * Battery voltages external (V) * begin = 11,97 * end = 11,96 | * Program registration * User >BGR Hannover< * software key >E40 F52 I53 T60 H48 V51 G48 N53<* hardware key >none<",
ert,cda_knowledge_base/measurements/ert/source_files/2025-12-12_2022-09-01_02-00_closed.ohm,2025-12-12_2022-09-01_02-00_closed.ohm,.ohm,text/data,80726,a5d01b35e62082b95ea6a02ed6b34d668b57f2b8,cda_knowledge_base/attachments/thunderbird_recovered/2025-12-12_2022-09-01_02-00_closed.ohm,,,,,2524,,,,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-12-12_2022-09-01_02-00_closed_0e23519e.ohm.head.txt,,,72 # Number of electrodes | # x z | -0.1 -498.862 | -0.198 -498.875 | -0.293 -498.907 | -0.392 -498.922 | -0.499 -498.931 | -0.586 -498.985 | -0.681 -499.027 | -0.784 -499.066,
ert,cda_knowledge_base/measurements/ert/source_files/2025-12-12_2022-09-01_02-00_open.ohm,2025-12-12_2022-09-01_02-00_open.ohm,.ohm,text/data,85076,15f52818c724b376ea51e8067783b47e57dfde80,cda_knowledge_base/attachments/thunderbird_recovered/2025-12-12_2022-09-01_02-00_open.ohm,,,,,2656,,,,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-12-12_2022-09-01_02-00_open_b76bd5c8.ohm.head.txt,,,72 # Number of electrodes | # x z | -0.1 -498.86 | -0.2 -498.868 | -0.298 -498.887 | -0.399 -498.903 | -0.472 -498.988 | -0.551 -499.046 | -0.638 -499.089 | -0.724 -499.137,
ert,cda_knowledge_base/measurements/ert/source_files/2025-12-12_elecs_closed.txt,2025-12-12_elecs_closed.txt,.txt,text/data,1549,5a978af6e96bd7165360409cfd67a9595393a76e,cda_knowledge_base/attachments/2025-12-12_elecs_closed.txt,,,,,74,,,,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-12-12_elecs_closed_77f04098.txt.head.txt,,,72 # Number of electrodes | # x z | -0.1 -498.862 | -0.198 -498.875 | -0.293 -498.907 | -0.392 -498.922 | -0.499 -498.931 | -0.586 -498.985 | -0.681 -499.027 | -0.784 -499.066,
ert,cda_knowledge_base/measurements/ert/source_files/2025-12-12_elecs_open.txt,2025-12-12_elecs_open.txt,.txt,text/data,1561,88252239e1cdbd91ca3ba0880b1e387f1405dae9,cda_knowledge_base/attachments/2025-12-12_elecs_open.txt,,,,,74,,,,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/2025-12-12_elecs_open_2af2af8a.txt.head.txt,,,72 # Number of electrodes | # x z | -0.1 -498.86 | -0.2 -498.868 | -0.298 -498.887 | -0.399 -498.903 | -0.472 -498.988 | -0.551 -499.046 | -0.638 -499.089 | -0.724 -499.137,
ert,cda_knowledge_base/measurements/ert/source_files/CD-A_Slides_TD_260427x.pdf,CD-A_Slides_TD_260427x.pdf,.pdf,pdf,4554743,b32dc9ddd04b5b76fc8d1572e08b578815a8f8fd,archive member cda_knowledge_base/attachments/thunderbird_recovered/2026-05-11_Presentations_CD-A_TD_260428.zip::Presentations_CD-A_TD_260428/CD-A_Slides_TD_260427x.pdf,34,,,,,,,ERT; NMR; Taupe; suction; humidity; relative humidity; permeability; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; OGS; HERMES; CD-A; niche,cda_knowledge_base/measurements/ert/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_75e8adec.pdf.txt,,,--- Page 1 --- | CD-A | TD 28.04.2026 | 9:00 – 11:30 | St. Ursanne / Webex | --- Page 2 --- | • Update of measurements (Geoscope and laser scans) has been sent (20.04.26) | 9:00 – 10:30:,
