archive,member,extension,size_bytes,compressed_bytes,loose_file_with_same_name_present,loose_file_with_same_name_present_anywhere
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/2019-11_open_timesteps.txt,.txt,588,88,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_01.vtk,.vtk,553512,218355,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_02.vtk,.vtk,553471,218903,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_03.vtk,.vtk,553428,219324,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_04.vtk,.vtk,553453,218646,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_05.vtk,.vtk,553347,218414,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_06.vtk,.vtk,553400,218845,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_07.vtk,.vtk,553384,218506,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_08.vtk,.vtk,553384,219017,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_09.vtk,.vtk,553339,219382,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_10.vtk,.vtk,553260,218552,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_11.vtk,.vtk,553370,218750,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_12.vtk,.vtk,553344,218667,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_13.vtk,.vtk,553269,218754,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_14.vtk,.vtk,553197,219388,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_15.vtk,.vtk,553105,218609,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_16.vtk,.vtk,553226,218713,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_17.vtk,.vtk,553100,218661,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_18.vtk,.vtk,553054,218430,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_19.vtk,.vtk,553101,218858,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_20.vtk,.vtk,553021,218662,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/11-2019/dcinv.result_21.vtk,.vtk,553061,218637,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/2019-12_open_timesteps.txt,.txt,644,98,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_01.vtk,.vtk,552978,218811,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_02.vtk,.vtk,552958,218920,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_03.vtk,.vtk,552937,218789,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_04.vtk,.vtk,552955,218726,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_05.vtk,.vtk,552988,219690,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_06.vtk,.vtk,552998,219165,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_07.vtk,.vtk,552885,219000,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_08.vtk,.vtk,552895,219002,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_09.vtk,.vtk,552918,219025,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_10.vtk,.vtk,552829,219718,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_11.vtk,.vtk,552948,219099,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_12.vtk,.vtk,552882,219455,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_13.vtk,.vtk,552792,219160,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_14.vtk,.vtk,552888,219125,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_15.vtk,.vtk,552867,219149,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_16.vtk,.vtk,552966,219889,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_17.vtk,.vtk,552888,219308,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_18.vtk,.vtk,552898,219559,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_19.vtk,.vtk,552860,219993,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_20.vtk,.vtk,552933,219388,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_21.vtk,.vtk,552817,219626,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_22.vtk,.vtk,552886,219436,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2019/12-2019/dcinv.result_23.vtk,.vtk,552886,219458,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/2020-01_open_timesteps.txt,.txt,756,110,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_01.vtk,.vtk,552846,219167,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_02.vtk,.vtk,552943,219470,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_03.vtk,.vtk,552926,219463,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_04.vtk,.vtk,552906,219231,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_05.vtk,.vtk,552980,219399,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_06.vtk,.vtk,553011,219379,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_07.vtk,.vtk,552898,219508,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_08.vtk,.vtk,552838,219585,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_09.vtk,.vtk,552939,219487,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_10.vtk,.vtk,552868,220187,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_11.vtk,.vtk,553002,219519,False,False
cda_knowledge_base/measurements/ert/source_files/ERT_meas_Niche_open.zip,Niche open/2020/01-2020/dcinv.result_12.vtk,.vtk,552944,219416,False,False
