run_id,run_kind,run_dir,ogs_output_count,support_cell_rows,diagnostic_rows,compared_rows,compared_output_times,outside_time_tolerance_output_times,mean_abs_time_delta_days,theta_inside_calibration_rows,ert_residual_mean_log10,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_p50_abs_log10,ert_residual_p90_abs_log10,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,ert_mae_delta_from_reference,ert_mae_rank,combined_objective_rank
adaptive_combined_001_length_0p050m,adaptive_combined,inversion_workflow/runs/adaptive_combined_001_length_0p050m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1712588706129538,0.2687280860557519,0.3170967057490256,0.2551634316184514,0.4631460715860618,3276.565238233279,2,291.2907414698871,2985.274496763392,5.576433388940044,0.014547890281829678,65.0,63.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,inversion_workflow/runs/adaptive_combined_002_length_0p050m_shift_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1686735580096947,0.2658405937484086,0.3129879021764657,0.253533768915829,0.4579850872447613,3300.912191399192,2,329.3994802038824,2971.5127111953093,5.563565170669295,0.011660397974486425,64.0,65.0
adaptive_combined_003_length_0p075m,adaptive_combined,inversion_workflow/runs/adaptive_combined_003_length_0p075m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1766407588806262,0.2737076652915692,0.3227421857084396,0.2597193697627984,0.474308674163209,3353.8828587143416,2,334.0021211435035,3019.880737570838,5.6086621413990425,0.019527469517647,66.0,66.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,inversion_workflow/runs/broad_continuous_001_001_length_0p023m_shift_1p004,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1567092999199456,0.2540720919307705,0.2996437188924169,0.245422043857119,0.4365469598910509,3159.0596578385903,2,269.882098409171,2889.1775594294195,5.485945641126039,-0.00010810384315168564,1.0,38.0
broad_continuous_001_002_length_0p022m_shift_0p998,broad_continuous,inversion_workflow/runs/broad_continuous_001_002_length_0p022m_shift_0p998,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1580422727362301,0.2551446350370494,0.3005146081876095,0.2463532961977186,0.4374658837075686,3169.3006202009697,2,269.84272319037007,2899.4578970105995,5.49569708291803,0.0009644392631272258,61.0,55.0
broad_continuous_001_003_length_0p021m,broad_continuous,inversion_workflow/runs/broad_continuous_001_003_length_0p021m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1580455408909548,0.2551414513252906,0.3005116562683941,0.2463514040884464,0.4374734433465754,3169.3095993832085,2,269.8300319778216,2899.479567405387,5.495717620154148,0.0009612555513683896,60.0,56.0
broad_continuous_loop_001_001_length_0p015m,broad_continuous,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1575580481656128,0.2544986629637561,0.3000497022826647,0.2458517574185148,0.4373169527715097,3161.360041617328,2,269.8180571059851,2891.5419845113424,5.488189957110311,0.0003184671898339153,48.0,45.0
broad_continuous_loop_001_002_length_0p016m_shift_0p968,broad_continuous,inversion_workflow/runs/broad_continuous_loop_001_002_length_0p016m_shift_0p968,83,2035,162800,162800,80,3,1.350546630968318,162800,0.157849394969727,0.2548251960603084,0.3002860680425877,0.2461535950492401,0.4373835288020231,3165.332100478336,2,270.3027163120499,2895.029384166286,5.491498528185679,0.0006450002863861992,56.0,48.0
broad_continuous_loop_001_003_length_0p010m,broad_continuous,inversion_workflow/runs/broad_continuous_loop_001_003_length_0p010m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574465868095034,0.2543076709365578,0.3000388892844381,0.2455153488214405,0.4382385735128604,3157.702128613753,2,269.8180571059851,2887.884071507768,5.484717471745704,0.0001274751626356152,41.0,32.0
continuous_proposed_001_length_0p006m_shift_0p992,continuous_proposed,inversion_workflow/runs/continuous_proposed_001_length_0p006m_shift_0p992,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573450942313093,0.2542268611897122,0.3000017925627397,0.2453818368567133,0.4382129186291352,3156.784121343252,2,269.84644842990474,2886.937672913347,5.483818690126498,4.666541579001482e-05,31.0,23.0
continuous_proposed_002_length_0p007m,continuous_proposed,inversion_workflow/runs/continuous_proposed_002_length_0p007m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573579740497064,0.254253906003333,0.2999967858600424,0.2454362956946301,0.4381507588426265,3157.741295991051,2,269.8180571059851,2887.923238885066,5.484754665286872,7.371022941077277e-05,34.0,33.0
continuous_proposed_003_length_0p007m_shift_0p972,continuous_proposed,inversion_workflow/runs/continuous_proposed_003_length_0p007m_shift_0p972,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573695846963275,0.2542613882282711,0.3000037272641455,0.2454424659523113,0.4381505249428143,3158.156564197561,2,270.2111662517047,2887.9453979458567,5.48477570753226,8.119245434889955e-05,35.0,35.0
direct_fit_observation_run,direct_reference,inversion_workflow/runs/direct_fit_observation_run,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573039668533122,0.2541801957739222,0.2999658616045645,0.2453246570292531,0.4381918993439517,3156.361469672924,2,269.8180571059851,2886.543412566939,5.483444223074789,0.0,17.0,11.0
