measurement,category,item,value,sources,comment
ert,catalogue scope,copied source files,"15 files; total copied source bytes 385216588; file kinds pdf=5, png=1, text/data=7, xlsx=1, zip=1",,Counts are from cda_knowledge_base/measurements/deep_source_index.csv.
ert,ERT TeamBeam ZIP,ERT_meas_Niche_open.zip,"1736 indexed members; extension counts .txt=61, .vtk=1675; 61 dated year/month folders from 2019/11-2019 to 2024/12-2024",cda_knowledge_base/file_transfers/collected/2025-04-03_ert_open_twin/ERT_meas_Niche_open.zip,The archive is intentionally kept compressed because it contains a large VTK time-series; each member is still indexed in archive_member_catalog.csv.
ert,raw ERT text/data file,2025-12-12_2022-09-01_02-00-00.tx0,6128 lines; first extracted content: * Data file >C:\Mont Terri\CD-A\Originaldaten\2022-09-01_02-00-00.tx0< * 01.09.2022 | * Version info ************************************************************************************************************* | * Program * >GeoTest.EXE< version >2.51a ~ 3.12,cda_knowledge_base/measurements/ert/source_files/2025-12-12_2022-09-01_02-00-00.tx0,These Thunderbird-recovered raw/example files anchor the open/closed split and electrode geometry.
ert,raw ERT text/data file,2025-12-12_2022-09-01_02-00_closed.ohm,2524 lines; first extracted content: 72 # Number of electrodes | # x z | -0.1 -498.862 | -0.198 -498.875 | -0.293 -498.907 | -0.392 -498.922 | -0.499 -498.931 | -0.586 -498.985 | -0.681 -499.027 | -0.784 -499.066,cda_knowledge_base/measurements/ert/source_files/2025-12-12_2022-09-01_02-00_closed.ohm,These Thunderbird-recovered raw/example files anchor the open/closed split and electrode geometry.
ert,raw ERT text/data file,2025-12-12_2022-09-01_02-00_open.ohm,2656 lines; first extracted content: 72 # Number of electrodes | # x z | -0.1 -498.86 | -0.2 -498.868 | -0.298 -498.887 | -0.399 -498.903 | -0.472 -498.988 | -0.551 -499.046 | -0.638 -499.089 | -0.724 -499.137,cda_knowledge_base/measurements/ert/source_files/2025-12-12_2022-09-01_02-00_open.ohm,These Thunderbird-recovered raw/example files anchor the open/closed split and electrode geometry.
ert,raw ERT text/data file,2025-12-12_elecs_closed.txt,74 lines; first extracted content: 72 # Number of electrodes | # x z | -0.1 -498.862 | -0.198 -498.875 | -0.293 -498.907 | -0.392 -498.922 | -0.499 -498.931 | -0.586 -498.985 | -0.681 -499.027 | -0.784 -499.066,cda_knowledge_base/measurements/ert/source_files/2025-12-12_elecs_closed.txt,These Thunderbird-recovered raw/example files anchor the open/closed split and electrode geometry.
ert,raw ERT text/data file,2025-12-12_elecs_open.txt,74 lines; first extracted content: 72 # Number of electrodes | # x z | -0.1 -498.86 | -0.2 -498.868 | -0.298 -498.887 | -0.399 -498.903 | -0.472 -498.988 | -0.551 -499.046 | -0.638 -499.089 | -0.724 -499.137,cda_knowledge_base/measurements/ert/source_files/2025-12-12_elecs_open.txt,These Thunderbird-recovered raw/example files anchor the open/closed split and electrode geometry.
ert,ERT workbook/PDF support,2025-04-04_WC_vs_RHO_2025-02.xlsx / Data2019+,"42 x 10; 325 non-empty cells; dates 2019-10-22T00:00:00 to 2025-02-13T00:00:00 (n=23); numeric ranges: C2: n=37, min=0.1007, max=0.1716; C3: n=37, min=0.0017, max=0.0438; C4: n=37, min=21.0753, max=53.0637; C7: n=35, min=0.0752, max=0.15; C8: n=35, min=0.0029, max=0.0581; C9: n=35, min=16.704, max=193.597",cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Workbook rows summarize resistivity/water-content relation material and ERT missing-data notes.
ert,ERT workbook/PDF support,2025-04-04_WC_vs_RHO_2025-02.xlsx / open-closed,1 x 1; 0 non-empty cells,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Workbook rows summarize resistivity/water-content relation material and ERT missing-data notes.
ert,ERT workbook/PDF support,2025-04-04_WC_vs_RHO_2025-02.xlsx / sidewalls,1 x 1; 0 non-empty cells,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Workbook rows summarize resistivity/water-content relation material and ERT missing-data notes.
