measurement,category,item,value,sources,comment
model_projection_inputs,catalogue scope,copied source files,"87 files; total copied source bytes 13723696; file kinds bib=1, pdf=1, pptx=1, pvsm=1, py=1, tex=2, text/data=61, vtu=15, zip=4",,Counts are from cda_knowledge_base/measurements/deep_source_index.csv.
model_projection_inputs,copied model/projection files,source_files,".bib=1, .pdf=1, .pptx=1, .prj=3, .pvsm=1, .py=1, .tex=2, .txt=1, .vtu=15, .xml=57, .zip=4",,"These files are model-support inputs rather than measurements, but they define the mesh, projection support, output timesteps, and exchanged OGS configurations used to place the measurement data."
model_projection_inputs,projection workflow reference,cd_a_open_niche_quad.prj,"type text/data; 1072 bytes; extracted note: <?xml version=""1.0"" encoding=""ISO-8859-1""?> | <OpenGeoSysProject> | <meshes> | <mesh>bulk.vtu</mesh> | <mesh>bulk_all.vtu</mesh> | <mesh>cd-a_niche4.vtu</mesh> | <mesh>cd-a_left.vtu</mesh> | <mesh>cd-a_right.vtu</mesh> | <mesh>cd-a_top.vtu</mesh> | <mesh>cd-a_bottom.vtu</mesh>",cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/cd_a_open_niche_quad.prj,Use these files to understand how measured points/intervals are projected to the frozen OGS mesh and timesteps.
model_projection_inputs,projection workflow reference,cd_a_open_niche_quad.prj,"type text/data; 1072 bytes; extracted note: <?xml version=""1.0"" encoding=""ISO-8859-1""?> | <OpenGeoSysProject> | <meshes> | <mesh>bulk.vtu</mesh> | <mesh>bulk_all.vtu</mesh> | <mesh>cd-a_niche4.vtu</mesh> | <mesh>cd-a_left.vtu</mesh> | <mesh>cd-a_right.vtu</mesh> | <mesh>cd-a_top.vtu</mesh> | <mesh>cd-a_bottom.vtu</mesh>",cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/cd_a_open_niche_quad.prj,Use these files to understand how measured points/intervals are projected to the frozen OGS mesh and timesteps.
model_projection_inputs,projection workflow reference,README.txt,type text/data; 290 bytes; extracted note: important changes: | *prj: mesh call | 03_param*: Function (projection) specification | domain identification bulk_all.vtu needs to be re-done with bulk.vtu | /home/ogs_auto_jenkins/release_versions/native/master/ogs6_v6.5.4/bin/identifySubdomains -m bulk_w_projections.vtu bulk_a,cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/README.txt,Use these files to understand how measured points/intervals are projected to the frozen OGS mesh and timesteps.
model_projection_inputs,projection workflow reference,cd_a_open_niche_quad.prj,"type text/data; 1122 bytes; extracted note: <?xml version=""1.0"" encoding=""ISO-8859-1""?> | <OpenGeoSysProject> | <meshes> | <!--mesh>bulk.vtu</mesh--> | <mesh>bulk_w_projections.vtu</mesh> | <mesh>bulk_all.vtu</mesh> | <mesh>cd-a_niche4.vtu</mesh> | <mesh>cd-a_left.vtu</mesh> | <mesh>cd-a_right.vtu</mesh> | <mesh>cd-a_top.v",cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/cd_a_open_niche_quad.prj,Use these files to understand how measured points/intervals are projected to the frozen OGS mesh and timesteps.
model_projection_inputs,projection workflow reference,generate_projections.py,type py; 1990 bytes; extracted note: ,cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/generate_projections.py,Use these files to understand how measured points/intervals are projected to the frozen OGS mesh and timesteps.
model_projection_inputs,projection workflow reference,specifications.pptx,type pptx; 184636 bytes; extracted note: --- Slide 1 --- | ts_0000: 18.09.2019 | ts_0001: 18.09.2019 + 10 | days | => End | of | September 2019 | ts_0003: ts_001 + 1 | month | => End,cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/specifications.pptx,Use these files to understand how measured points/intervals are projected to the frozen OGS mesh and timesteps.
model_projection_inputs,model/archive member coverage,SOTA___OGS___Mont_Terri.zip,19 indexed model/projection/report-context members,SOTA___OGS___Mont_Terri.zip,The member catalogue links each ZIP member to the copied model_projection_inputs source tree where it was extracted or preserved.
model_projection_inputs,model/archive member coverage,2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip,28 indexed model/projection/report-context members,cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip,The member catalogue links each ZIP member to the copied model_projection_inputs source tree where it was extracted or preserved.
model_projection_inputs,model/archive member coverage,CDA_N4_2D_250403.zip,22 indexed model/projection/report-context members,cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip,The member catalogue links each ZIP member to the copied model_projection_inputs source tree where it was extracted or preserved.
model_projection_inputs,model/archive member coverage,CDA_N4_2D_250509.zip,14 indexed model/projection/report-context members,cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip,The member catalogue links each ZIP member to the copied model_projection_inputs source tree where it was extracted or preserved.
model_projection_inputs,document/presentation extract,wang_kosakoeski_kolditz_thm_2009.pdf,type pdf; pages/slides 11; keywords ERT; humidity; permeability; fracture; saturation; pressure; extract cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/wang_kosakoeski_kolditz_thm_2009_d06f15f3.pdf.txt,cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/wang_kosakoeski_kolditz_thm_2009.pdf,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
model_projection_inputs,document/presentation extract,specifications.pptx,type pptx; pages/slides 3; keywords not detected; extract cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/specifications_2ca482df.pptx.txt,cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/specifications.pptx,Generated text extracts make these documents searchable without opening the PDF/PPTX manually.
