measurement,source_path,filename,extension,kind,size_bytes,sha1,provenance,pages,slides,sheets,members,lines,total_uncompressed_bytes,extension_counts,keywords,extract_path,zip_member_csv,potential_missing_loose_members,first_lines,error
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip,2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip,.zip,zip,1912962,9373d37e1ac2480d2449c465975dc79cea505ad9,cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip,,,,28,,5183105,.pptx=1; .prj=1; .pvsm=1; .py=1; .txt=1; .vtu=8; .xml=15,CD-A; niche,,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/zip_member_deep_summary.csv,,01_processes_TRM.xml | 02_process_variables_TRM.xml | 03_parameters_TRM.xml | 03_parameters_TRM_orig.xml | 04_1_media_aqu_liq.xml | 04_2_media_twophase.xml | 04_media_TRM.xml | 05_1_fixed_timestepping.xml | 05_time_loop_TRM.xml | 06_nonlinear_solver_T.xml,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403.zip,CDA_N4_2D_250403.zip,.zip,zip,1067122,c3f859449d58591a3452c6e374cacf5b43e3cd05,cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip,,,,22,,3368601,.prj=1; .vtu=7; .xml=14,CD-A; niche,,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/zip_member_deep_summary.csv,,CDA_N4_2D_250403/01_processes_TRM.xml | CDA_N4_2D_250403/02_process_variables_TRM.xml | CDA_N4_2D_250403/03_parameters_TRM.xml | CDA_N4_2D_250403/04_1_media_aqu_liq.xml | CDA_N4_2D_250403/04_2_media_twophase.xml | CDA_N4_2D_250403/04_media_TRM.xml | CDA_N4_2D_250403/05_1_fixed_timestepping.xml | CDA_N4_2D_250403/05_time_loop_TRM.xml | CDA_N4_2D_250403/06_nonlinear_solver_T.xml | CDA_N4_2D_250403/07_linear_solver_T.xml,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/01_processes_TRM.xml,01_processes_TRM.xml,.xml,text/data,1613,848b5757431ad0d9323f74baf5845ca6c167cefa,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/01_processes_TRM.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::01_processes_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/01_processes_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::01_processes_TRM.xml,,,,,34,,,saturation; pressure,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/01_processes_TRM_26bca93f.xml.head.txt,,,"<process> | <name>TRM</name> | <type>THERMO_RICHARDS_MECHANICS</type> | <integration_order>4</integration_order> | <!-- <dimension>2</dimension> --> | <!-- Gestein --> | <constitutive_relation id=""0""> | <type>LinearElasticOrthotropic</type> | <youngs_moduli>E</youngs_moduli> | <shear_moduli>G</shear_moduli>",
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/02_process_variables_TRM.xml,02_process_variables_TRM.xml,.xml,text/data,2378,90e20c5ee5cf2f0ae1e9ee64458dbcb891ef5e13,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/02_process_variables_TRM.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::02_process_variables_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/02_process_variables_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::02_process_variables_TRM.xml,,,,,73,,,pressure; CD-A; niche,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/02_process_variables_TRM_36c4d34d.xml.head.txt,,,<process_variable> | <name>displacement</name> | <components>2</components> | <order>2</order> | <initial_condition>ic_displacement</initial_condition> | <boundary_conditions> | <boundary_condition> | <mesh>cd-a_left</mesh> | <type>Dirichlet</type> | <component>0</component>,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/03_parameters_TRM.xml,03_parameters_TRM.xml,.xml,text/data,5601,ff7c284ae234350b8d86e52cb788a00adb86cc70,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/03_parameters_TRM.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::03_parameters_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/03_parameters_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::03_parameters_TRM.xml,,,,,183,,,pressure; niche,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/03_parameters_TRM_b1305ec4.xml.head.txt,,,<!-- IC --> | <parameter> | <name>ic_displacement</name> | <type>Constant</type> | <values>0 0</values> | <!--type>MeshNode</type> | <field_name>displacement</field_name--> | </parameter> | <parameter> | <name>ic_pressure</name> <!-- check pressure0 + ic_sigma0 -->,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/04_1_media_aqu_liq.xml,04_1_media_aqu_liq.xml,.xml,text/data,2880,8ba341270221506ef3b5deb94a3d7a9730515498,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/04_1_media_aqu_liq.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::04_1_media_aqu_liq.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/04_1_media_aqu_liq.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::04_1_media_aqu_liq.xml,,,,,78,,,ERT; pressure,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/04_1_media_aqu_liq_cf22ea90.xml.head.txt,,,<phase> | <type>AqueousLiquid</type> | <properties> | <property> | <name>specific_heat_capacity</name> | <type>Parameter</type> | <parameter_name>c_p_l</parameter_name> | </property> | <property> | <name>thermal_conductivity</name>,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/04_2_media_twophase.xml,04_2_media_twophase.xml,.xml,text/data,792,a57c40add0a8d37c39ba7c716063f7e6c5bc01a9,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/04_2_media_twophase.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::04_2_media_twophase.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/04_2_media_twophase.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::04_2_media_twophase.xml,,,,,23,,,ERT; permeability; saturation,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/04_2_media_twophase_85bc321c.xml.head.txt,,,<property> | <name>relative_permeability</name> | <type>RelativePermeabilityVanGenuchten</type> | <residual_liquid_saturation>0.1</residual_liquid_saturation> | <residual_gas_saturation>0</residual_gas_saturation> | <exponent>0.45</exponent> | <minimum_relative_permeability_liquid>1e-25</minimum_relative_permeability_liquid> | </property> | <property> | <name>saturation</name>,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/04_media_TRM.xml,04_media_TRM.xml,.xml,text/data,1950,6b68ab641d97eeeadd965d73417ab4b645d4ffd2,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/04_media_TRM.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::04_media_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/04_media_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::04_media_TRM.xml,,,,,72,,,ERT; permeability; saturation; pressure; OGS,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/04_media_TRM_efa5fb27.xml.head.txt,,,"<!-- | Parameter, die in Ogs5 vorhanden waren, welche in Ogs6 bisher aber noch zu fehlen scheinen oder | nicht mehr benötigt werden: | PERMEABILITY_SATURATION | CAPILLARY_PRESSURE | STORAGE | --> | <medium id=""0,1""><!--,2,3,4,6,7,8,9,11,12,13,14""--> | <properties> | <property>",
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/05_1_fixed_timestepping.xml,05_1_fixed_timestepping.xml,.xml,text/data,2144,aa32f810c195d02a47c5b5faa3901547912c93d7,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/05_1_fixed_timestepping.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::05_1_fixed_timestepping.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/05_1_fixed_timestepping.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::05_1_fixed_timestepping.xml,,,,,40,,,,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/05_1_fixed_timestepping_e715e671.xml.head.txt,,,<time_stepping> | <type>FixedTimeStepping</type> | <t_initial>0</t_initial><!-- last time step --> | <t_end>140000000</t_end><!-- last time step of the curve --> | <!--t_initial>3153624278400</t_initial--><!-- last time step --> | <!--t_end>3153759099264</t_end--><!-- last time step of the curve --> | <timesteps> | <pair> | <repeat>365</repeat> | <delta_t>86400</delta_t><!--1 day-->,
model_projection_inputs,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/05_time_loop_TRM.xml,05_time_loop_TRM.xml,.xml,text/data,1835,106cb755797f3d5cc956e5102195247ce884c165,archive member SOTA___OGS___Mont_Terri.zip::ogs_settings/05_time_loop_TRM.xml; archive member cda_knowledge_base/attachments/thunderbird_recovered/2025-09-05_Niche_4_no_gravity_no_sigV_no_uy_deltat_projection_on_mesh.zip::05_time_loop_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-04-04_2d_model_container/CDA_N4_2D_250403.zip::CDA_N4_2D_250403/05_time_loop_TRM.xml; archive member cda_knowledge_base/file_transfers/collected/2025-05-09_updated_model/CDA_N4_2D_250509.zip::05_time_loop_TRM.xml,,,,,49,,,saturation; pressure; CD-A,cda_knowledge_base/measurements/model_projection_inputs/derived_files/deep_source_pass/extracted_text/05_time_loop_TRM_b0af82dd.xml.head.txt,,,"<processes> | <process ref=""TRM""> | <nonlinear_solver>basic_newton</nonlinear_solver> | <!--compensate_non_equilibrium_initial_residuum>true | </compensate_non_equilibrium_initial_residuum--> | <convergence_criterion> | <type>PerComponentDeltaX</type> | <norm_type>NORM2</norm_type> | <abstols>1e-10 1e-10 1e-10 1e-10</abstols> | <reltols>1e-8 1e-8 1e-8 1e-8</reltols>",
