Position,Vol.Wat.Content[%],WC-95%Conf.Int.
3A,15.0474277489782,0.839308028507217
3AB1,14.6428033525717,2.25834930662051
3AB2,15.3856042655546,2.0777453275353
3B,16.228660633587,1.13400189909865
3C,16.9389636724806,1.47610329506052
3D,14.9855322826221,1.39189985805234
3E,16.3431115207408,2.57492411570599
3F,14.0425350217724,1.33040538305404
3G,18.5895604046528,2.20929948530498
3H,17.5542604229414,2.1591258450874
3I,14.6456736843367,1.14073241496452
3J,14.1930189434857,0.859051155531706
3K,12.7696545052744,1.02232372906619
3L,14.9884688225522,1.34224196559657
3M,11.6378421020216,1.19217716500419
3N,11.3367259043628,0.729134562141011
