archive,member,extension,size_bytes,compressed_bytes,loose_file_with_same_name_present,loose_file_with_same_name_present_anywhere
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2019_M_10_D_24.dat,.dat,319,208,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2020_M_03_D_03.dat,.dat,322,210,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2020_M_09_D_17.dat,.dat,207,153,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2021_M_03_D_19.dat,.dat,319,208,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2021_M_10_D_07.dat,.dat,657,377,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2022_M_04_D_28.dat,.dat,667,382,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2022_M_10_D_20.dat,.dat,665,381,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2023_M_02_D_23.dat,.dat,656,380,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2023_M_11_D_22.dat,.dat,657,383,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2024_M_11_D_14.dat,.dat,657,386,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche3_Y_2025_M_02_D_13.dat,.dat,648,380,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2019_M_10_D_23.dat,.dat,316,210,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2020_M_03_D_03.dat,.dat,317,209,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2020_M_09_D_17.dat,.dat,163,132,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2021_M_03_D_19.dat,.dat,316,209,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2021_M_10_D_06.dat,.dat,772,441,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2022_M_03_D_25.dat,.dat,766,440,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2022_M_10_D_19.dat,.dat,776,447,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2023_M_02_D_22.dat,.dat,762,444,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2023_M_11_D_21.dat,.dat,762,434,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2024_M_11_D_13.dat,.dat,761,443,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/data_table_ascii/Niche4_Y_2025_M_02_D_12.dat,.dat,765,437,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2019_B_fall.png,.png,53631,51632,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2020_A_winter.png,.png,53151,51184,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2020_B_fall.png,.png,51449,49550,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2021_A_winter.png,.png,53228,51173,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2021_B_fall.png,.png,56979,54971,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2022_A_winter.png,.png,56033,53927,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2022_B_fall.png,.png,55726,53793,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2023_A_winter.png,.png,56653,54694,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2023_B_fall.png,.png,56355,54335,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2024_B_fall.png,.png,58775,56775,True,True
cda_knowledge_base/measurements/nmr/source_files/2025-09-15_saisonally.zip,saisonally/figures/2025_A_winter.png,.png,56746,54816,True,True
