group_type,group_key,row_count,usable_rows,uncorrected_rows_above_fixed_phi,required_offset_mean,required_offset_p50,required_offset_p75,required_offset_p90,required_offset_p95,required_offset_max,observed_theta_min,observed_theta_median,observed_theta_max
observation_family,NMR seasonal,294,117,222,0.025543699479180646,0.020284512282805506,0.04487734687569676,0.057242646974706,0.06617612919523198,0.123095865251428,0.0276612697583095,0.12528451228280552,0.228095865251428
observation_family,NMR weekly,170,170,93,0.004761932336785039,0.0011239102601775033,0.00721694332799748,0.015952412007317403,0.024296186849776077,0.026692156631057992,0.085093422098135,0.1061239102601775,0.131692156631058
mapping_label,NMR_4A,11,0,7,0.006244667412500174,0.003012327171557,0.011188190585886,0.019420042700583007,0.019633135853455504,0.019846229006328,0.0787908894490662,0.108012327171557,0.124846229006328
mapping_label,NMR_4B,11,0,6,0.006832151347124257,0.0049513642492519105,0.012061341590491506,0.015793206336851898,0.01785706191710045,0.019920917497349006,0.0784736148790635,0.1099513642492519,0.124920917497349
mapping_label,NMR_4C,11,0,5,0.005980840603301446,0.0,0.008537758952489004,0.013622022073455003,0.022844817084201503,0.032067612094948,0.0735546116776318,0.0931606942230145,0.137067612094948
mapping_label,NMR_4D,7,7,5,0.013860155139899421,0.010900610168451008,0.024784241019115458,0.02753800350334841,0.028308630722747207,0.02907925794214601,0.0919323995915433,0.115900610168451,0.134079257942146
mapping_label,NMR_4E,156,156,80,0.0033908232402715946,0.0004076902631110005,0.0054237551398704995,0.010197402883191,0.014050439193815007,0.025560164923330006,0.085093422098135,0.105407690263111,0.13056016492333
mapping_label,NMR_4F,7,7,7,0.030408685694304414,0.020717860801303015,0.0392612965857715,0.05859348025811877,0.06548763297470332,0.0723817856912879,0.116627642236453,0.125717860801303,0.1773817856912879
mapping_label,NMR_4G,7,7,5,0.016389255263057,0.009823265019323998,0.027745385578313,0.0421001228843452,0.0424060662532516,0.042712009622158,0.097437572327752,0.114823265019324,0.147712009622158
mapping_label,NMR_4H,7,7,6,0.02079032272037969,0.019345146835475002,0.0327254678425085,0.03962549956534156,0.03990797181237223,0.040190444059402905,0.0943129997903797,0.124345146835475,0.1451904440594029
mapping_label,NMR_4I,7,7,7,0.03587555977853642,0.025685022004819993,0.03454641587782095,0.07365336673181264,0.09837461599162024,0.123095865251428,0.113613827355037,0.13068502200482,0.228095865251428
mapping_label,NMR_4J,10,10,1,0.002246290285720899,0.0,0.0,0.002246290285720891,0.012354596571464921,0.02246290285720899,0.052778244671843,0.0711611901719023,0.127462902857209
mapping_label,NMR_4K,10,10,6,0.019184184394110605,0.004430143258018507,0.034090770084594255,0.0575892414768742,0.060424661814031604,0.06326008215118901,0.0897264372611967,0.1094301432580185,0.168260082151189
mapping_label,NMR_4L,10,10,2,0.010779483364111603,0.0,0.0,0.038783595624764404,0.055786644470032176,0.07278969331530001,0.0661743195150893,0.08505024154331485,0.1777896933153
mapping_label,NMR_4M,10,10,6,0.0095998021408845,0.004948888356667999,0.013743731034456499,0.01817703621140369,0.03185661616481082,0.045536196118218006,0.0551741337675825,0.109948888356668,0.150536196118218
mapping_label,NMR_4N,7,7,4,0.0032099109544208443,9.809377225400429e-05,0.005319346567668949,0.008444384671581744,0.01008848722246787,0.011732589773354007,0.0500754126428474,0.105098093772254,0.116732589773354
mapping_label,NMR_4O,7,0,6,0.012516702977226431,0.013589273867033999,0.018009270134577503,0.021120055435196603,0.022378810215693802,0.023637564996191004,0.0953549611642799,0.118589273867034,0.128637564996191
mapping_label,NMR_4P,7,7,4,0.003076404064670274,0.0032401720879730034,0.0047335802121734535,0.007121327687337143,0.007974411813854573,0.008827495940372007,0.066779343229222,0.108240172087973,0.113827495940372
mapping_label,NMR_4Q,7,7,5,0.02195766860597643,0.025558486432941993,0.04045237066572001,0.042368762295823606,0.043579752216863804,0.044790742137904,0.0684880163919673,0.130558486432942,0.149790742137904
mapping_label,NMR_4R,7,7,3,0.006434925161057574,0.0,0.012473420859074505,0.015528056318518607,0.0178128453638863,0.02009763440925401,0.0276612697583095,0.103227739460138,0.125097634409254
mapping_label,NMR_S,28,28,21,0.016604355257051416,0.020833068262851,0.025839650995766496,0.026402913781616293,0.04036315333512455,0.05219409588545,0.0790880891855968,0.125833068262851,0.15719409588545
mapping_label,missing_mapping_label,137,0,129,0.04048260426347152,0.043860470634352014,0.053685628600516,0.0643719312902178,0.0710647907778842,0.08610092726575301,0.0765015904827552,0.148860470634352,0.191100927265753
family_mapping_label,NMR seasonal | NMR_4A,11,0,7,0.006244667412500174,0.003012327171557,0.011188190585886,0.019420042700583007,0.019633135853455504,0.019846229006328,0.0787908894490662,0.108012327171557,0.124846229006328
family_mapping_label,NMR seasonal | NMR_4B,11,0,6,0.006832151347124257,0.0049513642492519105,0.012061341590491506,0.015793206336851898,0.01785706191710045,0.019920917497349006,0.0784736148790635,0.1099513642492519,0.124920917497349
family_mapping_label,NMR seasonal | NMR_4C,11,0,5,0.005980840603301446,0.0,0.008537758952489004,0.013622022073455003,0.022844817084201503,0.032067612094948,0.0735546116776318,0.0931606942230145,0.137067612094948
family_mapping_label,NMR seasonal | NMR_4D,7,7,5,0.013860155139899421,0.010900610168451008,0.024784241019115458,0.02753800350334841,0.028308630722747207,0.02907925794214601,0.0919323995915433,0.115900610168451,0.134079257942146
family_mapping_label,NMR seasonal | NMR_4E,7,7,3,0.007442871519485286,0.0,0.013269967856533497,0.022769073083544398,0.024164619003437197,0.025560164923330006,0.0939931298792598,0.104510567179004,0.13056016492333
family_mapping_label,NMR seasonal | NMR_4F,7,7,7,0.030408685694304414,0.020717860801303015,0.0392612965857715,0.05859348025811877,0.06548763297470332,0.0723817856912879,0.116627642236453,0.125717860801303,0.1773817856912879
family_mapping_label,NMR seasonal | NMR_4G,7,7,5,0.016389255263057,0.009823265019323998,0.027745385578313,0.0421001228843452,0.0424060662532516,0.042712009622158,0.097437572327752,0.114823265019324,0.147712009622158
family_mapping_label,NMR seasonal | NMR_4H,7,7,6,0.02079032272037969,0.019345146835475002,0.0327254678425085,0.03962549956534156,0.03990797181237223,0.040190444059402905,0.0943129997903797,0.124345146835475,0.1451904440594029
family_mapping_label,NMR seasonal | NMR_4I,7,7,7,0.03587555977853642,0.025685022004819993,0.03454641587782095,0.07365336673181264,0.09837461599162024,0.123095865251428,0.113613827355037,0.13068502200482,0.228095865251428
family_mapping_label,NMR seasonal | NMR_4J,10,10,1,0.002246290285720899,0.0,0.0,0.002246290285720891,0.012354596571464921,0.02246290285720899,0.052778244671843,0.0711611901719023,0.127462902857209
family_mapping_label,NMR seasonal | NMR_4K,10,10,6,0.019184184394110605,0.004430143258018507,0.034090770084594255,0.0575892414768742,0.060424661814031604,0.06326008215118901,0.0897264372611967,0.1094301432580185,0.168260082151189
family_mapping_label,NMR seasonal | NMR_4L,10,10,2,0.010779483364111603,0.0,0.0,0.038783595624764404,0.055786644470032176,0.07278969331530001,0.0661743195150893,0.08505024154331485,0.1777896933153
family_mapping_label,NMR seasonal | NMR_4M,10,10,6,0.0095998021408845,0.004948888356667999,0.013743731034456499,0.01817703621140369,0.03185661616481082,0.045536196118218006,0.0551741337675825,0.109948888356668,0.150536196118218
family_mapping_label,NMR seasonal | NMR_4N,7,7,4,0.0032099109544208443,9.809377225400429e-05,0.005319346567668949,0.008444384671581744,0.01008848722246787,0.011732589773354007,0.0500754126428474,0.105098093772254,0.116732589773354
family_mapping_label,NMR seasonal | NMR_4O,7,0,6,0.012516702977226431,0.013589273867033999,0.018009270134577503,0.021120055435196603,0.022378810215693802,0.023637564996191004,0.0953549611642799,0.118589273867034,0.128637564996191
family_mapping_label,NMR seasonal | NMR_4P,7,7,4,0.003076404064670274,0.0032401720879730034,0.0047335802121734535,0.007121327687337143,0.007974411813854573,0.008827495940372007,0.066779343229222,0.108240172087973,0.113827495940372
family_mapping_label,NMR seasonal | NMR_4Q,7,7,5,0.02195766860597643,0.025558486432941993,0.04045237066572001,0.042368762295823606,0.043579752216863804,0.044790742137904,0.0684880163919673,0.130558486432942,0.149790742137904
family_mapping_label,NMR seasonal | NMR_4R,7,7,3,0.006434925161057574,0.0,0.012473420859074505,0.015528056318518607,0.0178128453638863,0.02009763440925401,0.0276612697583095,0.103227739460138,0.125097634409254
family_mapping_label,NMR seasonal | NMR_S,7,7,5,0.018894539255707832,0.009595679301808005,0.03409792470452795,0.04951231390579934,0.05085320489562467,0.05219409588545,0.0790880891855968,0.114595679301808,0.15719409588545
family_mapping_label,NMR seasonal | missing_mapping_label,137,0,129,0.04048260426347152,0.043860470634352014,0.053685628600516,0.0643719312902178,0.0710647907778842,0.08610092726575301,0.0765015904827552,0.148860470634352,0.191100927265753
family_mapping_label,NMR weekly | NMR_4E,149,149,77,0.003200458556013234,0.00048614289548500056,0.0053063654807539995,0.009822790982909406,0.0119438654326958,0.017289643335788002,0.085093422098135,0.105486142895485,0.122289643335788
family_mapping_label,NMR weekly | NMR_S,21,21,16,0.015840960590832613,0.02295240228560501,0.025815506344072994,0.026023948188884996,0.02627895256042699,0.026692156631057992,0.0989727386792565,0.127952402285605,0.131692156631058
