offset_fraction,scope,row_count,physical_0_to_phi_rows,still_exceeds_fixed_porosity_rows,overcorrected_negative_free_water_rows,physical_fraction,free_theta_min,free_theta_median,free_theta_max,implied_saturation_median,implied_saturation_max
0.0,all_nmr_targets,464,149,315,0,0.32112068965517243,0.0276612697583095,0.11291721255485651,0.228095865251428,1.0754020243319666,2.172341573823124
0.0,usable_current_mesh_targets,287,125,162,0,0.4355400696864111,0.0276612697583095,0.10689808577997,0.228095865251428,1.0180770074282857,2.172341573823124
0.0,family:NMR seasonal,294,72,222,0,0.24489795918367346,0.0276612697583095,0.12528451228280552,0.228095865251428,1.1931858312648145,2.172341573823124
0.0,family:NMR weekly,170,77,93,0,0.45294117647058824,0.085093422098135,0.1061239102601775,0.131692156631058,1.0107039072397859,1.2542110155338857
0.005,all_nmr_targets,464,204,260,0,0.4396551724137931,0.0226612697583095,0.1079172125548565,0.223095865251428,1.0277829767129192,2.124722526204076
0.005,usable_current_mesh_targets,287,172,115,0,0.5993031358885017,0.0226612697583095,0.10189808577996999,0.223095865251428,0.970457959809238,2.124722526204076
0.005,family:NMR seasonal,294,88,206,0,0.29931972789115646,0.0226612697583095,0.1202845122828055,0.223095865251428,1.1455667836457666,2.124722526204076
0.005,family:NMR weekly,170,116,54,0,0.6823529411764706,0.080093422098135,0.1011239102601775,0.12669215663105798,0.9630848596207381,1.206591967914838
0.01,all_nmr_targets,464,252,212,0,0.5431034482758621,0.0176612697583095,0.1029172125548565,0.218095865251428,0.9801639290938715,2.0771034785850286
0.01,usable_current_mesh_targets,287,210,77,0,0.7317073170731707,0.0176612697583095,0.09689808577997,0.218095865251428,0.9228389121901905,2.0771034785850286
0.01,family:NMR seasonal,294,110,184,0,0.3741496598639456,0.0176612697583095,0.1152845122828055,0.218095865251428,1.0979477360267191,2.0771034785850286
0.01,family:NMR weekly,170,142,28,0,0.8352941176470589,0.07509342209813501,0.0961239102601775,0.121692156631058,0.9154658120016905,1.1589729202957904
0.015,all_nmr_targets,464,283,181,0,0.6099137931034483,0.012661269758309501,0.0979172125548565,0.21309586525142798,0.9325448814748238,2.0294844309659807
0.015,usable_current_mesh_targets,287,232,55,0,0.8083623693379791,0.012661269758309501,0.09189808577997,0.21309586525142798,0.8752198645711429,2.0294844309659807
0.015,family:NMR seasonal,294,131,163,0,0.445578231292517,0.012661269758309501,0.1102845122828055,0.21309586525142798,1.0503286884076717,2.0294844309659807
0.015,family:NMR weekly,170,152,18,0,0.8941176470588236,0.070093422098135,0.0911239102601775,0.11669215663105799,0.8678467643826429,1.1113538726767427
0.02,all_nmr_targets,464,303,161,0,0.6530172413793104,0.0076612697583095,0.0929172125548565,0.208095865251428,0.8849258338557762,1.9818653833469335
0.02,usable_current_mesh_targets,287,241,46,0,0.8397212543554007,0.0076612697583095,0.08689808577996999,0.208095865251428,0.8276008169520952,1.9818653833469335
0.02,family:NMR seasonal,294,145,149,0,0.4931972789115646,0.0076612697583095,0.1052845122828055,0.208095865251428,1.0027096407886238,1.9818653833469335
0.02,family:NMR weekly,170,158,12,0,0.9294117647058824,0.065093422098135,0.08612391026017749,0.11169215663105798,0.8202277167635952,1.0637348250576952
0.03,all_nmr_targets,464,342,121,1,0.7370689655172413,-0.002338730241690498,0.08291721255485651,0.198095865251428,0.789687738617681,1.8866272881088382
0.03,usable_current_mesh_targets,287,267,19,1,0.9303135888501742,-0.002338730241690498,0.07689808577997,0.198095865251428,0.732362721714,1.8866272881088382
0.03,family:NMR seasonal,294,172,121,1,0.5850340136054422,-0.002338730241690498,0.0952845122828055,0.198095865251428,0.9074715455505287,1.8866272881088382
0.03,family:NMR weekly,170,170,0,0,1.0,0.055093422098135,0.07612391026017751,0.10169215663105799,0.7249896215255001,0.9684967298195999
0.04,all_nmr_targets,464,367,96,1,0.790948275862069,-0.0123387302416905,0.0729172125548565,0.188095865251428,0.6944496433795857,1.7913891928707428
0.04,usable_current_mesh_targets,287,270,16,1,0.9407665505226481,-0.0123387302416905,0.06689808577997,0.188095865251428,0.6371246264759048,1.7913891928707428
0.04,family:NMR seasonal,294,197,96,1,0.6700680272108843,-0.0123387302416905,0.0852845122828055,0.188095865251428,0.8122334503124333,1.7913891928707428
0.04,family:NMR weekly,170,170,0,0,1.0,0.045093422098135,0.0661239102601775,0.09169215663105798,0.6297515262874047,0.8732586345815047
0.05,all_nmr_targets,464,414,49,1,0.8922413793103449,-0.022338730241690502,0.0629172125548565,0.178095865251428,0.5992115481414906,1.6961510976326477
0.05,usable_current_mesh_targets,287,280,6,1,0.975609756097561,-0.022338730241690502,0.05689808577996999,0.178095865251428,0.5418865312378095,1.6961510976326477
0.05,family:NMR seasonal,294,244,49,1,0.8299319727891157,-0.022338730241690502,0.0752845122828055,0.178095865251428,0.7169953550743381,1.6961510976326477
0.05,family:NMR weekly,170,170,0,0,1.0,0.035093422098135,0.0561239102601775,0.08169215663105799,0.5345134310493096,0.7780205393434094
0.075,all_nmr_targets,464,442,5,17,0.9525862068965517,-0.047338730241690496,0.03791721255485651,0.153095865251428,0.36111631004625244,1.4580558595374093
0.075,usable_current_mesh_targets,287,271,1,15,0.9442508710801394,-0.047338730241690496,0.03189808577997,0.153095865251428,0.3037912931425714,1.4580558595374093
0.075,family:NMR seasonal,294,272,5,17,0.9251700680272109,-0.047338730241690496,0.050284512282805505,0.153095865251428,0.47890011697910007,1.4580558595374093
0.075,family:NMR weekly,170,170,0,0,1.0,0.010093422098135005,0.031123910260177502,0.05669215663105799,0.29641819295407146,0.5399253012481714
0.1,all_nmr_targets,464,373,1,90,0.8038793103448276,-0.0723387302416905,0.012917212554856498,0.128095865251428,0.12302107195101428,1.2199606214421714
0.1,usable_current_mesh_targets,287,216,1,70,0.7526132404181185,-0.0723387302416905,0.00689808577996999,0.128095865251428,0.06569605504733324,1.2199606214421714
0.1,family:NMR seasonal,294,231,1,62,0.7857142857142857,-0.0723387302416905,0.025284512282805496,0.128095865251428,0.24080487888386187,1.2199606214421714
0.1,family:NMR weekly,170,142,0,28,0.8352941176470589,-0.014906577901865004,0.006123910260177494,0.03169215663105798,0.05832295485883328,0.3018300631529332
