target_id,observation_family,measurement_label,mapping_label,date_iso,source_file,source_member,target_status,usable_for_current_state_fit,observed_theta_fraction,observed_sigma,fixed_phi,uncorrected_implied_saturation_if_theta_mobile,uncorrected_physical_if_saturation_le_1,excess_theta_over_fixed_phi,minimum_nonnegative_bound_offset_for_saturation_le_1,suggested_first_use
nmr_weekly_0000,NMR weekly,4S,NMR_S,2021-10-12 23:10:20,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.131278952560427,0.01,0.105,1.2502757386707333,False,0.02627895256042699,0.02627895256042699,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0001,NMR weekly,4S,NMR_S,2021-10-13 13:21:08,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.12846371118108,0.01,0.105,1.2234639160102856,False,0.023463711181079996,0.023463711181079996,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0002,NMR weekly,4S,NMR_S,2021-10-16 02:42:16,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.130499168006177,0.01,0.105,1.2428492191064477,False,0.025499168006177006,0.025499168006177006,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0003,NMR weekly,4S,NMR_S,2021-10-21 12:30:08,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.130987251414804,0.01,0.105,1.247497632521943,False,0.025987251414804,0.025987251414804,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0004,NMR weekly,4S,NMR_S,2021-10-24 11:23:48,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.130912084950847,0.01,0.105,1.246781761436638,False,0.025912084950847,0.025912084950847,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0005,NMR weekly,4S,NMR_S,2021-10-31 00:42:22,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.131023948188885,0.01,0.105,1.2478471256084285,False,0.026023948188884996,0.026023948188884996,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0006,NMR weekly,4S,NMR_S,2021-11-01 08:05:10,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.130815506344073,0.01,0.105,1.2458619651816476,False,0.025815506344072994,0.025815506344072994,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0007,NMR weekly,4S,NMR_S,2021-11-08 12:16:46,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.127952402285605,0.01,0.105,1.2185943074819525,False,0.02295240228560501,0.02295240228560501,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0008,NMR weekly,4S,NMR_S,2021-11-18 12:22:38,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.131692156631058,0.01,0.105,1.2542110155338857,False,0.026692156631057992,0.026692156631057992,trend_or_bias_augmented_absolute_likelihood_only
nmr_weekly_0009,NMR weekly,4S,NMR_S,2021-11-28 06:26:26,cda_knowledge_base/measurements/nmr/source_files/2025-09-15_Weekly_2021-2022_at_4S.dat,,inside_mesh_bbox_nearest_cell,True,0.129977303305982,0.01,0.105,1.2378790791045906,False,0.02497730330598201,0.02497730330598201,trend_or_bias_augmented_absolute_likelihood_only
