run_id,run_kind,offset_fraction,active_nmr_rows,nmr_offset_objective,nmr_offset_rmse_normalized_residual,direct_permeability_objective,combined_offset_objective,corrected_rows_above_fixed_phi,corrected_negative_free_water_rows,corrected_nonphysical_rows,combined_offset_rank
adaptive_combined_001_length_0p050m,adaptive_combined,0.0,192,2985.274496763392,5.5764333889400435,291.2907414698871,3276.565238233279,120,0,120,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.005,192,2517.6209979355162,5.121056407470529,291.2907414698871,2808.9117394054033,84,0,84,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.01,192,2096.404309075405,4.673065897909224,291.2907414698871,2387.695050545292,55,0,55,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.015,192,1721.6244301830575,4.23480670331089,291.2907414698871,2012.9151716529445,39,0,39,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.02,192,1393.281361258474,3.8096387641230636,291.2907414698871,1684.572102728361,35,0,35,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.03,192,875.9056533126,3.02059881844747,291.2907414698871,1167.196394782487,12,1,13,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.04,192,544.2771852377824,2.3810825296267173,291.2907414698871,835.5679267076696,10,1,11,63.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.05,192,398.39595703402165,2.037144542189154,291.2907414698871,689.6866985039087,2,1,3,62.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.075,192,846.3370609604922,2.9691768306505075,291.2907414698871,1137.6278024303792,0,13,13,2.0
adaptive_combined_001_length_0p050m,adaptive_combined,0.1,192,2455.1984140810673,5.05717149007339,291.2907414698871,2746.4891555509544,0,47,47,1.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.0,192,2971.512711195309,5.563565170669295,329.3994802038824,3300.912191399191,120,0,120,65.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.005,192,2505.2249475568856,5.108433537173363,329.3994802038824,2834.624427760768,84,0,84,65.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.01,192,2085.3739938862277,4.660755922556791,329.3994802038824,2414.77347409011,55,0,55,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.015,192,1711.959850183333,4.222903634476684,329.3994802038824,2041.3593303872153,39,0,39,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.02,192,1384.9825164482022,3.798276084357495,329.3994802038824,1714.3819966520846,35,0,35,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.03,192,870.3382788812338,3.0109838489015823,329.3994802038824,1199.737759085116,12,1,13,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.04,192,541.4412811853217,2.374871227178525,329.3994802038824,870.8407613892041,10,1,11,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.05,192,398.2915233604666,2.0368775208649295,329.3994802038824,727.691003564349,2,1,3,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.075,192,853.0613032342011,2.980948715094396,329.3994802038824,1182.4607834380836,0,13,13,64.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,0.1,192,2468.7513323020403,5.071110303619868,329.3994802038824,2798.1508125059227,0,47,47,4.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.0,192,3019.880737570838,5.6086621413990425,334.0021211435035,3353.8828587143416,120,0,120,66.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.005,192,2549.03689544124,5.152908660246778,334.0021211435035,2883.039016584744,84,0,84,66.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.01,192,2124.629863279408,4.7044193133507095,334.0021211435035,2458.631984422911,55,0,55,66.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.015,192,1746.6596410853383,4.26548605217572,334.0021211435035,2080.661762228842,39,0,39,66.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.02,192,1415.1262288590335,3.839387739898329,334.0021211435035,1749.128350002537,35,0,35,66.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.03,192,891.3698343097166,3.0471466063722983,334.0021211435035,1225.37195545322,12,1,13,65.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.04,192,553.3606796314558,2.4008693729899173,334.0021211435035,887.3628007749593,10,1,11,65.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.05,192,401.09876482425204,2.0440430850610656,334.0021211435035,735.1008859677555,2,1,3,65.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.075,192,833.0881522421149,2.9458448000285697,334.0021211435035,1167.0902733856183,0,13,13,61.0
adaptive_combined_003_length_0p075m,adaptive_combined,0.1,192,2425.9977888540825,5.027008086383327,334.0021211435035,2759.9999099975857,0,47,47,3.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.0,192,2889.1775594294195,5.485945641126039,269.882098409171,3159.0596578385903,120,0,120,38.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.005,192,2430.894281402096,5.032078639217777,269.882098409171,2700.7763798112674,84,0,84,36.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.01,192,2019.0478133425381,4.586038383578079,269.882098409171,2288.9299117517094,55,0,55,36.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.015,192,1653.6381552507437,4.15034907574394,269.882098409171,1923.5202536599147,39,0,39,36.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.02,192,1334.665307126713,3.728640987800148,269.882098409171,1604.547405535884,35,0,35,35.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.03,192,836.0300407819451,2.9510415547981124,269.882098409171,1105.9121391911162,12,1,13,31.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.04,192,523.1420143082335,2.3343941360398914,269.882098409171,793.0241127174045,10,1,11,17.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.05,192,396.0012277055787,2.0310127494921786,269.882098409171,665.8833261147497,2,1,3,4.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.075,192,890.7934356348139,3.046161237994904,269.882098409171,1160.675534043985,0,13,13,12.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,0.1,192,2546.505892758154,5.150349798757761,269.882098409171,2816.387991167325,0,47,47,16.0
broad_continuous_001_002_length_0p022m_shift_0p998,broad_continuous,0.0,192,2899.4578970105995,5.49569708291803,269.84272319037007,3169.3006202009697,120,0,120,55.0
broad_continuous_001_002_length_0p022m_shift_0p998,broad_continuous,0.005,192,2440.1402972608466,5.041639425471357,269.84272319037007,2709.983020451217,84,0,84,54.0
