measurement,source_path,filename,extension,kind,size_bytes,sha1,provenance,pages,slides,sheets,members,lines,total_uncompressed_bytes,extension_counts,keywords,extract_path,zip_member_csv,potential_missing_loose_members,first_lines,error
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2024-12-19_Input_HERMES_BGR_20241217.pdf,2024-12-19_Input_HERMES_BGR_20241217.pdf,.pdf,pdf,335795,7eac8be649cb8a078f23f884b7d0516eea23d345,cda_knowledge_base/attachments/2024-12-19_Input_HERMES_BGR_20241217.pdf,7,,,,,,,ERT; TDR; humidity; fracture; water content; pressure; piezometer; extensometer; laser; OGS; HERMES; CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2024-12-19_Input_HERMES_BGR_20241217_a3a7ba63.pdf.txt,,,--- Page 1 --- | WP HERMES | High fid Elity nume Rical siM ulations of strongly coupled processes | for rE pository Systems | QUESTIONNAIRE FOR POTENTIAL CONTRI BUTORS TO | WP-HERMES | We launch this questionnaire to further develop the work package description where your | organ ization has expressed interest. This Questionnaire will serve as the input for the WP-HERMES,
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2025-09-05_CD-A_for_hermes_2D_Bologna_250904.pptx,2025-09-05_CD-A_for_hermes_2D_Bologna_250904.pptx,.pptx,pptx,2450396,19037ba97b5f42e4b8b8e7628f8feba17efe9055,cda_knowledge_base/attachments/2025-09-05_CD-A_for_hermes_2D_Bologna_250904.pptx,,1,,,,,,niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2025-09-05_CD-A_for_hermes_2D_Bologna_250904_4afd25d7.pptx.txt,,,--- Slide 1 --- | 2 | Optimizing numerical models | using geophysical data sets | Starting | point | 1 | Enhanced | use of | measurements,
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2025-09-05_Hermes_T5_BGR_UGN_250904.pptx,2025-09-05_Hermes_T5_BGR_UGN_250904.pptx,.pptx,pptx,2451748,e5246273c8e3f44d592b78bba32ccefff5f5ffbc,cda_knowledge_base/attachments/2025-09-05_Hermes_T5_BGR_UGN_250904.pptx,,1,,,,,,CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2025-09-05_Hermes_T5_BGR_UGN_250904_b815a347.pptx.txt,,,--- Slide 1 --- | 2 | Optimizing THE OUTPUT OF numerical | models using geophysical data sets | Starting | point | 1 | Extensive use of | measurements | Aiming,
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2025-09-05_Hermes_T5_BGR_UGN_250905x.pptx,2025-09-05_Hermes_T5_BGR_UGN_250905x.pptx,.pptx,pptx,2451598,be532d4fef85e16de7e84b574da75de446b39c33,cda_knowledge_base/attachments/2025-09-05_Hermes_T5_BGR_UGN_250905x.pptx,,1,,,,,,CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2025-09-05_Hermes_T5_BGR_UGN_250905x_f22cadc1.pptx.txt,,,--- Slide 1 --- | 2 | Enhancing Numerical Models via Improved Parameter Estimates from Diverse Geophysical Measurements | Starting | point | 1 | Extensive use of | measurements | Aiming | on,
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_Presentations_CD-A_TD_260428.zip,2026-05-11_Presentations_CD-A_TD_260428.zip,.zip,zip,11217113,99984877fed333b54e6b74fd971c6d0960bd4faa,cda_knowledge_base/attachments/thunderbird_recovered/2026-05-11_Presentations_CD-A_TD_260428.zip,,,,7,,12692247,.pdf=7,ERT; NMR; CD-A,,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/zip_member_deep_summary.csv,,Presentations_CD-A_TD_260428/2604_TD_CD-A_ISU.pdf | Presentations_CD-A_TD_260428/CD-A_Slides_TD_260427x.pdf | Presentations_CD-A_TD_260428/CD-A_Stand-ERT-2026-04.pdf | Presentations_CD-A_TD_260428/CD-A_TD_2026_sc.pdf | Presentations_CD-A_TD_260428/Folien_Niv_TD_CDA_2026.pdf | Presentations_CD-A_TD_260428/NMR2026.pdf | Presentations_CD-A_TD_260428/RO_2013.4_3974_CD-A3 Phase 30_A21_TN-2025-12_signed.pdf,
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/2026-05-11_TD517_CD-A_260507__Minutes.pdf,2026-05-11_TD517_CD-A_260507__Minutes.pdf,.pdf,pdf,178398,86f39cf90b6589c5af20c306032245e28240deff,cda_knowledge_base/attachments/2026-05-11_TD517_CD-A_260507__Minutes.pdf,8,,,,,,,ERT; NMR; Taupe; TDR; suction; humidity; relative humidity; permeability; fault; fracture; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; HERMES; CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2026-05-11_TD517_CD-A_260507__Minutes_382ada29.pdf.txt,,,"--- Page 1 --- | Minutes TD517_CD-A | Technical discussion TD517_CD-A | CDA Experiment | Place: Hybrid Meeting (St. Ursanne, Webex) | Date: April 28 2026, 09:00 – 11:15 | --- Page 2 --- | Participants Distribution",
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/CD-A_Slides_TD_260427x.pdf,CD-A_Slides_TD_260427x.pdf,.pdf,pdf,4554743,b32dc9ddd04b5b76fc8d1572e08b578815a8f8fd,archive member cda_knowledge_base/attachments/thunderbird_recovered/2026-05-11_Presentations_CD-A_TD_260428.zip::Presentations_CD-A_TD_260428/CD-A_Slides_TD_260427x.pdf,34,,,,,,,ERT; NMR; Taupe; suction; humidity; relative humidity; permeability; water content; saturation; pressure; piezometer; extensometer; crackmeter; laser; levelling; OGS; HERMES; CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_71b1ce18.pdf.txt,,,--- Page 1 --- | CD-A | TD 28.04.2026 | 9:00 – 11:30 | St. Ursanne / Webex | --- Page 2 --- | • Update of measurements (Geoscope and laser scans) has been sent (20.04.26) | 9:00 – 10:30:,
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/CD-A_TD_2026_sc.pdf,CD-A_TD_2026_sc.pdf,.pdf,pdf,1153047,ee63f98257c8215716d825b270e152b7e8366449,archive member cda_knowledge_base/attachments/thunderbird_recovered/2026-05-11_Presentations_CD-A_TD_260428.zip::Presentations_CD-A_TD_260428/CD-A_TD_2026_sc.pdf,15,,,,,,,ERT; suction; pressure; piezometer; extensometer; OGS; CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_TD_2026_sc_7834d993.pdf.txt,,,"--- Page 1 --- | BGR modelling activities under the EURAD and | CD-A Projects | Mont Terri Technical Discussion | 2026.04.28 | Shuang Chen, Gesa Ziefle, Tuanny Cajuhi | --- Page 2 --- | Overview of the recent works",
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/Folien_Niv_TD_CDA_2026.pdf,Folien_Niv_TD_CDA_2026.pdf,.pdf,pdf,512209,0e33664d714a875d6c9844ff53c251d1dff94699,archive member cda_knowledge_base/attachments/thunderbird_recovered/2026-05-11_Presentations_CD-A_TD_260428.zip::Presentations_CD-A_TD_260428/Folien_Niv_TD_CDA_2026.pdf,6,,,,,,,laser; levelling; CD-A; niche,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/Folien_Niv_TD_CDA_2026_99304cee.pdf.txt,,,"--- Page 1 --- | Federal Department of Defence, | Civil Protection and Sport DDPS | Federal Office of Topography swisstopo | Geodesy and Federal Directorate of Cadastral Surveying | Precision Levelling Twin Niches | 28.04.2026 | Technical Discussion CD-A | Senecio Schefer",
other_hm_monitoring,cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,VisualisationCDA.dat,.dat,text/data,266780550,c48509508215f0d36bba083077630c9b752e63ea,cda_knowledge_base/file_transfers/collected/2025-12-03_cda_data/VisualisationCDA.dat,,,,,not counted (large file),,,Taupe; permeability; piezometer; extensometer,cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/VisualisationCDA_13efacc0.dat.head.txt,,,"TITLE = """" | VARIABLES = ""X"" | ""Y"" | ""Z"" | TEXT | CS=FRAME | X=9.78378378378,Y=15.6756756757 | C=BLACK | S=LOCAL | HU=POINT",
