request_id,source_text_file,line_number,matched_keywords,snippet
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2024-12-19_Input_HERMES_BGR_20241217_a3a7ba63.pdf.txt,229,piezometer,"water content, pore  water pressures, crack width, etc. There exist pointwise measurements (as piezometer, extensometer) and two -dimensional measurements, as"
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2026-05-11_TD517_CD-A_260507__Minutes_382ada29.pdf.txt,102,mini-piezometer; piezometer,"Geoscope (relative humidity, temperature, opening times of door, extensometer, Mini-Piezometer, crackmeter, suction measurements) plus Laser scans with statistical"
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2026-05-11_TD517_CD-A_260507__Minutes_382ada29.pdf.txt,113,BCD-A28; BCD-A31; mini-piezometer; piezometer,September 2025 – next steps? • Mini-Piezometers BCD-A28 to BCD-A31 are working well • Crackmeter indicate ongoing trend in closed niche (1
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2026-05-11_TD517_CD-A_260507__Minutes_382ada29.pdf.txt,341,pore pressure,model. Finally targets to compare with extensometer and pore pressure measurement data.
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/2026-05-11_TD517_CD-A_260507__Minutes_382ada29.pdf.txt,356,pore pressure,"Most of the measurements indicate static conditions (extensometer, pore pressure, suction, …). The crackmeter measurements at one position in the CT"
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_71b1ce18.pdf.txt,184,pore pressure,- Taupe - Pore pressures - Extensometer measurements
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_71b1ce18.pdf.txt,229,pore pressure,• Horizontal: -3MPa (along niches) • Hydrostatic pore pressure distribution • Top:  1.2 MPa (BC)
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_71b1ce18.pdf.txt,326,mini-piezometer; piezometer,--- Page 32 --- Trends in measurements: Mini-Piezometer Open Twin:
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_71b1ce18.pdf.txt,342,pore pressure,• Suction • Pore pressure • NMR
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_Slides_TD_260427x_71b1ce18.pdf.txt,353,pore pressure,• Extensometer (steady conditions) • Pore pressure? • Saturation?
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_TD_2026_sc_7834d993.pdf.txt,20,mini-piezometer; piezometer; pore pressure,• Displacements / Strains (Extensometer measurements) • Pore pressure (Mini-Piezometer measurements) • Pore pressure in desaturated zone (Suction measurments)
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_TD_2026_sc_7834d993.pdf.txt,21,pore pressure,• Pore pressure (Mini-Piezometer measurements) • Pore pressure in desaturated zone (Suction measurments) Approach:
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_TD_2026_sc_7834d993.pdf.txt,84,mini-piezometer; piezometer; pore pressure,• Displacements / Strains (Extensometer measurements) • Pore pressure (Mini-Piezometer measurements) • Pore pressure in desaturated zone (Suction measurments)
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_TD_2026_sc_7834d993.pdf.txt,85,pore pressure,• Pore pressure (Mini-Piezometer measurements) • Pore pressure in desaturated zone (Suction measurments) Approach:
geoscope_mini_piezometer_time_series,../cda_knowledge_base/measurements/other_hm_monitoring/derived_files/deep_source_pass/extracted_text/CD-A_TD_2026_sc_7834d993.pdf.txt,110,pore pressure,"basis for benchmarking, later constitutive model testing, and finally comparison with extensometer and pore pressure measurement data. The intermediate 2D slice-based model serves as a practical compromise between the simplified 2D case"
