observation_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,primary_cell_id,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,normalized_residual,objective_weight,duplicate_count,configured_scalar_feasibility_status,residual_sign,recommended_next_action,gaussian_row_loss,gaussian_row_loss_share,capped_abs1_log10_row_loss,huber_delta_2sigma_row_loss,student_t_nu4_row_loss,policy_class
perm_0169,2024,2024,BCD-A32,0.85,4648,-19.045757490560675,-15.571333751784366,3.4744237387763093,3.4744237387763093,6.948847477552619,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,24.143240633144696,0.08947970677759785,2.0,11.897694955105237,6.4261087303649145,large_residual_heavy_tail_or_support_review
perm_0195,2024,2024,BCD-A33,0.59,8057,-21.0,-17.548455006504028,3.451544993495972,3.451544993495972,6.903089986991944,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,23.82632568425422,0.08830515622197661,2.0,11.806179973983888,6.395617916243092,large_residual_heavy_tail_or_support_review
perm_0005,2024_OT,2024,BCD-A32,0.87,4648,-12.096910013008056,-15.571333751784366,-3.4744237387763093,3.4744237387763093,-6.948847477552619,0.5,2,observed_above_configured_scalar_range,underpredicts_observation,review_sampler_bounds_tensor_shape_or_measurement_interpretation_before_more_spatial_sampling,12.071620316572348,0.04473985338879893,1.0,5.948847477552619,3.2130543651824572,configured_scalar_range_decision_required
perm_0155,2024,2024,BCD-A32,0.87,4648,-12.096910013008056,-15.571333751784366,-3.4744237387763093,3.4744237387763093,-6.948847477552619,0.5,2,observed_above_configured_scalar_range,underpredicts_observation,review_sampler_bounds_tensor_shape_or_measurement_interpretation_before_more_spatial_sampling,12.071620316572348,0.04473985338879893,1.0,5.948847477552619,3.2130543651824572,configured_scalar_range_decision_required
perm_0015,2024_OT,2024,BCD-A33,0.55,8057,-14.096910013008056,-17.548455006504028,-3.451544993495972,3.451544993495972,-6.903089986991944,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,11.91316284212711,0.04415257811098831,1.0,5.903089986991944,3.197808958121546,large_residual_heavy_tail_or_support_review
perm_0181,2024,2024,BCD-A33,0.55,8057,-14.096910013008056,-17.548455006504028,-3.451544993495972,3.451544993495972,-6.903089986991944,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,11.91316284212711,0.04415257811098831,1.0,5.903089986991944,3.197808958121546,large_residual_heavy_tail_or_support_review
perm_0170,2024,2024,BCD-A32,0.95,7188,-19.096910013008056,-16.809894379144197,2.2870156338638594,2.2870156338638594,4.574031267727719,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,10.460881019075421,0.038770129513483104,2.0,7.148062535455438,4.573617595226621,large_residual_heavy_tail_or_support_review
perm_0172,2024,2024,BCD-A32,1.15,5040,-19.39794000867204,-17.24742501084005,2.15051499783199,2.15051499783199,4.30102999566398,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,9.249429511800649,0.03428024651503385,2.0,6.602059991327961,4.3179255918563015,large_residual_heavy_tail_or_support_review
perm_0173,2024,2024,BCD-A32,1.25,5896,-20.69897000433602,-18.548455006504028,2.15051499783199,2.15051499783199,4.30102999566398,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,9.249429511800649,0.03428024651503385,2.0,6.602059991327961,4.3179255918563015,large_residual_heavy_tail_or_support_review
perm_0201,2024,2024,BCD-A33,1.7,4317,-20.39794000867204,-18.349485002168013,2.048455006504028,2.048455006504028,4.096910013008056,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,8.392335827342835,0.03110368489550834,2.0,6.1938200260161125,4.119803535588209,large_residual_heavy_tail_or_support_review
perm_0167,2024,2024,BCD-A32,0.65,6191,-19.30102999566398,-17.30102999566398,2.0,2.0,4.0,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,8.0,0.029649609391626388,2.0,6.0,4.023594781085251,large_residual_heavy_tail_or_support_review
perm_0199,2024,2024,BCD-A33,1.15,5030,-19.045757490560675,-17.10032972527321,1.9454277652874656,1.9454277652874656,3.8908555305749313,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,7.569378379902765,0.028053639037692344,2.0,5.7817110611498626,3.91355266929291,moderate_residual_uncertainty_review
perm_0163,2024,2024,BCD-A32,0.25,8051,-19.522878745280337,-17.61092437480818,1.911954370472156,1.911954370472156,3.823908740944312,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,7.311139029535156,0.027096552054198975,2.0,5.647817481888624,3.845160619965353,moderate_residual_uncertainty_review
perm_0165,2024,2024,BCD-A32,0.45,8371,-19.096910013008056,-17.397940008672037,1.6989700043360187,1.6989700043360187,3.3979400086720375,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,5.772998151267063,0.02139589252545621,2.0,4.795880017344075,3.393771929619431,moderate_residual_uncertainty_review
perm_0006,2024_OT,2024,BCD-A32,1.01,7188,-14.522878745280336,-16.809894379144197,-2.287015633863861,2.287015633863861,-4.574031267727722,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,5.230440509537718,0.01938506475674158,1.0,3.5740312677277224,2.286808797613312,large_residual_heavy_tail_or_support_review
perm_0156,2024,2024,BCD-A32,1.01,7188,-14.522878745280336,-16.809894379144197,-2.287015633863861,2.287015633863861,-4.574031267727722,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,5.230440509537718,0.01938506475674158,1.0,3.5740312677277224,2.286808797613312,large_residual_heavy_tail_or_support_review
perm_0200,2024,2024,BCD-A33,1.29,5749,-19.22184874961636,-17.63380312008852,1.588045629527841,1.588045629527841,3.176091259055682,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,5.043777842924953,0.0186932553626081,2.0,4.352182518111364,3.147493677733883,moderate_residual_uncertainty_review
perm_0007,2024_OT,2024,BCD-A32,1.15,5040,-15.096910013008056,-17.24742501084005,-2.150514997831994,2.150514997831994,-4.301029995663988,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.624714755900342,0.01714012325751699,1.0,3.3010299956639884,2.1589627959281548,large_residual_heavy_tail_or_support_review
perm_0157,2024,2024,BCD-A32,1.15,5040,-15.096910013008056,-17.24742501084005,-2.150514997831994,2.150514997831994,-4.301029995663988,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.624714755900342,0.01714012325751699,1.0,3.3010299956639884,2.1589627959281548,large_residual_heavy_tail_or_support_review
perm_0008,2024_OT,2024,BCD-A32,1.29,5896,-16.397940008672037,-18.548455006504028,-2.15051499783199,2.15051499783199,-4.30102999566398,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.6247147559003245,0.017140123257516925,1.0,3.3010299956639804,2.1589627959281508,large_residual_heavy_tail_or_support_review
perm_0158,2024,2024,BCD-A32,1.29,5896,-16.397940008672037,-18.548455006504028,-2.15051499783199,2.15051499783199,-4.30102999566398,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.6247147559003245,0.017140123257516925,1.0,3.3010299956639804,2.1589627959281508,large_residual_heavy_tail_or_support_review
perm_0194,2024,2024,BCD-A33,0.45,3600,-19.096910013008056,-17.596910013008056,1.5,1.5,3.0,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.5,0.016677905282789843,2.0,4.0,2.9466374908541155,moderate_residual_uncertainty_review
perm_0023,2024_OT,2024,BCD-A33,1.7,4317,-16.30102999566398,-18.349485002168013,-2.048455006504032,2.048455006504032,-4.096910013008064,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.1961679136714345,0.015551842447754233,1.0,3.0969100130080642,2.0599017677941087,large_residual_heavy_tail_or_support_review
perm_0189,2024,2024,BCD-A33,1.7,4317,-16.30102999566398,-18.349485002168013,-2.048455006504032,2.048455006504032,-4.096910013008064,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.1961679136714345,0.015551842447754233,1.0,3.0969100130080642,2.0599017677941087,large_residual_heavy_tail_or_support_review
perm_0004,2024_OT,2024,BCD-A32,0.73,6191,-15.30102999566398,-17.30102999566398,-2.0000000000000018,2.0000000000000018,-4.0000000000000036,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.000000000000007,0.01482480469581322,1.0,3.0000000000000036,2.011797390542627,large_residual_heavy_tail_or_support_review
perm_0154,2024,2024,BCD-A32,0.73,6191,-15.30102999566398,-17.30102999566398,-2.0000000000000018,2.0000000000000018,-4.0000000000000036,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,4.000000000000007,0.01482480469581322,1.0,3.0000000000000036,2.011797390542627,large_residual_heavy_tail_or_support_review
perm_0198,2024,2024,BCD-A33,1.01,4650,-20.0,-18.610924374808175,1.389075625191822,1.389075625191822,2.778151250383644,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,3.859062185004102,0.014302460800420984,2.0,3.5563025007672877,2.687105933832547,moderate_residual_uncertainty_review
perm_0021,2024_OT,2024,BCD-A33,1.15,5030,-15.154901959985745,-17.10032972527321,-1.945427765287464,1.945427765287464,-3.890855530574928,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,3.7846891899513766,0.01402681951884615,1.0,2.890855530574928,1.9567763346464537,moderate_residual_uncertainty_review
perm_0187,2024,2024,BCD-A33,1.15,5030,-15.154901959985745,-17.10032972527321,-1.945427765287464,1.945427765287464,-3.890855530574928,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,3.7846891899513766,0.01402681951884615,1.0,2.890855530574928,1.9567763346464537,moderate_residual_uncertainty_review
perm_0001,2024_OT,2024,BCD-A32,0.31,8051,-15.69897000433602,-17.61092437480818,-1.911954370472161,1.911954370472161,-3.823908740944322,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,3.6555695147675977,0.01354827602709956,1.0,2.823908740944322,1.922580309982682,moderate_residual_uncertainty_review
perm_0151,2024,2024,BCD-A32,0.31,8051,-15.69897000433602,-17.61092437480818,-1.911954370472161,1.911954370472161,-3.823908740944322,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,3.6555695147675977,0.01354827602709956,1.0,2.823908740944322,1.922580309982682,moderate_residual_uncertainty_review
perm_0002,2024_OT,2024,BCD-A32,0.45,8371,-15.69897000433602,-17.397940008672037,-1.698970004336017,1.698970004336017,-3.397940008672034,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.8864990756335254,0.010697946262728082,1.0,2.397940008672034,1.6968859648097134,moderate_residual_uncertainty_review
perm_0152,2024,2024,BCD-A32,0.45,8371,-15.69897000433602,-17.397940008672037,-1.698970004336017,1.698970004336017,-3.397940008672034,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.8864990756335254,0.010697946262728082,1.0,2.397940008672034,1.6968859648097134,moderate_residual_uncertainty_review
perm_0193,2024,2024,BCD-A33,0.31,4096,-19.096910013008056,-17.897940008672037,1.1989700043360187,1.1989700043360187,2.3979400086720375,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.8750581425950257,0.010655543863269674,2.0,2.795880017344075,2.227462126262255,moderate_residual_uncertainty_review
perm_0022,2024_OT,2024,BCD-A33,1.25,5749,-16.045757490560675,-17.63380312008852,-1.5880456295278442,1.5880456295278442,-3.1760912590556885,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.521888921462487,0.009346627681304086,1.0,2.1760912590556885,1.573746838866945,moderate_residual_uncertainty_review
perm_0188,2024,2024,BCD-A33,1.25,5749,-16.045757490560675,-17.63380312008852,-1.5880456295278442,1.5880456295278442,-3.1760912590556885,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.521888921462487,0.009346627681304086,1.0,2.1760912590556885,1.573746838866945,moderate_residual_uncertainty_review
perm_0014,2024_OT,2024,BCD-A33,0.45,3600,-16.096910013008056,-17.596910013008056,-1.5,1.5,-3.0,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.25,0.008338952641394922,1.0,2.0,1.4733187454270578,moderate_residual_uncertainty_review
perm_0180,2024,2024,BCD-A33,0.45,3600,-16.096910013008056,-17.596910013008056,-1.5,1.5,-3.0,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.25,0.008338952641394922,1.0,2.0,1.4733187454270578,moderate_residual_uncertainty_review
perm_0197,2024,2024,BCD-A33,0.87,4649,-19.39794000867204,-18.39794000867204,1.0000000000000036,1.0000000000000036,2.000000000000007,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.000000000000014,0.00741240234790665,2.0,2.000000000000014,1.7328679513998722,moderate_residual_uncertainty_review
perm_0162,2024,2024,BCD-A32,0.15,136,-17.30102999566398,-16.30102999566398,1.0,1.0,2.0,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,2.0,0.007412402347906597,2.0,2.0,1.7328679513998633,moderate_residual_uncertainty_review
perm_0019,2024_OT,2024,BCD-A33,0.95,4650,-17.221848749616356,-18.610924374808175,-1.389075625191822,1.389075625191822,-2.778151250383644,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.929531092502051,0.007151230400210492,1.0,1.7781512503836439,1.3435529669162736,moderate_residual_uncertainty_review
perm_0185,2024,2024,BCD-A33,0.95,4650,-17.221848749616356,-18.610924374808175,-1.389075625191822,1.389075625191822,-2.778151250383644,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.929531092502051,0.007151230400210492,1.0,1.7781512503836439,1.3435529669162736,moderate_residual_uncertainty_review
perm_0012,2024_OT,2024,BCD-A33,0.25,4096,-16.69897000433602,-17.897940008672037,-1.1989700043360187,1.1989700043360187,-2.3979400086720375,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.4375290712975128,0.005327771931634837,1.0,1.3979400086720375,1.1137310631311275,moderate_residual_uncertainty_review
perm_0178,2024,2024,BCD-A33,0.25,4096,-16.69897000433602,-17.897940008672037,-1.1989700043360187,1.1989700043360187,-2.3979400086720375,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.4375290712975128,0.005327771931634837,1.0,1.3979400086720375,1.1137310631311275,moderate_residual_uncertainty_review
perm_0000,2024_OT,2024,BCD-A32,0.17,136,-15.30102999566398,-16.30102999566398,-1.0000000000000018,1.0000000000000018,-2.0000000000000036,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.0000000000000036,0.0037062011739533115,1.0,1.0000000000000036,0.8664339756999339,moderate_residual_uncertainty_review
perm_0150,2024,2024,BCD-A32,0.17,136,-15.30102999566398,-16.30102999566398,-1.0000000000000018,1.0000000000000018,-2.0000000000000036,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.0000000000000036,0.0037062011739533115,1.0,1.0000000000000036,0.8664339756999339,moderate_residual_uncertainty_review
perm_0018,2024_OT,2024,BCD-A33,0.85,4649,-17.397940008672037,-18.39794000867204,-1.0,1.0,-2.0,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.0,0.0037062011739532985,1.0,1.0,0.8664339756999316,moderate_residual_uncertainty_review
perm_0184,2024,2024,BCD-A33,0.85,4649,-17.397940008672037,-18.39794000867204,-1.0,1.0,-2.0,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs,1.0,0.0037062011739532985,1.0,1.0,0.8664339756999316,moderate_residual_uncertainty_review
perm_0166,2024,2024,BCD-A32,0.55,3542,-13.0,-13.34948500216801,-0.3494850021680094,0.3494850021680094,-0.6989700043360187,1.0,1,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma,0.24427953348074705,0.0009053490937591087,0.24427953348074705,0.24427953348074705,0.288093421574289,ordinary_gaussian_row
