candidate_id,candidate_family,source_kind,mesh_path,mesh,candidate_index,evaluation_source,evaluation_source_path,active_row_count,effective_objective_weight,outside_configured_scalar_row_count,rows_ge_1_log10,rows_ge_2_log10,top_5_current_row_loss_share,top_10_current_row_loss_share,objective_current_duplicate_weighted_gaussian,objective_capped_gaussian_abs1_log10,objective_huber_delta_2sigma,objective_student_t_nu4,objective_configured_scalar_inside_only_gaussian,rmse_current_duplicate_weighted_gaussian,rmse_capped_gaussian_abs1_log10,rmse_huber_delta_2sigma,rmse_student_t_nu4,rmse_configured_scalar_inside_only_gaussian,mae_current_duplicate_weighted_gaussian,mae_capped_gaussian_abs1_log10,mae_huber_delta_2sigma,mae_student_t_nu4,mae_configured_scalar_inside_only_gaussian,max_abs_current_duplicate_weighted_gaussian,max_abs_capped_gaussian_abs1_log10,max_abs_huber_delta_2sigma,max_abs_student_t_nu4,max_abs_configured_scalar_inside_only_gaussian,support_group_count,support_observed_range_ge_1_count,objective_support_cell_weighted_mean_unit_gaussian,objective_support_cell_weighted_median_unit_gaussian,rmse_support_cell_weighted_mean_unit_gaussian,rmse_support_cell_weighted_median_unit_gaussian,mae_support_cell_weighted_mean_unit_gaussian,mae_support_cell_weighted_median_unit_gaussian,max_abs_support_cell_weighted_mean_unit_gaussian,max_abs_support_cell_weighted_median_unit_gaussian,rank_current_duplicate_weighted_gaussian,rank_capped_gaussian_abs1_log10,rank_huber_delta_2sigma,rank_student_t_nu4,rank_support_cell_weighted_mean_unit_gaussian,rank_support_cell_weighted_median_unit_gaussian,rank_configured_scalar_inside_only_gaussian
broad_continuous_loop_001_001_length_0p015m,broad_continuous_loop_001_001_length_0p015m,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m/bulk_w_projections.vtu,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m/bulk_w_projections.vtu,43,cached_csv,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
broad_continuous_loop_001_003_length_0p010m,broad_continuous_loop_001_003_length_0p010m,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/broad_continuous_loop_001_003_length_0p010m/bulk_w_projections.vtu,inversion_workflow/runs/broad_continuous_loop_001_003_length_0p010m/bulk_w_projections.vtu,45,cached_csv,inversion_workflow/runs/broad_continuous_loop_001_003_length_0p010m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
candidate_direct_fit_driver,candidate_direct_fit_driver,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/candidate_direct_fit_driver/bulk_w_projections.vtu,inversion_workflow/runs/candidate_direct_fit_driver/bulk_w_projections.vtu,46,cached_csv,inversion_workflow/runs/candidate_direct_fit_driver/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
continuous_bayesian_candidate_plan/length_0p007m,continuous_bayesian_candidate_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p007m/bulk_w_projections.vtu,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p007m/bulk_w_projections.vtu,51,cached_csv,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p007m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
continuous_bayesian_candidate_plan/length_0p010m,continuous_bayesian_candidate_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p010m/bulk_w_projections.vtu,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p010m/bulk_w_projections.vtu,76,cached_csv,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p010m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
continuous_bayesian_candidate_plan/length_0p013m,continuous_bayesian_candidate_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p013m/bulk_w_projections.vtu,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p013m/bulk_w_projections.vtu,90,cached_csv,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p013m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
continuous_bayesian_candidate_plan/length_0p015m,continuous_bayesian_candidate_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p015m/bulk_w_projections.vtu,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p015m/bulk_w_projections.vtu,101,cached_csv,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p015m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
continuous_bayesian_candidate_plan/length_0p018m,continuous_bayesian_candidate_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p018m/bulk_w_projections.vtu,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p018m/bulk_w_projections.vtu,114,cached_csv,inversion_workflow/runs/continuous_bayesian_candidate_plan/length_0p018m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
continuous_proposed_002_length_0p007m,continuous_proposed_002_length_0p007m,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/continuous_proposed_002_length_0p007m/bulk_w_projections.vtu,inversion_workflow/runs/continuous_proposed_002_length_0p007m/bulk_w_projections.vtu,186,cached_csv,inversion_workflow/runs/continuous_proposed_002_length_0p007m/permeability_fit_evaluation.csv,75,52.0,2,46,19,0.31141714788816055,0.49400403343820815,269.8180571059851,65.31194526868981,183.6712474083337,121.16896116540623,245.67481647284038,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.474423738776311,1.0,3.474423738776311,3.474423738776311,3.474423738776311,30,16,2.145701662201152e-28,134.72779043641367,1.8910762641950537e-15,1.4984869615516272,1.0658141036401502e-15,1.0555758838301277,3.552713678800501e-15,3.474423738776311,1.0,166.0,1.0,1.0,18.0,251.0,133.0
cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p25,cross_stream_hybrid_field_plan,materialized_run_field,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p25/bulk_w_projections.vtu,inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p25/bulk_w_projections.vtu,194,cached_csv,inversion_workflow/runs/cross_stream_hybrid_field_plan/cross_hybrid_mean_rank_all_streams_plus2_a0p25/permeability_fit_evaluation.csv,75,52.0,2,48,21,0.3114171478881606,0.49400403343820803,269.8180571059851,65.31194526868983,183.6712474083337,121.16896116540623,245.67481647284035,1.61071549171474,0.7924641782045433,1.61071549171474,1.61071549171474,1.551958965980309,1.2295502504064544,0.6605151439658588,1.2295502504064544,1.2295502504064544,1.185533123183516,3.4744237387763093,1.0,3.4744237387763093,3.4744237387763093,3.4744237387763093,30,16,1.7670484276950664e-28,134.72779043641358,1.7161237463612904e-15,1.4984869615516268,8.289665250534502e-16,1.0555758838301275,3.552713678800501e-15,3.4744237387763093,1.0,183.0,1.0,1.0,2.0,228.0,110.0
