observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,normalized_residual,objective_weight,duplicate_count,prediction_cell_count,selected_cell_ids,selected_material_ids,support_cell_count,support_cell_ids,support_material_ids,current_log10_prediction_from_cells,configured_scalar_feasible_log10_min,configured_scalar_feasible_log10_max,configured_scalar_min_multiplier_min,configured_scalar_max_multiplier_min,configured_scalar_max_multiplier_max,configured_scalar_feasibility_status,headroom_up_log10_from_current,headroom_down_log10_from_current,residual_band,residual_sign,recommended_next_action
perm_0000,2024_OT,2024,BCDA_32,BCD-A32,0.17,mapped_inside_mesh,True,True,-15.30102999566398,-16.30102999566398,-1.0000000000000018,1.0000000000000018,-2.0000000000000036,0.5,2,1,136.0,,1.0,136,1,-16.30102999566398,-21.8061618710848,-12.204101879756836,3.1251302635448435e-06,12500.521054179375,12500.521054179375,observed_inside_configured_scalar_range,4.096928115907145,5.505131875420819,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0001,2024_OT,2024,BCDA_32,BCD-A32,0.31,mapped_inside_mesh,True,True,-15.69897000433602,-17.61092437480818,-1.911954370472161,1.911954370472161,-3.823908740944322,0.5,2,1,8051.0,,1.0,8051,0,-17.61092437480818,-21.8061618710848,-12.204101879756836,6.379145437845344e-05,255165.8175138138,255165.8175138138,observed_inside_configured_scalar_range,5.406822495051346,4.195237496276619,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0002,2024_OT,2024,BCDA_32,BCD-A32,0.45,mapped_inside_mesh,True,True,-15.69897000433602,-17.397940008672037,-1.698970004336017,1.698970004336017,-3.397940008672034,0.5,2,1,8371.0,,1.0,8371,0,-17.397940008672037,-21.8061618710848,-12.204101879756836,3.9064128294310475e-05,156256.5131772419,156256.5131772419,observed_inside_configured_scalar_range,5.193838128915202,4.408221862412763,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0003,2024_OT,2024,BCDA_32,BCD-A32,0.59,mapped_inside_mesh,True,True,-13.69897000433602,-13.34948500216801,0.34948500216801115,0.34948500216801115,0.6989700043360223,0.5,2,1,3542.0,,1.0,3542,0,-13.34948500216801,-21.8061618710848,-12.204101879756836,3.4940018539140527e-09,13.97600741565621,13.97600741565621,observed_inside_configured_scalar_range,1.1453831224111735,8.45667686891679,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0004,2024_OT,2024,BCDA_32,BCD-A32,0.73,mapped_inside_mesh,True,True,-15.30102999566398,-17.30102999566398,-2.0000000000000018,2.0000000000000018,-4.0000000000000036,0.5,2,1,6191.0,,1.0,6191,0,-17.30102999566398,-21.806161871084797,-12.204101879756836,3.1251302635448334e-05,125005.21054179332,125005.21054179332,observed_inside_configured_scalar_range,5.096928115907145,4.505131875420815,abs_2_to_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0005,2024_OT,2024,BCDA_32,BCD-A32,0.87,mapped_inside_mesh,True,True,-12.096910013008056,-15.571333751784366,-3.4744237387763093,3.4744237387763093,-6.948847477552619,0.5,2,1,4648.0,,1.0,4648,0,-15.571333751784366,-21.8061618710848,-12.204101879756836,5.823336423190071e-07,2329.3345692760286,2329.3345692760286,observed_above_configured_scalar_range,3.3672318720275296,6.234828119300435,abs_ge_3_log10,underpredicts_observation,review_sampler_bounds_tensor_shape_or_measurement_interpretation_before_more_spatial_sampling
perm_0006,2024_OT,2024,BCDA_32,BCD-A32,1.01,mapped_inside_mesh,True,True,-14.522878745280336,-16.809894379144197,-2.287015633863861,2.287015633863861,-4.574031267727722,0.5,2,1,7188.0,,1.0,7188,0,-16.809894379144197,-21.8061618710848,-12.204101879756836,1.0086314554531656e-05,40345.258218126626,40345.258218126626,observed_inside_configured_scalar_range,4.605792499387361,4.996267491940603,abs_2_to_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0007,2024_OT,2024,BCDA_32,BCD-A32,1.15,mapped_inside_mesh,True,True,-15.096910013008056,-17.24742501084005,-2.150514997831994,2.150514997831994,-4.301029995663988,0.5,2,1,5040.0,,1.0,5040,0,-17.24742501084005,-21.806161871084797,-12.204101879756836,2.762251001804841e-05,110490.0400721936,110490.0400721936,observed_inside_configured_scalar_range,5.0433231310832145,4.558736860244746,abs_2_to_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0008,2024_OT,2024,BCDA_32,BCD-A32,1.29,mapped_inside_mesh,True,True,-16.397940008672037,-18.548455006504028,-2.1505149978319906,2.1505149978319906,-4.301029995663981,0.5,2,1,5896.0,,1.0,5896,0,-18.548455006504028,-21.8061618710848,-12.204101879756836,0.0005524502003609647,2209800.801443858,2209800.801443858,observed_inside_configured_scalar_range,6.344353126747192,3.257706864580772,abs_2_to_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0009,2024_OT,2024,BCDA_32,BCD-A32,1.7,mapped_inside_mesh,True,True,-19.69897000433602,-20.0,-0.30102999566398125,0.30102999566398125,-0.6020599913279625,0.5,2,1,4298.0,,1.0,4298,0,-20.0,-21.8061618710848,-12.204101879756836,0.015625651317724264,62502605.27089707,62502605.27089707,observed_inside_configured_scalar_range,7.795898120243164,1.8061618710848002,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
