primary_cell_id,row_count,segments,depth_min_m,depth_max_m,observed_log10_min,observed_log10_max,observed_log10_range,mean_abs_residual,max_abs_residual,feasibility_statuses,residual_signs
4648,3,BCD-A32,0.85,0.87,-19.045757490560675,-12.096910013008056,6.948847477552619,3.4744237387763093,3.4744237387763093,observed_above_configured_scalar_range;observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
8057,3,BCD-A33,0.55,0.59,-21.0,-14.096910013008056,6.903089986991944,3.451544993495972,3.451544993495972,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
7188,3,BCD-A32,0.95,1.01,-19.096910013008056,-14.522878745280336,4.574031267727721,2.2870156338638608,2.287015633863861,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
5040,3,BCD-A32,1.15,1.15,-19.39794000867204,-15.096910013008056,4.301029995663985,2.150514997831993,2.150514997831994,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
5896,3,BCD-A32,1.25,1.29,-20.69897000433602,-16.397940008672037,4.301029995663981,2.1505149978319906,2.1505149978319906,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
4317,3,BCD-A33,1.7,1.7,-20.39794000867204,-16.30102999566398,4.09691001300806,2.0484550065040303,2.0484550065040317,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
6191,3,BCD-A32,0.65,0.73,-19.30102999566398,-15.30102999566398,4.000000000000002,2.0000000000000013,2.0000000000000018,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
5030,3,BCD-A33,1.15,1.15,-19.045757490560675,-15.154901959985745,3.89085553057493,1.9454277652874647,1.9454277652874659,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
8051,3,BCD-A32,0.25,0.31,-19.522878745280337,-15.69897000433602,3.823908740944317,1.9119543704721593,1.911954370472161,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
8371,3,BCD-A32,0.45,0.45,-19.096910013008056,-15.69897000433602,3.3979400086720357,1.6989700043360176,1.6989700043360187,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
5749,3,BCD-A33,1.25,1.29,-19.22184874961636,-16.045757490560675,3.176091259055685,1.5880456295278431,1.5880456295278442,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
3600,3,BCD-A33,0.45,0.45,-19.096910013008056,-16.096910013008056,3.0,1.5,1.5,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
4650,3,BCD-A33,0.95,1.01,-20.0,-17.221848749616356,2.778151250383644,1.389075625191822,1.389075625191822,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
4096,3,BCD-A33,0.25,0.31,-19.096910013008056,-16.69897000433602,2.3979400086720375,1.1989700043360187,1.1989700043360187,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
4649,3,BCD-A33,0.85,0.87,-19.39794000867204,-17.397940008672037,2.0000000000000036,1.000000000000001,1.0000000000000036,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
136,3,BCD-A32,0.15,0.17,-17.30102999566398,-15.30102999566398,2.0000000000000018,1.000000000000001,1.0000000000000018,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
3542,3,BCD-A32,0.55,0.59,-13.69897000433602,-13.0,0.6989700043360205,0.34948500216801054,0.34948500216801115,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
3864,4,BCD-A33,3.3,3.3,-20.69897000433602,-20.096910013008056,0.6020599913279625,0.22577249674798683,0.30102999566398125,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
4298,3,BCD-A32,1.7,1.7,-20.30102999566398,-19.69897000433602,0.6020599913279625,0.30102999566398125,0.30102999566398125,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
3671,2,BCD-A32,3.3,3.3,-20.522878745280337,-20.30102999566398,0.22184874961635614,0.11092437480817807,0.11092437480817807,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
5948,3,BCD-A32,2.5,2.5,-20.522878745280337,-20.30102999566398,0.22184874961635614,0.11092437480817807,0.11092437480817807,observed_inside_configured_scalar_range,overpredicts_observation;underpredicts_observation
5034,2,BCD-A33,1.05,1.05,-14.69897000433602,-14.69897000433602,0.0,1.7763568394002505e-15,1.7763568394002505e-15,observed_inside_configured_scalar_range,overpredicts_observation
1781,1,BCD-A33,0.17,0.17,-19.39794000867204,-19.39794000867204,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
3539,1,BCD-A33,0.73,0.73,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
4497,1,BCD-A33,2.5,2.5,-20.39794000867204,-20.39794000867204,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
5046,1,BCD-A32,1.05,1.05,-19.69897000433602,-19.69897000433602,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
5292,1,BCD-A32,0.75,0.75,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
6194,2,BCD-A33,0.75,0.75,-14.154901959985745,-14.154901959985745,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
6995,1,BCD-A32,0.35,0.35,-19.045757490560675,-19.045757490560675,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
9359,2,BCD-A33,0.35,0.35,-16.096910013008056,-16.096910013008056,0.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual
