downloads_path,relative_path,filename,normalized_filename,size_bytes,sha1,catalogue_status,catalogue_sha1_match,matching_catalogue_paths
/home/ber0061/Downloads/.~lock.HERMES_SIMULACE_MEZD_reorganized (1).xlsx#,.~lock.HERMES_SIMULACE_MEZD_reorganized (1).xlsx#,.~lock.HERMES_SIMULACE_MEZD_reorganized (1).xlsx#,.~lock.HERMES_SIMULACE_MEZD_reorganized.xlsx#,74,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/.~lock.HERMES_Task4_Task5_plan.xlsx#,.~lock.HERMES_Task4_Task5_plan.xlsx#,.~lock.HERMES_Task4_Task5_plan.xlsx#,.~lock.HERMES_Task4_Task5_plan.xlsx#,74,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/.~lock.HERMES_Task4_Task5_plan_dopocet.xlsx#,.~lock.HERMES_Task4_Task5_plan_dopocet.xlsx#,.~lock.HERMES_Task4_Task5_plan_dopocet.xlsx#,.~lock.HERMES_Task4_Task5_plan_dopocet.xlsx#,74,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/.~lock.HERMES_Task4_Task5_plan_v2.xlsx#,.~lock.HERMES_Task4_Task5_plan_v2.xlsx#,.~lock.HERMES_Task4_Task5_plan_v2.xlsx#,.~lock.HERMES_Task4_Task5_plan_v2.xlsx#,74,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/.~lock.HERMES_Task4_Task5_plan_v4.xlsx#,.~lock.HERMES_Task4_Task5_plan_v4.xlsx#,.~lock.HERMES_Task4_Task5_plan_v4.xlsx#,.~lock.HERMES_Task4_Task5_plan_v4.xlsx#,74,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/.~lock.HERMES_Task4_Task5_plan_v5.xlsx#,.~lock.HERMES_Task4_Task5_plan_v5.xlsx#,.~lock.HERMES_Task4_Task5_plan_v5.xlsx#,.~lock.HERMES_Task4_Task5_plan_v5.xlsx#,74,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/003_Nov_2025 (1).zip,003_Nov_2025 (1).zip,003_Nov_2025 (1).zip,003_Nov_2025.zip,14064974,20160256c51b62ee8e9dff056624eb6b8d822604,catalogued_duplicate_sha1_verified,true,cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/003_Nov_2025.zip; cda_knowledge_base/measurements/nmr/source_files/003_Nov_2025.zip; cda_knowledge_base/measurements/suction_relative_humidity/source_files/003_Nov_2025.zip; cda_knowledge_base/measurements/taupe_tdr/source_files/003_Nov_2025.zip
/home/ber0061/Downloads/BGR_T5_251120_poster.pdf,BGR_T5_251120_poster.pdf,BGR_T5_251120_poster.pdf,BGR_T5_251120_poster.pdf,2233267,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/01_processes_TRM.xml,CDA_N4_2D_250403/01_processes_TRM.xml,01_processes_TRM.xml,01_processes_TRM.xml,1613,848b5757431ad0d9323f74baf5845ca6c167cefa,catalogued_duplicate_sha1_verified,true,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/01_processes_TRM.xml; cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/01_processes_TRM.xml; cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/01_processes_TRM.xml; cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/01_processes_TRM.xml
/home/ber0061/Downloads/CDA_N4_2D_250403/02_process_variables_TRM.xml,CDA_N4_2D_250403/02_process_variables_TRM.xml,02_process_variables_TRM.xml,02_process_variables_TRM.xml,2378,90e20c5ee5cf2f0ae1e9ee64458dbcb891ef5e13,catalogued_duplicate_sha1_verified,true,cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250403/CDA_N4_2D_250403/02_process_variables_TRM.xml; cda_knowledge_base/measurements/model_projection_inputs/source_files/CDA_N4_2D_250509/02_process_variables_TRM.xml; cda_knowledge_base/measurements/model_projection_inputs/source_files/SOTA_OGS_Mont_Terri_zip/ogs_settings/02_process_variables_TRM.xml; cda_knowledge_base/measurements/model_projection_inputs/source_files/projection_example/02_process_variables_TRM.xml
