rank_by_direct_objective,candidate_id,family,shape_id,shape_description,amplitude_log10,shape_nonzero_cells,shape_mean_weight,shape_p95_weight,affected_cells,objective_support_cell_count,objective_support_cells_with_nonzero_shape,objective_support_cells_with_nonzero_applied,mean_abs_applied_log10_multiplier_objective_support,max_abs_applied_log10_multiplier_objective_support,requested_log10_multiplier_min,requested_log10_multiplier_max,applied_log10_multiplier_min,applied_log10_multiplier_max,mean_abs_applied_log10_multiplier_affected,objective_value,weighted_rmse_log10,weighted_mean_abs_log10_residual,max_abs_log10_residual,used_in_objective_rows,effective_objective_weight,direct_objective_delta_vs_active,mesh,evaluation_csv,summary_json,cap_radius_m,decay_length_m,shell_center_radius_m,shell_width_m,bedding_theta_deg,band_normal_offset_m,band_width_m,corridor_width_m,decay_along_borehole_m,execution_priority_score
1,struct_bedding_parallel_band_bed_om0p75_w0p25_a0p5,bedding_parallel_band,bed_om0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.25 m",0.5,6182,0.13365199190379945,0.8195861364876726,6182,30,1,1,1.0537861938290722e-08,1.0537861938290722e-08,5.005982481850167e-09,0.5,5.00598248189513e-09,0.5,0.1106812314059368,269.8180571059851,1.61071549171474,1.2295502506091056,3.4744237387763093,75,52.0,0.0,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a0p5/permeability_fit_summary.json,,,,,144.0,-0.75,0.25,,,0.06137340615702969
2,struct_bedding_parallel_band_bed_om0p75_w0p25_a1,bedding_parallel_band,bed_om0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.25 m",1.0,6182,0.13365199190379945,0.8195861364876726,6182,30,1,1,2.107572381375284e-08,2.107572381375284e-08,1.0011964963700335e-08,1.0,1.0011965002520544e-08,1.0,0.2213624628118736,269.8180571059851,1.61071549171474,1.2295502508117566,3.4744237387763093,75,52.0,0.0,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a1/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a1/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a1/permeability_fit_summary.json,,,,,144.0,-0.75,0.25,,,0.061926812314059373
3,struct_bedding_parallel_band_bed_om0p75_w0p25_a1p5,bedding_parallel_band,bed_om0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.25 m",1.5,6182,0.13365199190379945,0.8195861364876726,6182,30,1,1,3.16135857228191e-08,3.16135857228191e-08,1.5017947445550503e-08,1.5,1.5017947465443498e-08,1.5,0.3320436942178104,269.8180571059851,1.61071549171474,1.2295502510144078,3.4744237387763093,75,52.0,0.0,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a1p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a1p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a1p5/permeability_fit_summary.json,,,,,144.0,-0.75,0.25,,,0.06248021847108906
4,struct_bedding_parallel_band_bed_om0p75_w0p25_a2,bedding_parallel_band,bed_om0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.25 m",2.0,6182,0.13365199190379945,0.8195861364876726,6182,30,1,1,4.215144766548947e-08,4.215144766548947e-08,2.002392992740067e-08,2.0,2.002392996709673e-08,2.0,0.4427249256237472,269.8180571059851,1.61071549171474,1.229550251217059,3.4744237387763093,75,52.0,0.0,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a2/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a2/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_a2/permeability_fit_summary.json,,,,,144.0,-0.75,0.25,,,0.06303362462811875
5,struct_bedding_parallel_band_bed_om0p75_w0p25_am0p5,bedding_parallel_band,bed_om0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.25 m",-0.5,6182,0.13365199190379945,0.8195861364876726,6182,30,1,1,1.0537861904686576e-08,1.0537861904686576e-08,-0.5,-5.005982481850167e-09,-0.5,-5.0059824913812186e-09,0.1106812314059368,269.8180571059851,1.61071549171474,1.2295502506091056,3.4744237387763093,75,52.0,0.0,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_am0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_am0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_am0p5/permeability_fit_summary.json,,,,,144.0,-0.75,0.25,,,0.06137340615702969
6,struct_bedding_parallel_band_bed_om0p75_w0p25_am1,bedding_parallel_band,bed_om0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.25 m",-1.0,6182,0.13365199190379945,0.8195861364876726,6182,30,1,1,2.1075723823985373e-08,2.1075723823985373e-08,-1.0,-1.0011964963700335e-08,-1.0,-1.001196494403215e-08,0.22136246281187363,269.8180571059851,1.61071549171474,1.2295502508117566,3.4744237387763093,75,52.0,0.0,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_am1/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_am1/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p25_am1/permeability_fit_summary.json,,,,,144.0,-0.75,0.25,,,0.061926812314059373
7,struct_bedding_parallel_band_bed_o0_w0p25_a0p5,bedding_parallel_band,bed_o0_w0p25,"bedding-parallel band using theta=144 deg, normal offset 0.00 m, width 0.25 m",0.5,7673,0.12525522176696077,0.8299746813951147,7673,30,17,17,0.0006558360493695418,0.006409052498758242,5.014958447177497e-09,0.5,5.014958441850252e-09,0.5,0.08357149847985869,269.81816625843857,1.6107158175148955,1.2297036813049107,3.4744237387763093,75,52.0,0.00010915245348996905,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_a0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_a0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_a0p5/permeability_fit_summary.json,,,,,144.0,0.0,0.25,,,0.06025700994588927
8,struct_bedding_parallel_band_bed_o0_w0p25_am0p5,bedding_parallel_band,bed_o0_w0p25,"bedding-parallel band using theta=144 deg, normal offset 0.00 m, width 0.25 m",-0.5,7673,0.12525522176696077,0.8299746813951147,7673,30,17,17,0.0006558360493695474,0.006409052498758179,-0.5,-5.014958447177497e-09,-0.5,-5.0149584515434526e-09,0.08357149847985869,269.8181662584386,1.610715817514896,1.2297036813049107,3.4744237387763093,75,52.0,0.00010915245354681247,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_am0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_am0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_o0_w0p25_am0p5/permeability_fit_summary.json,,,,,144.0,0.0,0.25,,,0.06025700994594611
9,struct_bedding_parallel_band_bed_om0p75_w0p5_a0p5,bedding_parallel_band,bed_om0p75_w0p5,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.50 m",0.5,9489,0.2676678398667738,0.9226018731876047,9489,30,26,26,0.0007211502623629256,0.005960104631881301,5.1086580114027755e-09,0.5,5.1086579940750374e-09,0.5,0.14441200402549778,269.81821841326087,1.6107159731874998,1.2297501228753553,3.4744266337861216,75,52.0,0.0001613072757891132,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p5_a0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p5_a0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p5_a0p5/permeability_fit_summary.json,,,,,144.0,-0.75,0.5,,,0.0697733672959166
10,struct_bedding_parallel_band_bed_om0p75_w0p5_am0p5,bedding_parallel_band,bed_om0p75_w0p5,"bedding-parallel band using theta=144 deg, normal offset -0.75 m, width 0.50 m",-0.5,9489,0.2676678398667738,0.9226018731876047,9489,30,26,26,0.0007211502623629314,0.005960104631881319,-0.5,-5.1086580114027755e-09,-0.5,-5.1086580059524204e-09,0.1444120040254978,269.818218413261,1.6107159731875,1.2297501228753551,3.47442663378612,75,52.0,0.00016130727590280003,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p5_am0p5/bulk_w_projections.vtu,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p5_am0p5/permeability_fit_evaluation.csv,/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/structural_edz_field_family_plan/struct_bedding_parallel_band_bed_om0p75_w0p5_am0p5/permeability_fit_summary.json,,,,,144.0,-0.75,0.5,,,0.06977336729603029
