run_id,run_kind,run_dir,state_sample_rows,ogs_output_times,diagnostic_rows,compared_rows,compared_series,outside_time_tolerance_rows,operator_not_mapped_rows,taupe_trend_residual_mean,taupe_trend_mae,taupe_trend_rmse,taupe_trend_p50_abs,taupe_trend_p90_abs,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,taupe_mae_delta_from_reference,taupe_mae_rank,combined_objective_rank
adaptive_combined_001_length_0p050m,adaptive_combined,inversion_workflow/runs/adaptive_combined_001_length_0p050m,37184,83,5088,1860,12,684,2544,-0.4520628305956585,1.829884354078035,2.315263781875883,1.4394449626676675,3.9741014821741536,3276.565238233279,2,291.2907414698871,2985.274496763392,5.576433388940044,-0.03332650629685752,1.0,71.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,inversion_workflow/runs/adaptive_combined_002_length_0p050m_shift_0p750,37184,83,5088,1860,12,684,2544,-0.4544861608303152,1.830476209348946,2.317244056562122,1.4371481168081273,3.990432716108245,3300.912191399192,2,329.3994802038824,2971.5127111953093,5.563565170669295,-0.032734651025946526,2.0,73.0
adaptive_combined_003_length_0p075m,adaptive_combined,inversion_workflow/runs/adaptive_combined_003_length_0p075m,37184,83,5088,1860,12,684,2544,-0.4822596300711442,1.862538039063356,2.349015657346396,1.4815804701417044,4.017780598435482,3353.8828587143416,2,334.0021211435035,3019.880737570838,5.6086621413990425,-0.0006728213115365644,13.0,74.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,inversion_workflow/runs/broad_continuous_001_001_length_0p023m_shift_1p004,37184,83,5088,1860,12,684,2544,-0.4692618310654096,1.8547658366194848,2.3412719390186068,1.4590718044253683,4.050070210635845,3159.0596578385903,2,269.882098409171,2889.1775594294195,5.485945641126039,-0.008445023755407677,10.0,46.0
broad_continuous_001_002_length_0p022m_shift_0p998,broad_continuous,inversion_workflow/runs/broad_continuous_001_002_length_0p022m_shift_0p998,37184,83,5088,1860,12,684,2544,-0.4995205778041549,1.8662999903870323,2.355989731249021,1.4812150137164652,4.074141046068705,3169.3006202009697,2,269.84272319037007,2899.4578970105995,5.49569708291803,0.00308913001213984,65.0,63.0
broad_continuous_001_003_length_0p021m,broad_continuous,inversion_workflow/runs/broad_continuous_001_003_length_0p021m,37184,83,5088,1860,12,684,2544,-0.4990294103666201,1.8661605527210643,2.355809077780428,1.480668406803332,4.074176841393342,3169.3095993832085,2,269.8300319778216,2899.479567405387,5.495717620154148,0.002949692346171817,62.0,64.0
broad_continuous_loop_001_001_length_0p015m,broad_continuous,inversion_workflow/runs/broad_continuous_loop_001_001_length_0p015m,37184,83,5088,1860,12,684,2544,-0.4911816543411966,1.8639508565406715,2.3541339440761084,1.4716296944285014,4.068933776238261,3161.360041617328,2,269.8180571059851,2891.5419845113424,5.488189957110311,0.0007399961657790222,51.0,53.0
broad_continuous_loop_001_002_length_0p016m_shift_0p968,broad_continuous,inversion_workflow/runs/broad_continuous_loop_001_002_length_0p016m_shift_0p968,37184,83,5088,1860,12,684,2544,-0.4985007517659128,1.8662205450787253,2.3566394851675048,1.4749003848438296,4.082151976354613,3165.332100478336,2,270.3027163120499,2895.029384166286,5.491498528185679,0.0030096847038327823,63.0,56.0
broad_continuous_loop_001_003_length_0p010m,broad_continuous,inversion_workflow/runs/broad_continuous_loop_001_003_length_0p010m,37184,83,5088,1860,12,684,2544,-0.4892406298696959,1.864829253502515,2.355945617376328,1.4677985824764588,4.077355316821405,3157.702128613753,2,269.8180571059851,2887.884071507768,5.484717471745704,0.001618393127622575,57.0,40.0
candidate_direct_fit_driver,candidate_driver,inversion_workflow/runs/candidate_direct_fit_driver,0,0,5088,0,0,0,0,,,,,,269.8180571059851,1,269.8180571059851,,,,,1.0
