run_id,run_kind,compared_series_count,compared_sensor_count,compared_edz_band_count,compared_rows_total,aggregate_taupe_trend_mae,aggregate_taupe_mae_rank,combined_active_objective,equal_series_mae,row_weighted_from_series_mae,equal_sensor_mae,equal_edz_band_mae,a3_only_equal_series_mae,a4_only_equal_series_mae,drop_worst_series_mae,trim_best_worst_series_mae,series_mae_min,series_mae_max,series_mae_range,series_mae_std,mean_delta_sign_agreement_fraction,mean_model_taupe_standardized_pearson,aggregate_row_weighted_rank,equal_series_rank,equal_sensor_rank,equal_edz_band_rank,a3_only_equal_series_rank,a4_only_equal_series_rank,drop_worst_series_rank,trim_best_worst_series_rank,rank_spread_across_weighting_modes,mean_rank_across_weighting_modes,worst_rank_across_weighting_modes
adaptive_combined_001_length_0p050m,adaptive_combined,12,2,6,1860,1.829884354078035,1.0,3276.565238233279,1.829884354078035,1.8298843540780352,1.8298843540780347,1.829884354078035,1.8327704696667009,1.8269982384893686,1.6562776015007712,1.7187367202007167,1.0316864145013154,3.739558632427935,2.70787221792662,1.0012422966794658,0.6919354838709678,0.1782000876511501,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.25,2.0
adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,12,2,6,1860,1.830476209348946,2.0,3300.912191399192,1.830476209348946,1.8304762093489457,1.8304762093489457,1.8304762093489455,1.8358960594654061,1.8250563592324858,1.6579049818952512,1.7208558673189966,1.0283961276577942,3.728759711339591,2.7003635836817965,1.0054228523975859,0.6919354838709678,0.17759779551443725,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0
local_bracketed_003_length_0p031m,local_smooth,12,2,6,1860,1.8320808005603844,3.0,3219.345218679995,1.8320808005603844,1.8320808005603841,1.8320808005603841,1.832080800560384,1.8324246857844375,1.8317369153363305,1.6615122001405773,1.7258182707432599,1.0184514941137504,3.7083354051782575,2.6898839110645074,1.009607206343435,0.6881720430107526,0.17736064195138054,3.0,3.0,3.0,3.0,1.0,44.0,3.0,3.0,43.0,7.875,44.0
production_sampler_round3_002_length_0p028m_shift_1p050,production_sampler_round,12,2,6,1860,1.8506463001555136,4.0,3167.879479569597,1.850646300155514,1.8506463001555136,1.8506463001555136,1.8506463001555133,1.8676821063191882,1.833610493991839,1.6841118138397098,1.7511561400810187,1.0136685514266202,3.6825256496293552,2.668857098202735,0.9989133169465227,0.6849462365591398,0.17376900915731042,4.0,4.0,4.0,4.0,6.0,50.0,6.0,5.0,46.0,10.375,50.0
production_sampler_round2_006_length_0p026m_shift_1p107,production_sampler_round,12,2,6,1860,1.850754570480721,5.0,3171.354418682823,1.8507545704807213,1.8507545704807211,1.8507545704807211,1.8507545704807213,1.867202638852009,1.834306502109433,1.6841042455802187,1.7512171975913162,1.012974725469238,3.68390814438625,2.670933418917012,0.999904419544411,0.6849462365591398,0.1738903142767357,5.0,5.0,5.0,5.0,4.0,52.0,5.0,6.0,48.0,10.875,52.0
optimizer_proposed_003_length_0p025m_shift_1p125,optimizer_proposed,12,2,6,1860,1.8510803833817504,6.0,3173.394559307052,1.8510803833817502,1.8510803833817504,1.8510803833817502,1.85108038338175,1.8673057365888142,1.834855030174686,1.6844441453210663,1.7516899322907638,1.0119862756240932,3.684079002049272,2.672092726425179,1.000105636522987,0.6849462365591398,0.173954128107651,6.0,6.0,6.0,6.0,5.0,55.0,7.0,7.0,50.0,12.25,55.0
production_sampler_round3_001_length_0p028m,production_sampler_round,12,2,6,1860,1.85124129887896,7.0,3167.358207564513,1.8512412988789604,1.8512412988789604,1.8512412988789602,1.85124129887896,1.868395255272893,1.8340873424850272,1.6845864260612922,1.751765415018101,1.0127965364932063,3.684444899873308,2.6716483633801014,0.9996262613191153,0.6849462365591398,0.17383594253796578,7.0,7.0,7.0,7.0,7.0,51.0,8.0,8.0,44.0,12.75,51.0
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,12,2,6,1860,1.8630670789564647,14.0,3156.785440082782,1.8630670789564647,1.8630670789564647,1.863067078956465,1.8630670789564647,1.8976368685601421,1.8284972893527878,1.6918161051777367,1.7599415463221988,1.0105616937331177,3.746827790522474,2.736266096789356,1.0152420549256804,0.6849462365591398,0.17385684269086554,14.0,14.0,14.0,14.0,23.0,3.0,13.0,13.0,20.0,13.5,23.0
production_sampler_round4_001_length_0p029m_shift_0p954,production_sampler_round,12,2,6,1860,1.8518972702176648,8.0,3169.222932457921,1.8518972702176646,1.8518972702176646,1.8518972702176648,1.851897270217665,1.8690712225564674,1.8347233178788624,1.6851117237957147,1.7523782300593187,1.012446661159676,3.686538280859116,2.67409161969944,1.0003095284950834,0.6849462365591398,0.17390476510711336,8.0,8.0,8.0,8.0,8.0,53.0,9.0,9.0,45.0,13.875,53.0
lower_support_loop_002_002_length_0p004m_shift_1p020,lower_support,12,2,6,1860,1.863117009286771,15.0,3156.534153206201,1.863117009286771,1.863117009286771,1.863117009286771,1.863117009286771,1.8976571000887994,1.8285769184847425,1.691864030658656,1.75999392121435,1.010565125101717,3.7468997741960353,2.736334649094318,1.0152657125772144,0.6849462365591398,0.17385642550711325,15.0,15.0,15.0,15.0,24.0,5.0,15.0,15.0,19.0,14.875,24.0
