series_id,sensor,edz_band_cm,run_count,compared_rows_per_run,mae_min,mae_p50,mae_max,mae_range,mae_std,best_run_id,best_run_kind,best_run_series_mae,best_run_aggregate_taupe_mae,best_run_aggregate_rank,worst_run_id,worst_run_series_mae,series_vs_aggregate_rank_correlation,mean_delta_sign_agreement_fraction,mean_model_taupe_standardized_pearson
A3_10-20cm,A3,10-20,66,155,1.0547095823819386,1.2068409483831422,1.250841597728391,0.19613201534645253,0.03129201266303802,adaptive_combined_001_length_0p050m,adaptive_combined,1.0547095823819386,1.829884354078035,1.0,broad_continuous_001_002_length_0p022m_shift_0p998,1.250841597728391,0.773134328358209,0.9624633431085043,0.5517642078898479
A3_40-50cm,A3,40-50,66,155,3.6825256496293552,3.7471179271135635,3.8481264597494382,0.165600810120083,0.0243321965445503,production_sampler_round3_002_length_0p028m_shift_1p050,production_sampler_round,3.6825256496293552,1.8506463001555136,4.0,adaptive_combined_003_length_0p075m,3.8481264597494382,0.8188080576140279,0.1354838709677419,-0.7317411507943967
A4_20-30cm,A4,20-30,66,155,3.4958326135699385,3.644940193841305,3.648627591353098,0.15279497778315942,0.03149972477549664,adaptive_combined_003_length_0p075m,adaptive_combined,3.4958326135699385,1.862538039063356,13.0,production_sampler_round5_003_length_0p010m_shift_0p926,3.648627591353098,0.5375430539609645,0.045161290322580594,0.1165282418963911
A4_40-50cm,A4,40-50,66,155,1.7203595177375166,1.7276640450271064,1.8561470012192205,0.13578748348170389,0.026413486530460675,broad_continuous_loop_001_002_length_0p016m_shift_0p968,broad_continuous,1.7203595177375166,1.8662205450787253,63.0,adaptive_combined_003_length_0p075m,1.8561470012192205,-0.9265629892495566,1.0,0.7945668258369684
A3_20-30cm,A3,20-30,66,155,1.0757893661667128,1.205751294073588,1.2080099784422376,0.13222061227552473,0.030174122849206883,local_bracketed_003_length_0p031m,local_smooth,1.0757893661667128,1.8320808005603844,3.0,local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,1.2080099784422376,0.12105208224611211,1.0,0.5522632028534127
A4_0-50cm,A4,0-50,66,155,2.0428478110140262,2.0800396602978948,2.164351888037649,0.12150407702362287,0.023268028434441854,adaptive_combined_001_length_0p050m,adaptive_combined,2.0428478110140262,1.829884354078035,1.0,adaptive_combined_003_length_0p075m,2.164351888037649,0.33288800751487324,0.3452590420332355,-0.04425320240686912
A3_0-50cm,A3,0-50,66,155,1.1263528867344914,1.2302166260877514,1.2377124661429089,0.11135957940841745,0.018007620569034086,adaptive_combined_003_length_0p075m,adaptive_combined,1.1263528867344914,1.862538039063356,13.0,broad_continuous_001_001_length_0p023m_shift_1p004,1.2377124661429089,-0.21903767873917132,0.8541544477028348,-0.1784892825915312
A3_0-10cm,A3,0-10,66,155,2.839370046261557,2.9362331478720347,2.937464795206718,0.09809474894516113,0.01986393373641698,adaptive_combined_003_length_0p075m,adaptive_combined,2.839370046261557,1.862538039063356,13.0,production_sampler_round5_005_length_0p004m_shift_1p031,2.937464795206718,-0.07320738962530009,0.4471163245356794,-0.1385279266492216
A4_10-20cm,A4,10-20,66,155,1.0813794323670094,1.158117064798059,1.1682546320278449,0.08687519966083546,0.012546778065931628,adaptive_combined_003_length_0p075m,adaptive_combined,1.0813794323670094,1.862538039063356,13.0,optimizer_proposed_002_length_0p019m_shift_0p875,1.1682546320278449,0.9438054482830602,0.974193548387097,0.41691645041095793
A4_30-40cm,A4,30-40,66,155,1.3516764134400403,1.352215503047238,1.431929115460943,0.08025270202090273,0.013982525558175885,broad_continuous_loop_001_003_length_0p010m,broad_continuous,1.3516764134400403,1.864829253502515,57.0,adaptive_combined_003_length_0p075m,1.431929115460943,-0.05934662352572802,0.9483870967741934,0.7601860763417091
A3_30-40cm,A3,30-40,66,155,1.031292403260322,1.0565715925345458,1.0746318555899483,0.04333945232962644,0.006960202886324672,adaptive_combined_002_length_0p050m_shift_0p750,adaptive_combined,1.031292403260322,1.830476209348946,2.0,adaptive_combined_003_length_0p075m,1.0746318555899483,0.14835612149044985,1.0,0.1336821865059356
A4_0-10cm,A4,0-10,66,155,1.009974397388819,1.0105780436311327,1.034459419154025,0.024485021765206172,0.004600482901001467,broad_continuous_loop_001_001_length_0p015m,broad_continuous,1.009974397388819,1.8639508565406715,51.0,adaptive_combined_003_length_0p075m,1.034459419154025,-0.31560379918588877,0.5080156402737047,-0.14240308994302792
