measurement,workbook,sheet,max_row,max_column,non_empty_cells,first_non_empty_row,first_non_empty_values,date_range,numeric_summary,keywords
coordinates_geometry_layout,cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,109,10,1082,1,3D Modell | 2D_Model (x/z) | 2D_Model (x/y),,"C2: n=107, min=-11.3093, max=14.3048; C3: n=107, min=0, max=0; C4: n=107, min=-5.46579, max=2.38801; C5: n=107, min=-6.67927, max=18.9348; C6: n=107, min=0, max=0; C7: n=107, min=-6.74579, max=1.10801; C8: n=107, min=-6.67927, max=18.9348; C9: n=107, min=-6.74579, max=1.10801",NMR; Taupe; suction
coordinates_geometry_layout,cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,39,8,255,1,Original Koordinaten | BGR Model Koordinaten,,"C2: n=35, min=2.579e+06, max=2.579e+06; C3: n=35, min=1.247e+06, max=1.247e+06; C4: n=35, min=507.711, max=514.328; C6: n=35, min=-10.2324, max=13.0348; C7: n=35, min=5.77969, max=11.6326; C8: n=35, min=-4.22899, max=2.38801",NMR; CD-A
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Data2019+,42,10,325,1,Archie-Plot,2019-10-22T00:00:00 to 2025-02-13T00:00:00 (n=23),"C2: n=37, min=0.1007, max=0.1716; C3: n=37, min=0.0017, max=0.0438; C4: n=37, min=21.0753, max=53.0637; C7: n=35, min=0.0752, max=0.15; C8: n=35, min=0.0029, max=0.0581; C9: n=35, min=16.704, max=193.597",NMR
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,open-closed,1,1,0,,,,,
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,sidewalls,1,1,0,,,,,
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,top-bottom,1,1,0,,,,,
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Tabelle1,10,2,16,1,ERT data is missing:,2022-04-28T00:00:00 to 2025-02-13T00:00:00 (n=11),,ERT; niche
ert,cda_knowledge_base/measurements/ert/source_files/2025-04-04_WC_vs_RHO_2025-02.xlsx,Kruschwitz2004,25,7,120,1,water content | saturation | cond. | resistivity | Model Data2019+ | old fit,,"C1: n=18, min=0.01, max=0.18; C2: n=21, min=0.0666667, max=26.92; C3: n=18, min=0.0390984, max=0.387025; C4: n=18, min=2.58381, max=25.5765; C6: n=18, min=16.6421, max=1601.55; C7: n=18, min=16.3597, max=753.377",water content; saturation
nmr,cda_knowledge_base/measurements/nmr/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,39,8,255,1,Original Koordinaten | BGR Model Koordinaten,,"C2: n=35, min=2.579e+06, max=2.579e+06; C3: n=35, min=1.247e+06, max=1.247e+06; C4: n=35, min=507.711, max=514.328; C6: n=35, min=-10.2324, max=13.0348; C7: n=35, min=5.77969, max=11.6326; C8: n=35, min=-4.22899, max=2.38801",NMR; CD-A
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Diagram_BCDA all,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,vertically,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,horizontally,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Diagram_BCDA CT,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Diagram_BCDA OT,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_OT,80,34,98,1,1. MessEinsatz (April 2024),,"C1: n=15, min=1, max=15; C2: n=11, min=0.17, max=2.5; C3: n=11, min=5e-21, max=8e-13; C4: n=11, min=5e-22, max=8e-14; C6: n=14, min=0.15, max=3.3; C7: n=12, min=8e-21, max=8e-15; C8: n=14, min=0, max=8e-16",
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2024_CT,80,34,106,1,1. MessEinsatz (April 2024),,"C1: n=15, min=1, max=15; C2: n=15, min=0.15, max=3.3; C3: n=15, min=2e-21, max=1e-13; C4: n=15, min=2e-22, max=1e-14; C6: n=12, min=0.17, max=3.3; C7: n=12, min=1e-21, max=9e-20; C8: n=12, min=1e-22, max=9e-21",
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,80,38,152,1,1. MessEinsatz (März. 2021),,"C1: n=15, min=1, max=15; C2: n=15, min=0.15, max=3.3; C3: n=15, min=6e-21, max=6e-15; C4: n=15, min=6e-22, max=6e-16; C6: n=15, min=0.15, max=3.3; C7: n=15, min=1e-21, max=8e-17; C8: n=15, min=1e-22, max=8e-18; C10: n=8, min=0.7, max=1.7",
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Messdaten_BCDA26,1871,42,6714,1,0.15 | 0.25 | 0.35 | 0.45 | 0.55 | 0.65 | 0.75 | 0.85 | 0.95 | 1.05,,"C1: n=115, min=0, max=570; C2: n=115, min=1.54e+05, max=2e+05; C3: n=116, min=0, max=575; C4: n=116, min=1.791e+05, max=2e+05; C5: n=16, min=0, max=75; C6: n=16, min=9.592e+04, max=2e+05; C7: n=60, min=0, max=590; C8: n=60, min=9.749e+04, max=2e+05",
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,Messdaten_BCDA27,1874,42,6776,1,0.15 | 0.25 | 0.35 | 0.45 | 0.55 | 0.65 | 0.75 | 0.85 | 0.95 | 1.05,,"C1: n=89, min=0, max=440; C2: n=89, min=1.101e+05, max=2e+05; C3: n=89, min=0, max=440; C4: n=89, min=1.905e+05, max=2e+05; C5: n=110, min=0, max=545; C6: n=110, min=1.98e+05, max=2e+05; C7: n=159, min=0, max=790; C8: n=159, min=1.99e+05, max=2e+05",
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2021,35,8,228,1,"BCDA_24 (vertical, 2021) | IntervallDKP3=0.1 m | BCDA_25 (horizontal, 2021)",,"C1: n=30, min=1, max=15; C2: n=30, min=0.15, max=3.3; C3: n=30, min=5e-21, max=1e-13; C4: n=30, min=5e-22, max=1e-14; C6: n=30, min=0.15, max=3.3; C7: n=30, min=5e-22, max=1e-13; C8: n=30, min=5e-23, max=1e-14",ERT
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,2024,35,8,208,1,"BCDA_32 (horizontal, 2024) | IntervallDKP3=0.1 m | BCDA_33 (vertical, 2024)",,"C1: n=30, min=1, max=15; C2: n=27, min=0.15, max=3.3; C3: n=27, min=2e-21, max=8e-13; C4: n=27, min=2e-22, max=8e-14; C6: n=27, min=0.15, max=3.3; C7: n=25, min=1e-21, max=8e-15; C8: n=27, min=0, max=8e-16",ERT
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,BCDA_24_bis_27,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
permeability_pulse_tests,cda_knowledge_base/measurements/permeability_pulse_tests/source_files/Permeability_CDA_all_2025.xlsx,BCDA_32_bis_35,chartsheet,chartsheet,0,,Chartsheet/no worksheet cells; chart data are in the workbook data sheets.,,,
suction_relative_humidity,cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH5.xlsx,OT_RH5,1043,2,2086,1,time5 | RH5,2022-01-11T00:00:00 to 2025-09-04T00:00:00 (n=1042),"C2: n=1042, min=94.0807, max=95.9927",
suction_relative_humidity,cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH6.xlsx,OT_RH6,1065,2,2130,1,time6 | RH6,2021-12-16T00:00:00 to 2025-09-04T00:00:00 (n=1064),"C2: n=1064, min=93.3225, max=94.9883",
suction_relative_humidity,cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH7.xlsx,OT_RH7,1072,2,2144,1,time7 | RH7,2021-12-16T00:00:00 to 2025-09-04T00:00:00 (n=1071),"C2: n=1071, min=13.188, max=97.2722",
suction_relative_humidity,cda_knowledge_base/measurements/suction_relative_humidity/source_files/OT_RH8.xlsx,OT_RH8,1071,2,2142,1,time8 | RH8,2021-12-16T00:00:00 to 2025-09-04T00:00:00 (n=1070),"C2: n=1070, min=13.2027, max=96.2194",
taupe_tdr,cda_knowledge_base/measurements/taupe_tdr/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,39,8,255,1,Original Koordinaten | BGR Model Koordinaten,,"C2: n=35, min=2.579e+06, max=2.579e+06; C3: n=35, min=1.247e+06, max=1.247e+06; C4: n=35, min=507.711, max=514.328; C6: n=35, min=-10.2324, max=13.0348; C7: n=35, min=5.77969, max=11.6326; C8: n=35, min=-4.22899, max=2.38801",NMR; CD-A
